r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_Be-Li,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.4155724590435217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4205197502226113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4254670414017008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4304143325807903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4353616237598799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4403089149389695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.445256206118059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4502034972971486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4551507884762381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4600980796553277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4650453708344172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4699926620135067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4749399531925963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4798872443716858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4848345355507754,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4897818267298649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4947291179089544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.499676409088044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5046237002671335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5095709914462231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5145182826253126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5194655738044022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
