r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Cl-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.47548969554777387,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.4809550943471736,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.48642049314657326,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.491885891945973,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.4973512907453727,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5028166895447724,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5082820883441721,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5137474871435718,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5192128859429714,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5246782847423712,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5301436835417709,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5356090823411706,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5410744811405703,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.54653987993997,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5520052787393697,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5574706775387693,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5629360763381691,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5684014751375688,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5738668739369684,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5793322727363682,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5847976715357679,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5902630703351676,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.5957284691345673,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.601193867933967,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6066592667333667,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6121246655327663,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6175900643321661,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6230554631315658,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6285208619309655,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6339862607303652,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6394516595297649,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6449170583291646,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6503824571285642,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.655847855927964,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6613132547273637,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6667786535267634,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6722440523261631,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6777094511255628,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6831748499249625,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6886402487243621,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6941056475237619,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.6995710463231616,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7050364451225613,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.710501843921961,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
