r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,S_i_Li-Cl,Average_SCL,lambda_BC
0.6276195153076538,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6345930654777389,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6415666156478239,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.648540165817909,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.655513715987994,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6624872661580791,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6694608163281641,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6764343664982492,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6834079166683342,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6903814668384192,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.6973550170085042,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7043285671785893,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7113021173486743,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7182756675187594,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7252492176888444,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7322227678589295,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7391963180290145,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7461698681990996,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7531434183691846,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7601169685392697,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7670905187093547,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7740640688794397,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7810376190495247,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7880111692196098,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.7949847193896948,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8019582695597799,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8089318197298649,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.81590536989995,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.822878920070035,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8298524702401201,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8368260204102052,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8437995705802902,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8507731207503753,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8577466709204602,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8647202210905452,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8716937712606303,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8786673214307154,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8856408716008004,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8926144217708855,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.8995879719409705,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9065615221110556,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9135350722811406,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9205086224512256,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9274821726213108,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9344557227913955,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9414292729614808,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9484028231315658,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9553763733016508,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.962349923471736,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9693234736418208,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.976297023811906,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.983270573981991,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.990244124152076,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
0.9972176743221612,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.0041912244922462,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.0111647746623311,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.0181383248324165,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.0251118750025012,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.0320854251725864,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
