r (A),g(r)_weighted_F-F,g(r)_weighted_Th-F,g(r)_weighted_Th-Th,S_i_Th-F,Average_SCL,lambda_BC
0.1591562826813407,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1631351897483742,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1671140968154077,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1710930038824412,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1750719109494747,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1790508180165082,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1830297250835418,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1870086321505753,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1909875392176088,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1949664462846423,0.0,0.0,0.0,1.0,4.218217014653536,0
0.1989453533516758,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2029242604187093,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2069031674857429,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2108820745527764,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2148609816198099,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2188398886868434,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2228187957538769,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2267977028209104,0.0,0.0,0.0,1.0,4.218217014653536,0
0.230776609887944,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2347555169549775,0.0,0.0,0.0,1.0,4.218217014653536,0
0.238734424022011,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2427133310890445,0.0,0.0,0.0,1.0,4.218217014653536,0
0.246692238156078,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2506711452231115,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2546500522901451,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2586289593571786,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2626078664242121,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2665867734912456,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2705656805582792,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2745445876253127,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2785234946923462,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2825024017593797,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2864813088264132,0.0,0.0,0.0,1.0,4.218217014653536,0
