r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
0.7627653190295147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7701708075637819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.777576296098049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7849817846323162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7923872731665832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7997927617008503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8071982502351175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8146037387693846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8220092273036518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8294147158379189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8368202043721861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8442256929064532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8516311814407204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8590366699749874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8664421585092545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8738476470435217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8812531355777888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.888658624112056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.8960641126463231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9034696011805904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9108750897148574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9182805782491243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
