r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,SCL_BC
0.2055879568269134,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.208404230208104,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2112205035892946,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2140367769704852,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2168530503516758,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2196693237328664,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.222485597114057,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2253018704952476,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2281181438764382,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2309344172576288,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2337506906388194,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.23656696402001,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2393832374012006,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2421995107823912,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2450157841635818,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2478320575447724,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.250648330925963,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2534646043071535,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2562808776883442,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2590971510695348,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2619134244507253,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2647296978319159,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2675459712131066,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2703622445942971,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2731785179754877,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
