r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_U-F,S_i_Li-F,S_i_Na-F,S_i_U-F,Average_SCL,SCL_BC
0.2833389033516758,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2861722923851926,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2890056814187093,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2918390704522261,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2946724594857429,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2975058485192596,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3003392375527763,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3031726265862931,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3060060156198099,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3088394046533266,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3116727936868434,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3145061827203602,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3173395717538769,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3201729607873937,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3230063498209105,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3258397388544272,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3286731278879439,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3315065169214607,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3343399059549775,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3371732949884942,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.340006684022011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3428400730555277,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3456734620890445,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3485068511225613,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.351340240156078,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3541736291895948,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3570070182231115,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3598404072566283,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.362673796290145,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3655071853236618,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
