Li-F,,Na-F,,K-F,,Li-Li,,F-F,,Li-Na,,Li-K,,Na-Na,,Na-K,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.85,1.293880113,4.85,1.275534457,4.85,1.101635079,4.85,0.681180764,4.85,0.854401147,4.85,0.59270271,4.85,0.712292463,4.85,0.753541188,4.85,0.897189455,4.85,0.965716519
4.95,1.237254945,4.95,1.269001504,4.95,1.159514649,4.95,0.759210679,4.95,0.881030588,4.95,0.624463021,4.95,0.677150185,4.95,0.690898423,4.95,0.875975129,4.95,0.948066019
5.05,1.179907046,5.05,1.236893587,5.05,1.188104905,5.05,0.831478854,5.05,0.907210541,5.05,0.663696755,5.05,0.665642516,5.05,0.73196556,5.05,0.855547141,5.05,0.93798727
5.15,1.119065411,5.15,1.211144048,5.15,1.202431058,5.15,0.913079714,5.15,0.937968722,5.15,0.716452485,5.15,0.652444387,5.15,0.757780551,5.15,0.827159043,5.15,0.930437197
5.25,1.066102635,5.25,1.168417764,5.25,1.200316018,5.25,0.991199461,5.25,0.971625912,5.25,0.772209036,5.25,0.658609488,5.25,0.714109131,5.25,0.806939604,5.25,0.902983137
5.35,1.01252687,5.35,1.15054095,5.35,1.194527692,5.35,1.071899662,5.35,1.008468285,5.35,0.841374779,5.35,0.689548036,5.35,0.684878643,5.35,0.773384083,5.35,0.903365792
5.45,0.968665733,5.45,1.098800403,5.45,1.173756872,5.45,1.135102349,5.45,1.04361721,5.45,0.916414274,5.45,0.721677588,5.45,0.714896941,5.45,0.780261861,5.45,0.882845426
5.55,0.942713225,5.55,1.048937352,5.55,1.158169691,5.55,1.210750903,5.55,1.06465287,5.55,0.977883116,5.55,0.773767802,5.55,0.757676974,5.55,0.800514581,5.55,0.867640038
5.65,0.913239353,5.65,1.00903796,5.65,1.129167046,5.65,1.26012529,5.65,1.092726565,5.65,1.051526695,5.65,0.83152722,5.65,0.738709413,5.65,0.817732884,5.65,0.853643798
5.75,0.892208747,5.75,0.972738791,5.75,1.098528942,5.75,1.29016685,5.75,1.109504503,5.75,1.109204094,5.75,0.892557228,5.75,0.759726215,5.75,0.845051496,5.75,0.857823661
5.85,0.872955713,5.85,0.943181436,5.85,1.071420699,5.85,1.31376068,5.85,1.128688989,5.85,1.161331848,5.85,0.96245189,5.85,0.89366646,5.85,0.882696963,5.85,0.864090451
5.95,0.862648913,5.95,0.920568917,5.95,1.042312018,5.95,1.324688421,5.95,1.135184686,5.95,1.193421974,5.95,1.015439226,5.95,0.975953982,5.95,0.933690364,5.95,0.860788699
6.05,0.869596121,6.05,0.896553542,6.05,1.007000007,6.05,1.31353418,6.05,1.129074258,6.05,1.221196132,6.05,1.067830383,6.05,1.019031522,6.05,0.985975898,6.05,0.881754592
6.15,0.875548103,6.15,0.890515311,6.15,0.977504902,6.15,1.259410574,6.15,1.115812386,6.15,1.225959054,6.15,1.118781963,6.15,1.013994312,6.15,1.048037016,6.15,0.926367057
6.25,0.885660122,6.25,0.874653914,6.25,0.952172749,6.25,1.215783139,6.25,1.094356121,6.25,1.221106245,6.25,1.168649425,6.25,1.004600952,6.25,1.103047629,6.25,0.942128413
6.35,0.903537719,6.35,0.881656463,6.35,0.939130761,6.35,1.165173423,6.35,1.072711274,6.35,1.211061739,6.35,1.206921841,6.35,1.027077629,6.35,1.140577835,6.35,0.999377207
6.45,0.921079445,6.45,0.86777913,6.45,0.919653009,6.45,1.122902366,6.45,1.059291713,6.45,1.189739497,6.45,1.223197456,6.45,1.135269411,6.45,1.171765312,6.45,1.06329639
6.55,0.940598036,6.55,0.866949627,6.55,0.898582701,6.55,1.074703351,6.55,1.031280112,6.55,1.147682196,6.55,1.229668423,6.55,1.092645679,6.55,1.237139206,6.55,1.082664251
6.65,0.965981748,6.65,0.89518411,6.65,0.894494213,6.65,1.026072139,6.65,1.015627688,6.65,1.109831693,6.65,1.225003651,6.65,1.156336266,6.65,1.256995287,6.65,1.125315755
