Cl-Cl,,Mg-Cl,,Mg-Mg,
R (A),RDF,R (A),RDF,R (A),RDF
6.53625,1.168176095,6.53625,0.85567085,6.53625,1.091980603
6.58875,1.198609835,6.58875,0.844423787,6.58875,1.106319927
6.64125,1.200019803,6.64125,0.829609398,6.64125,1.132750733
6.69375,1.221721732,6.69375,0.822935529,6.69375,1.141597821
6.74625,1.224244269,6.74625,0.816264188,6.74625,1.130792234
6.79875,1.236060119,6.79875,0.814494731,6.79875,1.168519638
6.85125,1.241066008,6.85125,0.802923639,6.85125,1.165441987
6.90375,1.242472909,6.90375,0.799462972,6.90375,1.168618575
6.95625,1.245632072,6.95625,0.802954876,6.95625,1.170439326
7.00875,1.238165411,7.00875,0.81622542,7.00875,1.170908343
7.06125,1.228508639,7.06125,0.817427451,7.06125,1.188140278
7.11375,1.22032903,7.11375,0.820855211,7.11375,1.166894378
7.16625,1.207008619,7.16625,0.832555301,7.16625,1.189222477
7.21875,1.188773514,7.21875,0.840458106,7.21875,1.167223708
7.27125,1.178178786,7.27125,0.851752911,7.27125,1.171584601
7.32375,1.157323313,7.32375,0.862172528,7.32375,1.172394981
7.37625,1.140583265,7.37625,0.876693453,7.37625,1.175971763
7.42875,1.125785967,7.42875,0.892470102,7.42875,1.137065196
7.48125,1.106523612,7.48125,0.901091216,7.48125,1.142218972
7.53375,1.080307432,7.53375,0.92118402,7.53375,1.132939981
7.58625,1.065029425,7.58625,0.931407983,7.58625,1.131154867
7.63875,1.045298066,7.63875,0.947668531,7.63875,1.113181946
7.69125,1.021345293,7.69125,0.960418579,7.69125,1.108090273
7.74375,1.003422894,7.74375,0.979880863,7.74375,1.095254501
7.79625,0.982002355,7.79625,0.985571279,7.79625,1.069826332
7.84875,0.968380245,7.84875,1.00446975,7.84875,1.051930876
7.90125,0.954151505,7.90125,1.012725733,7.90125,1.047699139
7.95375,0.941758021,7.95375,1.031603483,7.95375,1.031714558
8.00625,0.932783581,8.00625,1.038220878,8.00625,1.023548184
8.05875,0.915108806,8.05875,1.048917458,8.05875,0.99857774
8.11125,0.910461737,8.11125,1.063112581,8.11125,0.988761416
8.16375,0.896660517,8.16375,1.069912126,8.16375,0.970272695
8.21625,0.890718694,8.21625,1.083538218,8.21625,0.971167653
8.26875,0.881836713,8.26875,1.091930139,8.26875,0.955522965
8.32125,0.881234528,8.32125,1.088148824,8.32125,0.936136536
8.37375,0.878399813,8.37375,1.101711955,8.37375,0.937312723
8.42625,0.877469724,8.42625,1.096857698,8.42625,0.920904876
8.47875,0.876429143,8.47875,1.105282203,8.47875,0.920730463
8.53125,0.873277047,8.53125,1.104058816,8.53125,0.908533724
