Cl-Cl,,K-Cl,,K-K,,K-Li,,Li-Cl,,Li-Li,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.6987499999999995,0.8516738735717471,4.6987499999999995,0.5119654970305403,4.6987499999999995,1.7159634194519091,4.6987499999999995,1.278274613751895,4.6987499999999995,0.9231450604673516,4.6987499999999995,0.8978598110116243
4.75125,0.8018449702880559,4.75125,0.5178591791448599,4.75125,1.779376210082273,4.75125,1.218440321045864,4.75125,0.9539679942719133,4.75125,0.8864022847537503
4.80375,0.7570685442990933,4.80375,0.5245465969749259,4.80375,1.6638098079884354,4.80375,1.1867312475812752,4.80375,0.99372981004598,4.80375,0.8150018151922588
4.856249999999999,0.7322334049089735,4.856249999999999,0.5170605951065198,4.856249999999999,1.6169962523022217,4.856249999999999,1.1511292637458252,4.856249999999999,1.035997155719844,4.856249999999999,0.7683266884418042
4.9087499999999995,0.6892071482135248,4.9087499999999995,0.5542476650273098,4.9087499999999995,1.562958234802374,4.9087499999999995,1.1262325769931825,4.9087499999999995,1.0636453269468438,4.9087499999999995,0.7510496509391292
4.96125,0.66317371978493,4.96125,0.5567825012448558,4.96125,1.4964169335165498,4.96125,1.1181375307218548,4.96125,1.0845934048001993,4.96125,0.707765878609413
5.01375,0.6377117795523757,5.01375,0.5749837732468552,5.01375,1.4845346120912715,5.01375,1.1087075534010207,5.01375,1.1157113868412138,5.01375,0.7132337968986121
5.06625,0.6398703251465273,5.06625,0.6037461324326674,5.06625,1.3944793456075928,5.06625,1.087878756899068,5.06625,1.143663615067104,5.06625,0.6621391994710498
5.11875,0.6244385741975114,5.11875,0.6206510076414703,5.11875,1.3335187545534806,5.11875,1.0752495133636752,5.11875,1.1798912490813573,5.11875,0.6476285219252456
5.17125,0.610973228263658,5.17125,0.6534783443821459,5.17125,1.3278107249984445,5.17125,1.1104063822978187,5.17125,1.1976184760752344,5.17125,0.6229499522158766
5.22375,0.6012557012381785,5.22375,0.6698445542754194,5.22375,1.2201978560948916,5.22375,1.0799632086749813,5.22375,1.2247858611792892,5.22375,0.6230872924289859
5.27625,0.60536972558179,5.27625,0.7163038779879312,5.27625,1.1985855978450162,5.27625,1.0692251272567876,5.27625,1.22681204541183,5.27625,0.6111519407824547
5.328749999999999,0.6057867960667394,5.328749999999999,0.7389733228355029,5.328749999999999,1.1209333121204854,5.328749999999999,1.0671864194842222,5.328749999999999,1.2486511877299722,5.328749999999999,0.6291668759198084
5.38125,0.6054438339807836,5.38125,0.781537001573031,5.38125,1.063632208176316,5.38125,1.0338678392972753,5.38125,1.2675809827270472,5.38125,0.6197887642047443
5.43375,0.6262705265759532,5.43375,0.8080188677454022,5.43375,1.0399735300206256,5.43375,1.011449211933762,5.43375,1.279893061561945,5.43375,0.627989052351155
