Mg-Cl,,K-Cl,,Mg-Mg,,K-K,,Na-Cl,,Cl-Cl,,Na-Na,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.386562721,8.128483967,3.344071942,2.187261005,3.692378766,1.663175518,5.580757341,1.248821435,2.893690011,3.204825315,3.64793169,2.325513181,4.228497092,1.574941599
2.387648811,7.856651194,3.369106664,2.073227644,3.770700649,1.626454248,5.688936851,1.201496803,2.907998578,3.088487973,3.703957036,2.275995646,4.322237527,1.582264212
2.40750012,7.539512959,3.405435785,1.953192527,3.80426717,1.589732979,5.756887925,1.157782736,2.922376269,2.963201604,3.782424697,2.199463908,4.456152433,1.564232402
2.417817973,7.282782006,3.463778196,1.845160922,3.860211372,1.549951604,5.851687108,1.110445612,2.923136628,2.864762314,3.827450092,2.113904051,4.616850321,1.531715206
2.42837718,6.965643771,3.477086884,1.755134584,3.904966733,1.500989911,5.919550729,1.070379589,2.937306948,2.766323024,3.86123422,2.046355789,4.723982247,1.470147315
2.429342593,6.724014639,3.51312825,1.647102978,3.904966733,1.45814843,6.000532319,1.041270193,2.965025477,2.649985682,3.88389774,1.969792163,4.817722681,1.39769041
2.430428683,6.452181865,3.548594105,1.563078396,3.927344414,1.406126632,6.081601361,1.008512753,2.965785836,2.551546392,3.895360212,1.902231145,4.898071625,1.354234248
2.450581684,6.059534526,3.561758916,1.479053814,3.949722095,1.369405363,6.176400544,0.961175628,2.993504365,2.435209049,3.951506216,1.825686652,5.005203551,1.2962927
2.470432993,5.742396291,3.58535486,1.425038012,3.994477456,1.317383565,6.25755704,0.924770144,3.021222894,2.318871707,3.985370783,1.740120418,5.112335476,1.238351151
2.471519083,5.470563517,3.632115115,1.335011674,4.028043978,1.26230166,6.352356222,0.877433019,3.049148793,2.175687285,4.030355959,1.663569547,5.19268442,1.184015965
2.473148217,5.062814358,3.667149338,1.26899236,4.039232818,1.225580391,6.460273373,0.841052521,3.049840028,2.086197022,4.030677712,1.591497659,5.299816345,1.1333271
2.483345394,4.836287047,3.691320793,1.190969533,4.10636586,1.152137852,6.581570851,0.804684516,3.077904175,1.925114548,4.098044873,1.501446064,5.380165289,1.075365571
2.484552161,4.534250632,3.782683138,1.100943196,4.151121222,1.106236266,6.689488001,0.768304018,3.105553581,1.817726231,4.120708393,1.424882438,5.447122743,1.03189942
2.494930353,4.262417858,3.840593916,1.010916858,4.195876583,1.051154362,6.797142793,0.742867653,3.133341233,1.692439863,4.154512631,1.352829683,5.527471687,0.981190575
2.514419631,4.035890547,3.898216938,0.932894032,4.195876583,1.008312881,6.944676207,0.728412902,3.174607971,1.558204467,4.199538026,1.267269826,5.635719569,0.932416445
2.5249185,3.733854133,3.944401682,0.866874717,4.240631945,0.962411294,7.105240136,0.728562821,3.188847415,1.450816151,4.25570414,1.18622084,5.691517447,0.894683676
2.535236354,3.47712318,4.046195161,0.806857159,4.285387306,0.922629919,7.238431238,0.754224065,3.229906782,1.343427835,4.311830034,1.11418084,5.765914618,0.85444649
2.536563797,3.144883124,4.148276396,0.734836088,4.318953827,0.885908649,7.371622341,0.77988531,3.270827902,1.253937572,4.379217305,1.019624752,5.858911081,0.814223178
2.537287857,2.963661275,4.249925997,0.680820286,4.374898029,0.830826745,7.49099585,0.823774283,3.298339061,1.164447308,4.435343199,0.947584752,5.989106129,0.776545909
