K-K,,K-Cl,,K-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8.202655389,1.038209558,9.217874296,1.137247065,8.104233951,1.075322295,8.678487621,1.046208763,4.730442419,0.372511933,7.851012667,1.128520257
8.359274795,1.081456473,9.374556298,1.104175525,8.261079115,1.142315816,8.835171442,1.028013777,4.893441702,0.434546859,8.008032238,1.209091296
8.5158942,1.105194605,9.531233534,1.073621558,8.417872058,1.181737174,8.991845727,1.004783699,5.016641176,0.555064956,8.165042222,1.284605074
8.672513606,1.128932736,9.687934597,1.030479724,8.574627023,1.201106049,9.148539085,0.991623803,5.200736124,0.679288998,8.322013857,1.339889807
8.829133012,1.139164788,9.844602303,1.004960904,8.731348757,1.202929002,9.305222907,0.973428816,5.357526987,0.800070934,8.478923175,1.362302342
8.985752418,1.132889407,10.00127001,0.979442083,8.888046755,1.192219154,9.461906728,0.955233829,5.514346535,0.941059684,8.635765383,1.349314049
9.142371824,1.110106595,10.15793772,0.953923262,9.044687786,1.151430581,9.618595318,0.939556388,5.67115174,1.071945028,8.792535686,1.298396297
9.29899123,1.088824459,10.31460066,0.930922014,9.201328817,1.110642009,9.775279139,0.921361401,5.827942603,1.192726963,8.949305989,1.247478545
9.455610635,1.058538269,10.47125883,0.91043834,9.357955605,1.062333755,9.931967729,0.905683959,5.984676096,1.273095268,9.106047531,1.18138901
9.612230041,1.020748701,10.62789795,0.900024958,9.514577647,1.011518942,10.08868493,0.90511179,6.141373733,1.328205054,9.26279866,1.120356735
9.768849447,0.993463862,10.784518,0.899681869,9.671209183,0.965717249,10.24537828,0.891951894,6.29800683,1.337849506,9.419554582,1.061853091
9.925468853,0.960176321,10.94113806,0.899338781,9.827840719,0.919915556,10.40210979,0.89893236,6.454611242,1.327287142,9.576286537,0.990706295
10.08208826,0.941895535,11.09774858,0.904030838,9.98448175,0.879126983,10.55883652,0.903395282,6.611143942,1.26620774,9.733037666,0.92967402
10.23870766,0.916111372,11.25434958,0.913758042,10.14114177,0.848364652,10.71555849,0.905340658,6.767712498,1.230386857,9.889807969,0.878756268
10.39532707,0.89332856,11.41093628,0.931037966,10.29785401,0.845174484,10.87229953,0.917356215,6.924209342,1.144048936,10.04664059,0.860710714
10.55194648,0.885552504,11.56751345,0.953353036,10.45452827,0.821931834,11.02904056,0.929371772,7.080742042,1.082969535,10.20342527,0.817378854
10.70856588,0.874775097,11.72409062,0.975668106,10.61122627,0.811221986,11.18579114,0.94642242,7.237332112,1.062303763,10.36024831,0.794276038
10.86518529,0.871501068,11.88068208,0.990430456,10.76795275,0.815551499,11.34253218,0.958437978,7.393857641,0.996172658,10.51709051,0.781287745
11.02180469,0.875730417,12.03726402,1.010227953,10.92466974,0.814867892,11.49925891,0.962900899,7.550397512,0.94014496,10.6739519,0.778413975
11.1784241,0.882961117,12.19386025,1.02247273,11.08143894,0.841756448,11.65599995,0.974916456,7.706958897,0.899272373,10.83085163,0.795769249
11.33504351,0.896194519,12.35043265,1.047305373,11.23817967,0.853605642,11.81271715,0.974344287,7.863541795,0.873554898,10.98773698,0.805538631
11.49166291,0.912429273,12.5070527,1.046962284,11.39494887,0.880494198,11.96945342,0.983842299,8.020031468,0.782165273,11.14466547,0.838065689
11.64828232,0.933166053,12.66367276,1.046619195,11.55172283,0.909889314,12.12618015,0.98830522,8.176657394,0.786758021,11.30160834,0.878178638
11.80490172,0.952402158,12.82029281,1.046276106,11.70849678,0.939284431,12.28289735,0.987733051,8.333247463,0.766092249,11.4585656,0.925877479
11.96152113,0.964134885,12.97691287,1.045933018,11.8652565,0.961159866,12.43961455,0.987160882,8.489866218,0.765633293,11.61550847,0.965990429
12.11814053,0.984871666,13.13353769,1.043072355,12.0220257,0.988048422,12.59630791,0.974000985,8.646499314,0.775277745,11.77241779,0.988402964
12.27475994,0.999605744,13.29017681,1.032658974,12.17876643,0.999897617,12.75302034,0.970911271,8.803175438,0.815232419,11.92936066,1.028515913
12.43137935,1.012839146,13.44683022,1.014692873,12.33552139,1.019266492,12.90973753,0.970339101,8.959837219,0.845083686,12.08631792,1.076214754
12.58799875,1.008064441,13.6034741,1.001761918,12.49225262,1.026102565,13.06644996,0.967249387,9.116513343,0.885038361,12.24316971,1.068283723
12.74461816,1.022798519,13.76010845,0.993866109,12.64898385,1.032938639,13.22314332,0.95408949,9.273153611,0.899734516,12.40005985,1.080581735
12.90123756,1.022525841,13.91674756,0.983452728,12.80569609,1.029748471,13.37985575,0.950999776,9.429836906,0.944740895,12.55693082,1.082765226
13.05785697,1.016250461,14.07338668,0.973039346,12.96238934,1.016532062,13.53654911,0.937839879,9.586520201,0.989747273,12.71378741,1.077362825
13.21447638,1.005473054,14.2300258,0.962625964,13.1190731,0.998302533,13.69326631,0.93726771,9.743189154,1.024650243,12.87063921,1.069431793
13.37109578,0.996196322,14.38666015,0.954730156,13.2757616,0.982579564,13.84997397,0.93166045,9.899843764,1.049449807,13.02745745,1.043800347
13.52771519,0.983918239,14.54328497,0.951869494,13.43243586,0.959336913,14.0066721,0.921018099,10.05648403,1.064145962,13.18429965,1.030812054
13.68433459,0.971640157,14.69990502,0.951526405,13.58912436,0.943613944,14.16341313,0.933033657,10.21310279,1.063687006,13.34110351,0.997594716
13.840954,0.954860047,14.85652508,0.951183316,13.74580812,0.925384415,14.32012556,0.929943942,10.36972154,1.06322805,13.49792175,0.97196327
13.9975734,0.950085342,,,13.90251561,0.919687687,14.47683799,0.926854227,10.52634029,1.062769094,13.6547304,0.941274563
14.15419281,0.940808611,,,14.05918987,0.896445036,14.63354566,0.921246967,10.68295905,1.062310138,13.81158699,0.935872161
14.31081222,0.931531879,,,14.21589737,0.890748308,14.79028669,0.933262524,10.8395778,1.061851182,13.96837647,0.895068932
14.46743162,0.925256499,,,14.37260486,0.88505158,14.96008273,0.942712856,10.99614636,1.026030299,14.12524265,0.894723791
14.62405103,0.929485848,,,14.52930286,0.874341732,,,11.15272209,0.99526112,14.28209923,0.88932139
14.78067043,0.930713845,,,14.68602934,0.878671245,,,11.30931216,0.974595349,14.438975,0.894033511
14.93542532,0.949738814,,,14.84275107,0.880494198,,,11.46588788,0.94382617,14.5958172,0.881045218
,,,,,,,,11.6224923,0.933263806,14.75269776,0.88828597
,,,,,,,,11.77908236,0.912598035,14.91888696,0.880406641
,,,,,,,,11.95400442,0.875395027,,
,,,,,,,,12.1183728,0.876241703,,
,,,,,,,,12.27499156,0.875782747,,
,,,,,,,,12.43161031,0.875323791,,
,,,,,,,,12.58822906,0.874864835,,
,,,,,,,,12.74484782,0.874405879,,
,,,,,,,,12.90149526,0.894153738,,
,,,,,,,,13.05812835,0.90379819,,
,,,,,,,,13.21479014,0.933649456,,
,,,,,,,,13.37140889,0.9331905,,
,,,,,,,,13.52802764,0.932731544,,
,,,,,,,,13.68471094,0.977737923,,
,,,,,,,,13.84135121,0.992434078,,
,,,,,,,,13.99796996,0.991975122,,
,,,,,,,,14.15460306,1.001619574,,
,,,,,,,,14.31121464,0.996108914,,
,,,,,,,,14.46782622,0.990598254,,
,,,,,,,,14.62444498,0.990139298,,
,,,,,,,,14.79416908,1.027529874,,
