Cl-Cl,,K-Cl,,K-K,
4.016250000,1.401121769,4.016250000,0.722416347,4.016250000,1.344183533
4.068750000,1.491870918,4.068750000,0.685860674,4.068750000,1.397033815
4.121250000,1.535935074,4.121250000,0.641581714,4.121250000,1.482908588
4.173750000,1.598898005,4.173750000,0.601259908,4.173750000,1.512857505
4.226250000,1.630264233,4.226250000,0.568775432,4.226250000,1.550830250
4.278750000,1.667514481,4.278750000,0.541485264,4.278750000,1.609938587
4.331250000,1.678308148,4.331250000,0.521508885,4.331250000,1.655311130
4.383750000,1.698639967,4.383750000,0.512417380,4.383750000,1.656633951
4.436250000,1.677544229,4.436250000,0.494203807,4.436250000,1.701838450
4.488750000,1.697690961,4.488750000,0.480906998,4.488750000,1.656081971
4.541250000,1.656077364,4.541250000,0.467875744,4.541250000,1.665566542
