Cl-Cl,,Li-Cl,,Li-Li,
R (A),RDF,R (A),RDF,R (A),RDF
4.9087499999999995,0.7174044610839949,4.9087499999999995,1.0882300090169785,4.9087499999999995,0.889278398629135
4.96125,0.6867613396608102,4.96125,1.1191028519747273,4.96125,0.863767729863906
5.01375,0.657667305064741,5.01375,1.1446770787214717,5.01375,0.8396800881956077
5.06625,0.6364699703923404,5.06625,1.1699709711673856,5.06625,0.819390477633571
5.11875,0.618682455218697,5.11875,1.1939844437330165,5.11875,0.8043395388778134
5.17125,0.6075817570794843,5.17125,1.2148566385898112,5.17125,0.7917918862807651
5.22375,0.5975058853652024,5.22375,1.2348809434987253,5.22375,0.7811581026219535
5.27625,0.5939797483586624,5.27625,1.2530068286580855,5.27625,0.7735559393396124
5.328749999999999,0.592325526519438,5.328749999999999,1.2695969207476803,5.328749999999999,0.7697894136213711
5.38125,0.5883367572347724,5.38125,1.2813572092143213,5.38125,0.7689528987943678
5.43375,0.5937252781623688,5.43375,1.290167063547914,5.43375,0.7718506308928821
5.48625,0.6000725821098564,5.48625,1.2977042655624476,5.48625,0.7761944740220784
5.53875,0.6062964537155834,5.53875,1.3003111301471593,5.53875,0.7833357597198979
5.59125,0.6160785006394722,5.59125,1.3000912108968705,5.59125,0.7887508999189695
5.64375,0.631702463712116,5.64375,1.298295740735371,5.64375,0.7986536651632724
5.69625,0.6464024536411977,5.69625,1.2883027865363441,5.69625,0.8107175461345656
5.748749999999999,0.6663018176204697,5.748749999999999,1.275422922489011,5.748749999999999,0.8253793448343089
5.80125,0.6845162734602134,5.80125,1.2598213245546475,5.80125,0.8360230721289903
5.85375,0.7078055466247677,5.85375,1.2398758383706243,5.85375,0.8546153523134586
5.90625,0.7334228369788048,5.90625,1.2198034278595797,5.90625,0.8680992118976925
5.95875,0.7619844679883206,5.95875,1.1925312390462597,5.95875,0.8878079859037009
6.0112499999999995,0.7920938138806679,6.0112499999999995,1.166129640804549,6.0112499999999995,0.9038262604101209
6.06375,0.8203592321599602,6.06375,1.139949058106354,6.06375,0.9225137262841265
6.11625,0.8507954678540505,6.11625,1.113611385666647,6.11625,0.9414089947582145
6.168749999999999,0.8851611555866543,6.168749999999999,1.0857082191245897,6.168749999999999,0.9606126864307737
6.2212499999999995,0.9173071850411142,6.2212499999999995,1.0572362318960729,6.2212499999999995,0.9788009694393072
6.27375,0.9468383520145642,6.27375,1.0289008161016586,6.27375,0.9960238295607939
6.32625,0.9812650096305963,6.32625,1.0007797230271058,6.32625,1.0131073516922349
6.37875,1.0184034511060278,6.37875,0.9775000873668617,6.37875,1.0253520440781074
6.4312499999999995,1.0507174087521236,6.4312499999999995,0.9534841569428377,6.4312499999999995,1.0456993128714838
6.48375,1.0841438588874912,6.48375,0.9318266897450003,6.48375,1.0591010978284776
6.53625,1.1149623623027305,6.53625,0.9108062689163564,6.53625,1.0711392953682832
6.588749999999999,1.1447320078377494,6.588749999999999,0.8923405692110995,6.588749999999999,1.0839202390860114
6.641249999999999,1.1740022170738789,6.641249999999999,0.8745573192462811,6.641249999999999,1.0962254464965364
6.69375,1.1976561390571467,6.69375,0.8598723753185007,6.69375,1.1051297537217766
6.74625,1.2193161070230913,6.74625,0.8461402387180005,6.74625,1.1120343422844898
6.79875,1.2430069434395903,6.79875,0.8355414104275853,6.79875,1.1202644522882172
6.85125,1.2576159757444745,6.85125,0.8271549766854688,6.85125,1.1240666478300925
6.90375,1.2705035006477958,6.90375,0.8219961801861105,6.90375,1.1307705258751681
6.95625,1.2828710356379378,6.95625,0.8180935115667464,6.95625,1.1327903180151062
7.00875,1.2879049904336064,7.00875,0.815718734618191,7.00875,1.1349673247458185
7.061249999999999,1.288578313605968,7.061249999999999,0.8159020177535075,7.061249999999999,1.133758104371283
7.11375,1.287243405178827,7.11375,0.8170754464347969,7.11375,1.133967089633638
7.16625,1.2841378228341063,7.16625,0.8203784850772026,7.16625,1.1322438692582033
7.21875,1.2783228285519674,7.21875,0.824593314815694,7.21875,1.128686140873132
7.27125,1.265497158339093,7.27125,0.831365836688968,7.27125,1.1256351971688607
7.3237499999999995,1.2551919448507134,7.3237499999999995,0.8407943473790991,7.3237499999999995,1.1194797213462806
7.37625,1.24143292133485,7.37625,0.8497636847149459,7.37625,1.115213553361831
7.42875,1.226146104841841,7.42875,0.8605125513470047,7.42875,1.106902936742349
7.481249999999999,1.2101929090089116,7.481249999999999,0.8699486146423895,7.481249999999999,1.1006139509612043
7.5337499999999995,1.1899571163807752,7.5337499999999995,0.8823312241824155,7.5337499999999995,1.0922534402256672
7.58625,1.1693382109942376,7.58625,0.8946500921677999,7.58625,1.0827426481707487
7.63875,1.1468392037328567,7.63875,0.9093520353159497,7.63875,1.0768201212053952
7.69125,1.1252376836671527,7.69125,0.92540147630608,7.69125,1.065933647099138
