U-Cl,,U-U,,K-U,,K-Cl,,K-K,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.668532668,6.830973623,5.063098552,1.341399617,5.03055747,2.024534211,3.23507114,2.428257495,5.386106221,1.376130545,3.979264638,1.589568549
2.672838922,6.949473484,5.096505084,1.305332061,5.161640858,1.959236781,3.248038525,2.386727866,5.42278872,1.369664921,4.048651867,1.523958956
2.675216947,7.047746185,5.128245125,1.268715345,5.283346917,1.858135796,3.264338252,2.347434199,5.444464742,1.363355723,4.094957589,1.480145655
2.687402251,7.236509382,5.163305319,1.241065837,5.403950541,1.763452062,3.277218465,2.309403331,5.526086957,1.31015143,4.133449072,1.430907553
2.699779932,7.355254299,5.199980872,1.245325701,5.427287608,1.741912728,3.289554054,2.26839828,5.62173913,1.247335951,4.208203561,1.36026936
2.709906895,7.452931531,5.236651149,1.25282201,5.544145613,1.653683017,3.303310069,2.235455494,5.7,1.202467751,4.25702789,1.296208474
2.720513253,7.561689323,5.273334958,1.252018402,5.628430899,1.558684057,3.315358387,2.195769719,5.789613711,1.155152195,4.319237618,1.243820944
2.734658449,7.699039313,5.310029747,1.2444809,5.680661477,1.507318835,3.32730879,2.158509325,5.873913043,1.139652271,4.35872205,1.212831138
2.741336204,7.784375347,5.346762032,1.213945247,5.767342011,1.424280497,3.345483719,2.116828659,5.952173913,1.085810432,4.390952905,1.185185185
2.757178965,7.87955334,5.378504101,1.176085377,5.874025746,1.311131663,3.358828961,2.086723119,6.039721659,1.049209772,4.426461935,1.154294837
2.77220598,7.788493144,5.400217242,1.153319187,5.943084413,1.224735057,3.370553973,2.037680157,6.134782609,1.005047672,4.487747021,1.106580373
2.780138102,7.706851347,5.528692892,1.100018012,5.997378814,1.168119358,3.385596925,2.004122477,6.195652174,0.978126753,4.524879852,1.066490386
2.787806489,7.614572831,5.547071513,1.077096812,6.040719081,1.128831395,3.41525379,1.928362655,6.252035518,0.932609581,4.557820494,1.049273826
2.798023282,7.509010097,5.627244264,0.992330085,6.127399615,1.044054029,3.450153457,1.820669189,6.288718017,0.904791754,4.594512417,1.031431211
2.808238171,7.407756337,5.658983805,0.956019738,6.170739882,1.019925145,3.499293443,1.715014621,6.316507789,0.893607267,4.628286079,1.014625501
2.81845909,7.292857491,5.689058998,0.917846761,6.225748683,0.980289383,3.531605024,1.645604384,6.395652174,0.888390353,4.668384653,0.984588754
2.830129484,7.185654262,5.72038775,0.877821261,6.260278017,0.935491501,3.551105564,1.601721312,6.466572558,0.848869319,4.705146721,0.975242622
2.838893374,7.080152064,5.739186237,0.853048006,6.302427617,0.902749839,3.571161899,1.557838085,6.559946192,0.824779654,4.755742794,0.945400587
2.846076268,6.935806416,5.783411051,0.798523788,6.378550907,0.873443884,3.587871615,1.524853501,6.614969941,0.797248609,4.787983665,0.932983795
2.853428164,6.792591993,5.837725021,0.753080568,6.453007263,0.816576436,3.615761057,1.461677151,6.708695652,0.780706674,4.829673439,0.917854092
2.860090672,6.675123216,5.974876695,0.699595397,6.540799086,0.757982621,3.641906545,1.407827979,6.804347826,0.780706674,4.853016119,0.912689124
2.866801499,6.576165116,6.079400385,0.591732104,6.594140953,0.750502948,3.737763582,1.21935466,6.900093002,0.785203777,4.898032617,0.904133016
2.867981719,6.462576553,6.144883634,0.532569015,6.673320288,0.729522144,3.842267503,1.075747115,7.030434783,0.762759394,4.933047005,0.89604645
2.876521324,6.316663869,6.168261023,0.511727816,6.695823888,0.72520927,3.990249698,0.932127378,7.17826087,0.771733034,4.958045392,0.901211418
2.883359706,6.184778101,6.21004035,0.465886714,6.822059223,0.692066534,4.089838467,0.834371782,7.256521739,0.771733034,5.008493581,0.893378227
2.888155285,6.072748096,6.271790224,0.41896127,6.943765281,0.683048649,4.127210937,0.813196811,7.338615604,0.766276184,5.069327096,0.911335578
2.895332942,5.940252127,6.308509065,0.396671841,7.091551209,0.674023443,4.163908409,0.799420997,7.386969808,0.769717564,5.112766715,0.936026936
2.901026406,5.842083292,6.345240314,0.366771545,7.187569226,0.683728275,4.200605372,0.786114463,7.417649716,0.769029288,5.148005949,0.965486572
2.903884165,5.768052989,6.381951444,0.349211503,7.252579627,0.700936249,4.237302675,0.772495076,7.462835885,0.763695148,5.214856769,0.987654321
2.920925367,5.562219022,6.418645722,0.341987205,7.323702117,0.696035518,4.274001168,0.757780704,7.498499426,0.762834803,5.271305386,1.014840708
2.930172286,5.389727671,6.45533285,0.339147769,7.355003421,0.699567677,4.310706122,0.737122127,7.517025941,0.762834803,5.321294678,1.032057267
2.938022579,5.229660166,6.492010021,0.342415818,7.379266562,0.702623306,4.347746084,0.715055619,7.587056166,0.774879635,5.372620136,1.046863508
