Cl-Cl,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF
5.381250000,0.893208463,5.381250000,0.994480588,5.381250000,0.990155171
5.433750000,0.883133503,5.433750000,1.041554828,5.433750000,0.959447419
5.486250000,0.842317302,5.486250000,1.069015692,5.486250000,0.943660762
5.538750000,0.846061746,5.538750000,1.111805981,5.538750000,0.923035627
5.591250000,0.832164298,5.591250000,1.146796005,5.591250000,0.895083648
5.643750000,0.805364768,5.643750000,1.183066979,5.643750000,0.882897127
5.696250000,0.787356775,5.696250000,1.216618034,5.696250000,0.867928525
5.748750000,0.763574958,5.748750000,1.239821759,5.748750000,0.841473300
5.801250000,0.760843950,5.801250000,1.262406468,5.801250000,0.836547602
5.853750000,0.747403508,5.853750000,1.285596989,5.853750000,0.822580937
5.906250000,0.747675909,5.906250000,1.308239769,5.906250000,0.801916163
5.958750000,0.721436141,5.958750000,1.321135715,5.958750000,0.796096556
6.011250000,0.722567407,6.011250000,1.329071857,6.011250000,0.787087288
6.063750000,0.720473911,6.063750000,1.349808824,6.063750000,0.775372765
6.116250000,0.715320523,6.116250000,1.344100579,6.116250000,0.770482055
6.168750000,0.719246067,6.168750000,1.346622276,6.168750000,0.764945109
6.221250000,0.717305284,6.221250000,1.337898775,6.221250000,0.759312552
6.273750000,0.710719983,6.273750000,1.331288082,6.273750000,0.746869036
6.326250000,0.709451170,6.326250000,1.319397386,6.326250000,0.761343976
6.378750000,0.728413641,6.378750000,1.297525286,6.378750000,0.761378345
6.431250000,0.738859485,6.431250000,1.290459061,6.431250000,0.787422075
6.483750000,0.753108476,6.483750000,1.256487796,6.483750000,0.791031100
6.536250000,0.764196400,6.536250000,1.245684899,6.536250000,0.789982526
6.588750000,0.777865056,6.588750000,1.216626764,6.588750000,0.809605262
6.641250000,0.799949692,6.641250000,1.202196328,6.641250000,0.837340039
6.693750000,0.812446223,6.693750000,1.161408085,6.693750000,0.848138146
6.746250000,0.832648849,6.746250000,1.142786279,6.746250000,0.864606301
6.798750000,0.846048628,6.798750000,1.122654988,6.798750000,0.869089952
6.851250000,0.889855996,6.851250000,1.095417355,6.851250000,0.900562630
6.903750000,0.902490220,6.903750000,1.062147103,6.903750000,0.912371245
6.956250000,0.939369694,6.956250000,1.044522786,6.956250000,0.936652864
7.008750000,0.962072152,7.008750000,1.011681651,7.008750000,0.952180076
7.061250000,0.979592590,7.061250000,0.991337347,7.061250000,0.976989332
7.113750000,1.017505998,7.113750000,0.976188975,7.113750000,1.005437460
7.166250000,1.033079748,7.166250000,0.954650641,7.166250000,1.014350095
7.218750000,1.080859384,7.218750000,0.940609715,7.218750000,1.028742073
7.271250000,1.085986890,7.271250000,0.919124153,7.271250000,1.065937224
7.323750000,1.116949267,7.323750000,0.902520612,7.323750000,1.077236618
7.376250000,1.133557430,7.376250000,0.886582836,7.376250000,1.097527786
7.428750000,1.156943932,7.428750000,0.874962350,7.428750000,1.107037966
7.481250000,1.172815258,7.481250000,0.868734670,7.481250000,1.115371245
7.533750000,1.184732237,7.533750000,0.858136055,7.533750000,1.125036768
7.586250000,1.193547908,7.586250000,0.843363482,7.586250000,1.135254122
7.638750000,1.216241349,7.638750000,0.845048394,7.638750000,1.149905061
7.691250000,1.216629242,7.691250000,0.834443187,7.691250000,1.163910892
7.743750000,1.221446060,7.743750000,0.838426465,7.743750000,1.160975960
7.796250000,1.229719369,7.796250000,0.828135537,7.796250000,1.172388135
7.848750000,1.231665703,7.848750000,0.833633823,7.848750000,1.161240812
7.901250000,1.233691800,7.901250000,0.828310061,7.901250000,1.170623765
7.953750000,1.223220098,7.953750000,0.827588487,7.953750000,1.168978687
8.006250000,1.221275633,8.006250000,0.833836378,8.006250000,1.173766292
8.058750000,1.216817918,8.058750000,0.832007168,8.058750000,1.162673915
8.111250000,1.209261801,8.111250000,0.835254887,8.111250000,1.162898629
8.163750000,1.197429149,8.163750000,0.846365670,8.163750000,1.156579327
8.216250000,1.191321097,8.216250000,0.846952995,8.216250000,1.146874888
8.268750000,1.173880382,8.268750000,0.853570075,8.268750000,1.142166384
8.321250000,1.160893234,8.321250000,0.860524716,8.321250000,1.135682547
