Na-Cl,,Na-Na,
X,Y,X,Y
14.01415534,1.022010844,,
14.1581095,1.00501153,,
14.30207702,1.002857016,,
14.44603691,0.992219759,,
14.58999441,0.978931645,,
14.73396002,0.974656446,,
14.87792038,0.964549361,,
15.02188981,0.964515533,,
15.16585924,0.964481706,,
15.30982867,0.964447879,,
15.45379954,0.966004566,,
15.5977704,0.967561253,,
15.74174985,0.978661026,,
15.88571928,0.978627199,,
15.96570659,0.983379949,,
