Rb-F,,Rb-Rb,,F-F,
X,Y,X,Y,X,Y
3.095077674986908,1.4827761131262154,6.53494210740676,0.7626269396376637,7.47690987374178,1.1069860408213978
3.1287193809274445,1.353598275771434,6.719971490079711,0.8289428347502783,7.6619392564147315,1.1391078025165706
3.162361086867981,1.2643135940703356,6.846127887356722,0.8786797560847388,7.846968639087681,1.1546505904335902
3.2044132192936514,1.1534992728101061,7.224597079187758,1.0527589807553532,8.031998021760632,1.1529236139983654
3.2548757782044566,1.0325533564632288,7.409626461860707,1.1249465957477307,8.217027404433583,1.133926873210898
3.305338337115261,0.9407357759904675,7.5946558445336585,1.1750289123692372,8.402056787106533,1.1062952502473085
3.372621748996334,0.8254888818798296,7.779685227206608,1.1974796060271542,8.587086169779484,1.0689925592464622
3.448315587362541,0.73050517794249,7.955369691562744,1.1957142523378126,8.772115552452433,1.0303082870974372
3.5408302786990165,0.6425774062976393,8.14974399255251,1.1708841689246992,8.957144935125385,0.9909332243743219
3.6922179554314303,0.553317395688472,8.33477337522546,1.1332360826368078,9.142174317798334,0.9567390909568791
3.8722010822132997,0.49494559217788936,8.43569849304707,1.1142393418493404,9.327203700471285,0.932216025576694
4.069005061965438,0.48012813436366475,8.75048874149066,1.0235977500919935,9.512233083144237,0.9163278423726302
4.2884237440442705,0.4979006407448292,8.923503229184847,0.9839217000473113,9.697262465817186,0.9087291460576434
4.482798045034037,0.5405377700678127,9.108532611857798,0.9467226276325791,9.882291848490137,0.909765331918778
4.667827427706987,0.6051266887452025,9.291879909233721,0.9174331072911741,10.067321231163087,0.9180548188078541
4.8444463838948035,0.6849130000525676,9.4785913772037,0.9004396591685664,10.252350613836038,0.936360769021233
4.995834060627217,0.7713481706355463,9.66362075987665,0.887314638260861,10.437379996508987,0.9567390909568791
5.130400884389363,0.8539839930610311,9.8486501425496,0.8924955675665345,10.622409379181939,0.9805713657629758
5.246464769884214,0.9333903695526464,10.033679525222551,0.9042390073260593,10.80743876185489,1.0047490358561166
5.4107484338938345,1.0464842997073722,10.2187089078955,0.9227521947116646,10.99246814452784,1.0251273577917637
5.5341013556758005,1.1299116529990005,10.353275731657646,0.9394693266046366,11.17749752720079,1.0410155409958275
5.6770786059230804,1.2172438918969428,10.630819805667073,0.9888608526520528,11.36252690987374,1.0520681901812639
5.845287135625763,1.2921179146774477,10.845285681037993,1.020205474951374,11.547556292546691,1.0572491194869365
6.030316518298713,1.3332199538357878,11.042930703438644,1.0427425174310523,11.732585675219642,1.0551767477646674
6.200394031664758,1.3257363892831489,11.227960086111596,1.0579399100610267,11.917615057892592,1.0461964703015
6.417196136614883,1.2675948492972617,11.446631174725082,1.068647163959417,12.102644440565543,1.033762239967885
6.593815092802698,1.1940256531567046,11.631660557398032,1.068647163959417,12.287673823238492,1.0209826143472256
6.770434048990515,1.1121669701270713,11.820054110665037,1.0633280765389257,12.472703205911444,1.0057852217172512
6.955463431663466,1.0334168446808407,12.001719322743932,1.0496504231719497,12.657732588584393,0.9902424338002316
7.1909553732472205,0.9456864417714446,12.770672601384765,0.9742062240445772,12.842761971257344,0.9805713657629758
7.369256414732064,0.8976764968722071,12.901634956653282,0.9698641118645845,13.027791353930295,0.96882792600345
7.561014138593121,0.862791572880675,13.15731192180136,0.9546667192346101,13.212820736603245,0.9653739731330013
7.754453947751207,0.840686274509804,13.338977133880256,0.9546667192346101,13.397850119276196,0.962610810836642
8.019382382032932,0.8387866004310567,13.595962387592689,0.9546667192346101,13.582879501949146,0.9653739731330013
8.233848257403851,0.8593376200102272,13.902475708384243,0.9698641118645845,13.767908884622097,0.9677917401423155
8.4188776400768,0.8869692429738167,14.297765753185546,1.0002588971245334,13.952938267295046,0.9778082034666165
8.603907022749752,0.9235811434005718,14.813204747774478,1.0244900909425434,14.137967649967997,0.9854068997816032
8.780525978937568,0.9630252851810965,14.96862454180485,1.019885233956555,14.322997032640949,0.9936963866706803
9.041249199976725,1.0230549860694946,,,14.5080264153139,1.0050944311431609
9.226278582649677,1.0589760959221612,,,14.693055797986847,1.011656941597014
9.43149298888695,1.0891636440098829,,,14.869674754174664,1.0139365504915094
9.616522371559899,1.1013215581138613,,,,
9.781366730668527,1.1049520463532447,,,,
10.016858672252283,1.0886800906080198,,,,
10.210298481410367,1.0681722454397304,,,,
10.432333740617908,1.038252378699469,,,,
10.580357246756268,1.0179891885261698,,,,
10.857901320765693,0.9812621563370652,,,,
11.042930703438644,0.9607456762866002,,,,
11.233006342002675,0.9478278925511221,,,,
11.497093733635886,0.9318706302896489,,,,
11.640070983883167,0.9318706302896489,,,,
11.892383778437189,0.9466880881038744,,,,
12.066900128003722,0.9565663933133575,,,,
12.268983986604862,0.9732413102268014,,,,
12.430651073485773,0.9874360970929921,,,,
12.766133641059456,1.017144888935615,,,,
12.94789230232152,1.0268543342269885,,,,
13.145537324722172,1.038252378699469,,,,
13.330566707395123,1.038252378699469,,,,
13.515596090068072,1.038252378699469,,,,
13.658573340315353,1.0357194799278062,,,,
13.885654855413975,1.0230549860694946,,,,
14.07909466457206,1.0149813712348204,,,,
14.222071914819338,1.0002588971245334,,,,
14.516436841799031,0.9926602008095458,,,,
14.760339209867922,0.9774628081795722,,,,
14.920137313085469,0.9774628081795722,,,,
