Li-Li,,Li-Ca,,Li-Cl,,Ca-Ca,,Ca-Cl,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.310383165221875,-0.003498793960933,3.646523727168889,0.8533706547582707,1.9578002642518773,1.1291506770672601,3.814189842415649,0.2619756424842352,1.1682672166543135,0.0025734861653363694,1.2156391995101672,0.01715691302596767
1.3972318004576072,-0.0036276176473144517,3.6789823080145663,0.9275271884102976,1.9656955947278532,1.2456986372612997,3.851802319544256,0.3203229642481604,1.2551158518900454,0.0024446624789549176,1.3024878347458995,0.01702808933958533
1.484080435693339,-0.0037564413336967917,3.710563629918469,0.9974517338397471,1.9578002642518773,1.1883516021440181,3.8851381593317083,0.3909368871887313,1.3419644871257776,0.0023158387925725776,1.3893364699816313,0.016899265653203877
1.5709290709290709,-0.0038852650200782435,3.7387612387612394,1.0676429714868254,1.9722750367911657,1.3436592913844798,3.9237375527698113,0.4627152981792326,1.4288131223615095,0.002187015106191126,1.4761851052173636,0.016770441966822425
1.6577777061648031,-0.0040140887064605835,3.769778608488287,1.144267185125572,1.9792304469723827,1.4998154881523433,3.9592665399117015,0.5483134409153196,1.5156617575972418,0.002058191419809674,1.5630337404530954,0.016641618280440085
1.744626341400535,-0.004142912392842035,3.801359930392189,1.228112740164656,1.9775385904418166,1.413622874294651,3.9908478618156042,0.6284955723729198,1.6025103928329736,0.001929367733427334,1.6498823756888272,0.014914209758502217
1.8314749766362672,-0.004271736079223487,3.8329412522960915,1.309393898696702,1.9906974745684425,1.6030023547169368,4.022429183719507,0.7130738121283002,1.6893590280687054,0.0055305753300105565,1.7367310109245595,0.015051816878045798
1.918323611871999,-0.004400559765605827,3.867592980496207,1.3887166769458732,1.9984048209854663,1.730896739928201,4.0569712545519,0.7965486330926534,1.7762076633044377,0.0016717203606635422,1.8235796461602913,0.01625514722129484
2.0051722471077316,-0.002131506198653099,3.9000515613418845,1.4635244859012753,1.985433920917792,1.6630903089493945,4.0776964970513365,0.8667335097216675,1.8630562985401695,0.0015428966742820904,1.9104282813960236,0.015859892728987468
2.092020882343463,-0.004658207138369619,3.928249170184655,1.5291626113827954,2.006926764991281,1.8545333675322908,4.101946440656119,0.9368957132424569,1.9525367106012268,0.005860550479555471,1.9972769166317554,0.014132484207048712
2.1775536291665327,0.004251365883608749,3.9592665399117015,1.6000823511589495,1.98938158615578,1.7920369633954705,4.136034216679379,1.0174172093706364,2.0367535690116334,0.003416695748925669,2.084125551867488,0.015602245356223676
2.2657181528149275,-0.0049158545111325225,3.9908478618156042,1.6777000861095122,2.0130675775837066,1.9561232061132374,4.168492797525056,1.0923878371518825,2.1749218523412077,0.07422666003799527,2.1709741871032193,0.019469883758731932
2.352566788050659,-0.0050446781975148625,4.022429183719507,1.7460371479869865,2.0209629080596825,2.0781035001323884,4.200074119428959,1.1575499319254057,2.1907125132931586,0.15589758341662385,2.2578228223389516,0.015344597983459884
2.699961328993587,0.10873884279921242,4.046904708195032,1.8238608056483567,2.009119912345719,2.011813100173881,4.228271728271729,1.2201526492965549,2.2065031742451096,0.21986195948475196,2.344671457574684,0.014949343491152511
2.7710193032773685,0.16976028078942917,4.093487158003287,1.9012609066438957,2.0288582385356584,2.195687685853761,4.262359504294989,1.2936961957457198,2.2222938351970614,0.28822244385065954,2.4247526666881507,0.012851357741506142
2.826286616609197,0.23122381824881977,4.1448068060971295,1.9680335414814456,2.0385080868951837,2.344896825996551,4.28692275466469,1.3583965259191544,2.2380844961490123,0.35658292821656623,2.5183687280461475,0.010428803223572203
