Na-Na,,Na-Cl,,Ca-Ca,,Ca-Cl,,Mg-Mg,,Mg-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.006610499,1.211631032,2.658468805,2.813400795,4.04709449,0.752673778,2.466243711,3.559743199,3.664175215,0.749593428,1.848620728,7.537080638
5.13666059,1.104332585,2.744535821,2.733307617,4.116116031,0.883604423,2.470304413,3.835855064,3.70245237,0.915572575,1.860065142,8.037906731
5.289458894,0.995120863,2.774046936,2.602542424,4.141725001,1.027793383,2.482374918,4.069114989,3.738497146,1.090115374,1.866010292,8.437491472
5.443151764,0.911174034,2.812679668,2.480922111,4.174416691,1.158187355,2.48917687,4.239717635,3.763144077,1.180260148,1.875671161,8.693531696
5.596842351,0.829688168,2.8513124,2.359301798,4.205210711,1.02731432,2.503748659,4.49401047,3.778592875,1.330026987,1.88533203,8.918213649
5.750494103,0.790038657,2.884886084,2.216465183,4.211248754,1.314722847,2.513344177,4.80870454,3.785436354,1.430068607,1.887632237,9.405001017
5.904139003,0.757772033,2.920529379,2.06819604,4.235803462,1.184089786,2.513693178,4.968048669,3.814216583,1.548578565,1.898213188,9.965510136
6.057765629,0.745193105,2.952723322,1.938109616,4.248080816,1.472302223,2.525216977,5.162339871,3.835464147,1.642753926,1.900146423,10.35458344
6.211378548,0.74737995,2.979283326,1.826289268,4.263175924,1.316744043,2.54345025,5.364141868,3.862494077,1.737416648,1.925263621,10.83085191
6.364986899,0.754488719,3.020330604,1.692090088,4.28370527,1.640321995,2.557878704,5.620628234,3.88999816,1.903961524,1.981940718,10.98446284
6.51857926,0.778824223,3.081499096,1.532708574,4.296988965,1.497640716,2.579648044,5.842519875,3.952195664,1.971385887,2.015929849,10.38422388
6.672164768,0.810542614,3.120874766,1.389268935,4.323698426,1.81527493,2.616450102,6.05124897,4.026957448,1.937561557,2.030099123,9.95747893
6.825732001,0.861948701,3.164910677,1.294030782,4.380313959,1.948840062,2.678361156,5.842813518,4.064073787,1.820006455,2.051389131,9.568601473
6.979294666,0.918276712,3.234273992,1.113296721,4.431033521,2.05942682,2.688740085,5.610299418,4.094649533,1.687431145,2.069985489,9.196824841
7.132855046,0.977065686,3.309673671,1.020260274,4.478272328,2.20872365,2.721250828,5.429180836,4.136490027,1.559970728,2.075451535,8.704257458
7.286410858,1.040776583,3.357964586,0.915041762,4.548171555,2.347736795,2.732038743,5.21401841,4.155571132,1.413614707,2.082866648,8.240327815
