Na-Na,,Na-Cl,,K-K,,K-Cl,,Ca-Ca,,Ca-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.710273379,1.329882973,2.663674783,3.042401269,3.56953536,0.24141573,2.789924596,1.417944413,3.553274145,0.034061206,2.463936651,2.991808442
3.772823319,1.471712047,2.740141367,2.976817928,3.635414913,0.335159833,2.806958225,1.566637238,3.647169315,0.042805979,2.468203677,3.294307777
3.854325694,1.612186848,2.776835848,2.813958315,3.689882565,0.445005745,2.840305844,1.738598831,3.743805409,0.069655434,2.476748484,3.532554877
3.954271302,1.719101939,2.80717221,2.696926545,3.73357419,0.539861258,2.863526391,1.871772371,3.823265269,0.127478565,2.488541091,3.830479767
4.061682027,1.773874135,2.854183754,2.575005572,3.800365245,0.611053607,2.885319692,2.011992743,3.900736486,0.250905711,2.497273435,4.073398292
4.163503507,1.80334408,2.891823715,2.419214175,3.837981967,0.768927296,2.915958617,2.170364311,3.959483732,0.352360878,2.503448352,4.318863296
4.272372297,1.791868822,2.920837898,2.272511563,3.901531429,0.879818896,2.952429595,2.299542318,3.996573161,0.458863317,2.51786693,4.730054661
4.369409166,1.747346963,2.952293775,2.143172734,3.949502249,0.99717453,2.998478313,2.418584112,4.019797705,0.574359483,2.525471298,5.006589854
4.438446581,1.683793451,2.979194147,2.024931041,3.99699811,1.11122199,3.078978305,2.447519721,4.054267256,0.678829057,2.548271634,5.289889932
4.509798321,1.618746927,3.012893749,1.900741525,4.063492316,1.177616669,3.156577034,2.371982208,4.089436907,0.814350799,2.561701619,5.506247459
4.580231404,1.556467396,3.052554308,1.762517828,4.115005929,1.228699755,3.190273365,2.24115871,4.12304711,0.941095805,2.581936366,5.702414825
4.653906493,1.486610586,3.092859975,1.623549332,4.155570746,1.292272317,3.245567753,2.123175569,4.154630031,1.092409217,2.622056269,5.931473608
4.723990615,1.422079951,3.140243782,1.462616161,4.178086875,1.391849969,3.300844127,1.996708716,4.190419943,1.230514953,2.710288918,5.706909133
4.795867174,1.351261225,3.1850564,1.330692216,4.221314277,1.580265263,3.34798646,1.883384066,4.207913898,1.338626699,2.73940495,5.40637446
4.857627213,1.283572234,3.23351538,1.204340973,4.298501837,1.635230694,3.385723595,1.745546841,4.243679808,1.470223174,2.762191102,5.155849058
4.918816175,1.221277716,3.299679637,1.065216438,4.317708709,1.765999926,3.424925583,1.639737691,4.275779189,1.600450589,2.77887382,4.9337075
4.99350171,1.16708751,3.38627383,0.9431606,4.337168467,1.93566481,3.468769073,1.530090637,4.302301526,1.728849991,2.78853759,4.744192526
5.073759836,1.105365619,3.464323936,0.832731341,4.425682183,1.818448313,3.528378768,1.421017455,4.339527641,1.866343921,2.81111431,4.474172178
5.148446171,1.039853449,3.558224018,0.738437544,4.497853725,1.861712249,3.586757354,1.313937049,4.382325818,2.006435081,2.825687838,4.248633213
5.224501291,0.978755605,3.669142785,0.672845715,4.559196779,1.910399971,3.636878228,1.237834126,4.428206413,2.135621655,2.848693087,3.961392198
5.308870744,0.916324142,3.769414676,0.634106955,4.617169438,1.596382292,3.683055131,1.146880763,4.498094295,2.243706868,2.86079823,3.724666675
