Cl-Cl,,Li-Cl,,Li-Li,,Li-Mg,,Mg-Cl,,Mg-Mg,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
5.69625,0.7021729735650932,5.69625,1.2887784760859218,5.69625,0.8037616628768391,5.69625,0.7699839222041933,5.69625,1.3831297023918687,5.69625,0.7835405731577374
5.748749999999999,0.7230236619032776,5.748749999999999,1.2811232536388633,5.748749999999999,0.812888612884035,5.748749999999999,0.7842304220088423,5.748749999999999,1.3736153263862916,5.748749999999999,0.8162153447572014
5.80125,0.7530779176957122,5.80125,1.2520022799019368,5.80125,0.8234257882038225,5.80125,0.7902338770676711,5.80125,1.3491427722730784,5.80125,0.8137737784386424
5.85375,0.7813714394835525,5.85375,1.2316824256200016,5.85375,0.823421050138142,5.85375,0.8041008059532452,5.85375,1.317128258082442,5.85375,0.8513316172531242
5.90625,0.8101763721754496,5.90625,1.213296239759854,5.90625,0.8659084352983849,5.90625,0.7787109189309324,5.90625,1.2801630990275936,5.90625,0.8775177663243621
5.95875,0.8379495288619979,5.95875,1.178829918545915,5.95875,0.8445795197644504,5.95875,0.8455438254477341,5.95875,1.239877291373889,5.95875,0.9010820324699397
6.0112499999999995,0.8793041634287093,6.0112499999999995,1.1541822194148572,6.0112499999999995,0.8684911608957031,6.0112499999999995,0.8345294910381107,6.0112499999999995,1.2062501084729127,6.0112499999999995,0.9474643327797838
6.06375,0.9001894420311867,6.06375,1.1203543090485777,6.06375,0.8940859762524942,6.06375,0.8391574781979255,6.06375,1.1680269025682255,6.06375,0.9554010069192093
6.11625,0.9513564985997714,6.11625,1.0964295393519696,6.11625,0.9008117406698553,6.11625,0.8827168638961707,6.11625,1.117578319131033,6.11625,0.9647160037617449
6.168749999999999,0.9806731262505415,6.168749999999999,1.0674355883628321,6.168749999999999,0.9062891108902351,6.168749999999999,0.8856565847816867,6.168749999999999,1.0692821684896145,6.168749999999999,1.0536089074804824
6.2212499999999995,1.000457392309404,6.2212499999999995,1.0300848731329069,6.2212499999999995,0.9310996369290414,6.2212499999999995,0.9054128653486629,6.2212499999999995,1.0379230485513222,6.2212499999999995,1.0431073859248454
6.27375,1.0416371565095934,6.27375,1.0129693443946932,6.27375,0.9396985926796818,6.27375,0.9166032357986537,6.27375,0.9899977152455055,6.27375,1.0716378585512396
6.32625,1.0783618373732504,6.32625,0.9764285908134288,6.32625,0.9624064543611448,6.32625,0.9417978717719021,6.32625,0.9603379231409058,6.32625,1.1291857070259195
6.37875,1.1075764746407353,6.37875,0.9631713940641019,6.37875,0.9861469504348874,6.37875,0.9596646052753512,6.37875,0.9328891172402666,6.37875,1.136172974309135
6.4312499999999995,1.136256492205094,6.4312499999999995,0.9331677350939739,6.4312499999999995,0.9802994552142771,6.4312499999999995,0.9917255169318492,6.4312499999999995,0.8953270343316531,6.4312499999999995,1.1533014095172744
6.48375,1.1711659529214,6.48375,0.9284685536138083,6.48375,0.9995105581483067,6.48375,0.9992212083775411,6.48375,0.8661614771481175,6.48375,1.1697283431363323
6.53625,1.1866771914892755,6.53625,0.9051571072652788,6.53625,1.006871068193194,6.53625,1.0236432013704198,6.53625,0.8522305623814782,6.53625,1.2118538476748042
