LiCl,,KCl,,CeCl,
X,Y,X,Y,X,Y
0.271295848,1.652834976,0.584876721,1.646116896,,
0.276558471,1.468567646,0.587605488,1.649475936,,
0.278875757,1.397883849,0.590334256,1.665151456,,
0.280755575,1.337085228,0.593063023,1.681946655,,
0.283347904,1.279608323,0.595791791,1.687545055,,
0.290169823,1.123412969,0.598520559,1.695382815,,
0.292898591,1.075826571,0.618986315,1.713297694,,
0.295627358,1.036264545,0.621715083,1.707699294,,
0.298356126,0.998008814,0.624443851,1.706579614,,
0.301084893,0.962365668,0.627172618,1.699861534,,
0.303813661,0.928215429,0.629901386,1.694263135,,
0.306542429,0.910113937,0.631947961,1.704340254,,
0.309271196,0.886973884,0.651276732,1.651715296,,
0.311999964,0.876150311,0.654005499,1.643877536,,
0.314728731,0.852637032,0.656734267,1.625962657,,
0.317457499,0.82725762,0.659463034,1.608047778,,
0.320186266,0.828750526,0.662191802,1.605808418,,
0.322915034,0.815314367,0.665147967,1.585654179,,
0.325643802,0.792920768,0.684021942,1.525191461,,
0.328372569,0.801504981,0.68675071,1.517353701,,
0.331101337,0.795533354,0.689479478,1.497199462,,
0.333830104,0.782843648,0.692208245,1.484882982,,
0.336558872,0.770900395,0.694937013,1.478164903,,
0.339287639,0.770527169,0.696983588,1.466968103,,
0.342016407,0.772020075,0.716767153,1.413223465,,
0.344745175,0.772766528,0.719495921,1.405385705,,
0.347473942,0.772766528,0.722224688,1.404266025,,
0.35020271,0.771273622,0.724953456,1.404266025,,
0.352931477,0.770900395,0.727682224,1.398667625,,
0.355660245,0.770527169,0.730410991,1.386351146,,
0.358389012,0.786202688,0.733139759,1.374034666,,
0.36111778,0.792920768,0.735868526,1.369555947,,
0.363846548,0.800385301,0.738597294,1.365077227,,
0.366575315,0.794040448,0.741326061,1.365077227,,
0.369304083,0.815314367,0.744054829,1.355000107,,
0.37203285,0.812328554,0.76497538,1.322529388,,
0.374761618,0.829123753,0.767704148,1.320290028,,
0.377490385,0.838081193,0.770432916,1.319170348,,
0.380219153,0.819793087,0.773161683,1.313571949,,
0.382947921,0.849651219,0.775890451,1.310212909,,
0.385676688,0.861967698,0.777709629,1.306853869,,
0.388405456,0.881375484,,,,
0.391134223,0.883614844,,,,
0.393862991,0.891825831,,,,
0.396591758,0.904515537,,,,
0.399320526,0.919071376,,,,
0.402049294,0.934000443,,,,
0.404778061,0.954154682,,,,
0.407506829,0.956020815,,,,
0.410235596,0.988118307,,,,
0.412964364,1.0034206,,,,
0.415693131,1.01125836,,,,
0.418421899,1.017976439,,,,
0.420923269,1.021335479,,,,
0.431610942,1.122666516,,,,
0.43433971,1.142634142,,,,
0.437068477,1.166147421,,,,
0.439797245,1.197125233,,,,
0.442526013,1.205336219,,,,
0.44525478,1.216159792,,,,
0.447983548,1.229969178,,,,
0.450712315,1.261133604,,,,
0.453441083,1.283713816,,,,
0.45616985,1.293790936,,,,
0.458898618,1.315811308,,,,
0.461627386,1.323835682,,,,
0.464356153,1.352014294,,,,
0.467084921,1.383738559,,,,
0.469813688,1.399227465,,,,
0.472542456,1.422554131,,,,
