Mg-Cl,,Mg-Mg,,Cl-Cl,
X,Y,X,Y,X,Y
7.530906258,0.883746414,9.934974233,1.002657492,7.978755509,0.966375851
7.651984803,0.909216451,10.0780133,1.018863153,8.099874438,0.939323371
7.773061751,0.939258033,10.19904984,1.02957363,8.220985156,0.919324134
7.894139155,0.96799346,10.32008784,1.039043259,8.342088576,0.905594444
8.015216331,0.997381964,10.44112567,1.048643504,8.46318926,0.894215836
8.136293431,1.026988161,10.56217491,1.048447581,8.584284926,0.887147542
8.257373875,1.047015883,10.68322233,1.049819044,8.714780183,0.891318081
8.359395619,1.075944241,10.80427704,1.04492096,8.84845973,0.900868523
8.587589082,1.113629826,10.9253322,1.039631029,8.969531723,0.914137077
8.70867903,1.10644597,,,9.090598426,0.931951054
8.829768749,1.099915191,,,9.211662392,0.952116112
8.950861205,1.085547478,,,9.332724078,0.974240403
9.071953478,1.071702227,,,9.453788728,0.99381769
9.193042878,1.066085757,,,9.57485429,1.012611284
9.314134878,1.053024199,,,9.695919853,1.031404877
9.435228976,1.033954325,,,9.816989749,1.046475927
9.556323621,1.013317064,,,9.938064814,1.057106046
9.677419817,0.988238874,,,10.04813789,1.062614499
9.798511589,0.975830394,,,10.23526519,1.069346966
9.919600168,0.972565005,,,10.3563579,1.064813382
10.03962785,0.961810872,,,10.47745515,1.056385918
10.34892432,0.932074177,,,10.5985531,1.047358391
10.47000834,0.941870345,,,10.71965036,1.038918633
10.59109167,0.953625747,,,10.83027419,1.028111937
10.71217683,0.960156525,,,10.93983175,1.019662784
10.83326883,0.947094968,,,,
10.92867014,0.949707279,,,,
