Li-Cl,,K-Cl,
X,Y,X,Y
2.49905232,2.556782257,3.22966578,2.157976519
2.51278312,2.460917179,3.23791083,2.115907429
2.52926958,2.314143098,3.28453989,1.908100383
2.53667743,2.223021292,3.33992213,1.691467821
2.54627016,2.164125997,3.37106918,1.595689208
2.57505274,1.972720694,3.40248396,1.515197813
2.60384414,1.751876551,3.64111501,1.041421161
2.64220624,1.545734211,3.66580098,1.010487928
2.67204385,1.404279814,3.69451932,0.969389277
2.68028119,1.350552234,3.73163023,0.931044643
2.73789598,1.130330607,3.76865919,0.882536485
2.80516809,0.927219101,3.78923083,0.853010685
2.8722335,0.794621005,3.92088933,0.734884758
2.99291552,0.595054157,3.94008953,0.722226063
3.02307023,0.561437186,4.05254784,0.662438861
3.14916402,0.446759103,4.08546247,0.650242366
3.17109015,0.43759116,4.11837709,0.641091205
3.29168544,0.381901541,4.15129172,0.630065992
3.31361115,0.374137844,4.18420635,0.624662937
3.43419636,0.352150158,4.21712097,0.615746034
3.4670844,0.342259922,4.23632117,0.608240983
3.49997013,0.340093045,4.35426525,0.592725748
3.53285292,0.347755898,4.38717988,0.599972547
3.55203757,0.342103614,4.42009451,0.59609216
3.669875,0.344695294,4.45300913,0.595022851
3.69453714,0.350266903,4.48592376,0.595359082
3.81237121,0.364092561,4.51883839,0.596983724
3.83429377,0.366860718,4.53803858,0.595452216
3.95486049,0.406659906,4.65049689,0.612618298
3.98774201,0.418535501,4.67243998,0.61436512
4.02062333,0.431113219,4.78764117,0.63820625
4.05350444,0.44439306,4.8205558,0.645218793
4.0809068,0.450661751,4.85347042,0.658322007
4.20146784,0.509418275,4.88638505,0.668379886
4.22338998,0.513590679,4.91929968,0.679023406
4.35490727,0.590582248,4.9522143,0.689432669
4.38778627,0.610883325,4.97415739,0.692233645
4.42066528,0.631184403,5.08387281,0.742548294
4.45354428,0.65148548,5.10855878,0.748159086
4.47820369,0.666184696,5.23198863,0.809243223
4.59601654,0.750924835,5.26490326,0.825063813
4.62067722,0.761411309,5.29781788,0.844000016
4.73300795,0.850374273,5.33073251,0.861226145
4.75766779,0.863669242,5.36364714,0.877585526
4.88095952,0.954952449,5.39656176,0.894436845
4.91383797,0.977125856,5.41576196,0.898644623
4.94671655,0.998831181,5.5227345,0.964421469
4.97959409,1.024047124,5.54742047,0.971672057
5.0069933,1.040847668,5.79153728,1.088687949
5.12206803,1.117869489,5.82445191,1.097808801
5.1467287,1.128355963,5.85736654,1.107632423
5.26454827,1.190628148,5.89028116,1.127529078
5.28920853,1.202518869,5.92319579,1.136181417
5.40703461,1.243025222,5.95611042,1.146824937
5.43991656,1.25349657,5.97531062,1.1513841
5.45909848,1.256971893,6.08776892,1.175929263
5.53308838,1.262101681,6.10971201,1.185055167
5.79069598,1.236000205,6.23862763,1.182184735
5.82358318,1.228918463,6.28690241,1.173167056
5.85646912,1.226049463,6.30719977,1.170206078
5.88935674,1.217563474,6.36205748,1.168072513
5.91676267,1.211896063,6.39497211,1.165949049
6.03735481,1.166738299,6.52663061,1.167293973
6.05927926,1.163187343,6.5485737,1.163770021
6.17439118,1.115933292,6.66377489,1.13724599
6.19905647,1.110973048,6.69668952,1.126455033
6.32239051,1.060895376,6.72960414,1.121520491
6.35527939,1.048196645,6.76251877,1.112486459
6.38816806,1.036200038,6.7954334,1.102515401
6.42105673,1.024203431,6.82834802,1.097346602
6.44572286,1.016434692,6.84754822,1.091949861
6.5635729,0.976898958,6.96000653,1.054417034
6.58549756,0.972645879,6.9846925,1.051126076
6.70060549,0.938732176,7.22880931,0.987998666
6.72527057,0.934474055,7.26172394,0.984469664
6.84311703,0.906874422,7.29463857,0.977426812
6.87600339,0.902601174,7.32755319,0.972375142
6.90889122,0.893413062,7.36046782,0.960295775
6.94177716,0.890544061,7.39338245,0.950676101
