U-Cl,,U-U,,Cl-Cl,,,
X,Y,X,Y,X,Y,,
3.249728692,1.207112915,11.63339397,1.042024833,9.51016138,0.973575294,,
3.274361156,1.060450493,11.92031729,1.027399713,9.816212924,0.987668591,,
3.307113356,0.979524833,12.13072773,1.02333718,9.969238697,0.99502547,,
3.360438153,0.786717009,12.34113817,1.01410415,10.25616202,1.008055121,,
3.465643372,0.570996498,12.56748879,1.003837021,10.40918779,1.007700573,,
3.513463926,0.51249602,12.76195904,0.991944879,10.69611112,1.009827863,,
3.714310252,0.37466535,13.00424985,0.985149369,10.84913689,1.010625597,,
3.959151488,0.339919612,13.18277992,0.98308117,11.13606021,1.004509638,,
4.116002904,0.354328063,13.48883146,0.989285766,11.29865009,1.005913058,,
4.441182671,0.450893245,13.71518208,0.990024408,11.61426575,1.006725565,,
4.622900775,0.534433699,13.90965233,0.996376733,11.76729152,1.006725565,,
4.785490658,0.631121989,14.21570388,0.995933548,12.05421485,1.004509638,,
5.034157538,0.802339296,14.39168352,1.006924546,12.21680473,1.001850525,,
5.30195264,0.993795404,14.63652475,1.001251773,12.53242038,0.994759558,,
5.55061952,1.183035585,14.75129408,1.003024514,12.68544616,0.993075454,,
5.837542843,1.347014196,,,12.9914977,0.993430002,,
6.063893465,1.372940544,,,13.14452347,0.99502547,,
6.248799607,1.314927571,,,13.45057502,0.996089115,,
6.468774154,1.154228532,,,13.6131649,1.000225512,,
6.640928148,1.032500265,,,13.92878056,1.003623267,,
6.78438981,0.958074658,,,14.08180633,1.000875517,,
7.100005465,0.885214972,,,14.36872965,1.005396009,,
7.253031238,0.892749124,,,14.53131953,1.006725565,,
7.520826339,0.929533516,,,14.84693519,1.006725565,,
7.673852112,0.938574499,,,14.98633698,1.003437401,,
7.979903656,0.945045006,,,8.637132671,1.016301316,,
8.174373909,0.944749549,,,8.765634756,1.009750854,,
8.40072453,0.957454198,,,8.894136841,1.009689622,,
8.645565766,0.985374881,,,9.022638925,1.004068525,,
8.821545404,1.00975008,,,9.15114101,0.992624947,,
9.14672517,1.046977656,,,9.279643095,0.996965615,,
9.32366122,1.056062958,,,9.408145179,0.996176403,,
9.567546044,1.048307213,,,9.536647264,0.996176403,,
9.720571817,1.03802531,,,9.665149348,0.993387852,,
9.988366918,1.012852378,,,9.793651433,0.99791267,,
10.14139269,1.001950016,,,9.927021021,1.000401429,,
10.40918779,0.992022662,,,10.00392757,1.017287831,,
10.54308534,3.986999894,,,,,,
10.83000867,3.98936355,,,,,,
10.97347033,3.99024992,,,,,,
11.25082954,3.987590808,,,,,,
11.3942912,3.99024992,,,,,,
11.67165041,3.988477179,,,,,,
11.8342403,3.99024992,,,,,,
12.13072773,3.998670444,,,,,,
12.27418939,4.00243752,,,,,,
12.55154861,4.010193265,,,,,,
12.70457438,4.008775072,,,,,,
13.01062592,4.008863709,,,,,,
13.15408758,4.00853132,,,,,,
13.45057502,4.003102298,,,,,,
13.59403668,4.00121876,,,,,,
13.89052411,3.995568146,,,,,,
14.03398577,3.9939062,,,,,,
14.33047321,3.99512496,,,,,,
14.49306309,4,,,,,,
14.7704223,3.999556815,,,,,,
14.91388397,4,,,,,,
