Th-Th,,Th-F,,F-F,
X,Y,X,Y,X,Y
5.037339444,0.628021597,2.714786599,0.757907971,5.372371109,1.002432425
5.092344643,0.606329468,2.74445607,0.657857787,5.427376308,0.999533874
5.147349841,0.604902355,2.793627384,0.549173565,5.482381506,1.005330976
5.20235504,0.607471159,2.839631732,0.461067133,5.535303175,1.003637922
5.257360239,0.625452792,2.919639294,0.387481583,5.592391904,1.006777572
5.312365438,0.646003229,2.999646856,0.335481127,5.647397102,1.005065036
5.367370636,0.671976699,3.079654417,0.307616732,5.702402301,1.000498272
5.422375835,0.700518973,3.159661979,0.300356291,5.7574075,1.000498272
5.477381034,0.725065328,3.239669541,0.30467331,5.811530262,0.998795133
5.532386232,0.759886902,3.319677103,0.320960245,5.869501427,0.997358622
5.587391431,0.792710518,3.399684664,0.346273675,5.922423096,0.992506435
5.64239663,0.822965328,3.479692226,0.381790967,5.977428295,0.988225094
5.697401828,0.853220138,3.559699788,0.424764928,6.03331593,0.989304326
5.752407027,0.883189526,3.637207113,0.477641869,6.087438692,0.997599721
5.807412226,0.907735882,3.715909091,0.533333333,6.142443891,1.000498272
5.862417425,0.920579905,3.794722001,0.602351389,6.197449089,1.005065036
5.912422151,0.930379419,3.874729562,0.673189745,6.252454288,1.006777572
5.96875,0.962318841,3.954737124,0.750699858,6.307459487,1.006777572
6.033380682,0.997101449,4.020895254,0.815455142,6.362464686,1.011344336
6.088778409,1.020289855,4.086861386,0.880354327,6.417469884,1.015340255
6.162445781,1.057011975,4.15321578,0.944348898,6.472475083,1.017820413
6.21745098,1.059866202,4.223721591,1.031884058,6.529730494,1.020109834
6.265312646,1.061497189,4.309770679,1.11843138,6.58248548,1.027549626
6.324961141,1.077419701,4.389778241,1.16258271,6.637490679,1.030448177
6.393465909,1.066666667,4.469785803,1.215760535,6.689337685,1.026634013
6.458096591,1.07826087,4.549793365,1.25520239,6.742813133,1.025435988
6.550426136,1.07826087,4.629800926,1.277964853,6.802506275,1.028514024
6.624289773,1.043478261,4.687306361,1.272750791,6.857511474,1.025615473
6.707386364,1.031884058,4.804817468,1.261874146,6.912516673,1.024759205
6.78125,1.008695652,4.884825029,1.22988896,6.967521871,1.017338214
6.845880682,0.985507246,4.964832591,1.193194299,7.024450329,1.0091931
6.901278409,0.973913043,5.044840153,1.147276916,7.077532269,1.003879022
6.952520453,0.95654317,5.124847715,1.095276461,7.132537467,1.000980471
7.007525652,0.953688943,5.204855276,1.049297463,7.188425102,0.998538591
7.062530851,0.946553374,5.283978796,1.00020681,7.244471124,0.993735949
7.11753605,0.94398457,5.3648704,0.962401886,7.297553064,0.991364744
7.172541248,0.933994774,5.444877962,0.931033513,7.352558262,0.987939672
7.227546447,0.920579905,5.524885523,0.906701224,7.407563461,0.982231217
7.282551646,0.917440255,5.604893085,0.894338852,7.46256866,0.981660371
7.337556844,0.914015182,5.679900174,0.900926511,7.517573858,0.981660371
7.392562043,0.909162995,5.756392045,0.904347826,7.572579057,0.981660371
7.447567242,0.906308768,5.848721591,0.915942029,7.627584256,0.981660371
7.502572441,0.906308768,5.941051136,0.962318841,7.682589455,0.981660371
7.557577639,0.906308768,6.0703125,1.017391304,7.737594653,0.981660371
7.612582838,0.910875532,6.199949326,1.080036076,7.792599852,0.981660371
7.667588037,0.9180111,6.299958778,1.100770848,7.847605051,0.981660371
7.722593235,0.918867369,6.37996634,1.10371427,7.906896369,0.976278114
7.777598434,0.929142587,6.459973901,1.101751989,7.952927505,0.974203702
7.80760127,0.931425969,6.504978155,1.100967077,7.992618756,0.991079322
7.879971591,0.973913043,6.651988636,1.043478261,,
7.963068182,1.020289855,6.78125,0.997101449,,
,,6.865012183,0.95654317,,
,,7.012073864,0.962318841,,
,,7.113636364,0.973913043,,
,,7.252130682,0.997101449,,
,,7.372159091,0.997101449,,
,,7.473721591,0.985507246,,
,,7.584517045,0.973913043,,
,,7.713778409,0.962318841,,
,,7.843039773,0.973913043,,
,,7.953835227,0.997101449,,
