Ca-Ca,,Ca-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
5.01375,1.7265381045589716,5.01375,0.8472614206939632,5.01375,0.8477889610531747
5.06625,1.6413388105709057,5.06625,0.8977903542853112,5.06625,0.8675948969687215
5.11875,1.6159415409226592,5.11875,0.9174957596104875,5.11875,0.8516527557362089
5.17125,1.5452770826156323,5.17125,0.9471109867608675,5.17125,0.8829865884832241
5.22375,1.4651246926890247,5.22375,0.97559704772818,5.22375,0.8758890739675651
5.27625,1.3954625723927756,5.27625,0.9918335980868032,5.27625,0.8960829575185507
5.328749999999999,1.3220206512779193,5.328749999999999,1.0360092292373375,5.328749999999999,0.8899024112772982
5.38125,1.2740634475335304,5.38125,1.0705672024413693,5.38125,0.9027085201904239
5.43375,1.1869800363093006,5.43375,1.0968534577380875,5.43375,0.8814001554084381
5.48625,1.0979871283606017,5.48625,1.1325644049286574,5.48625,0.877841849914989
5.53875,1.0354828092008785,5.53875,1.161020196425402,5.53875,0.8590561732708003
5.59125,0.9762526540964211,5.59125,1.1861111262151924,5.59125,0.8416624312836996
5.64375,0.9240332135579868,5.64375,1.2145406183083476,5.64375,0.8154397680436324
5.69625,0.8790137312424258,5.69625,1.243884987296947,5.69625,0.804478350010437
5.748749999999999,0.8579491535687723,5.748749999999999,1.2599001006459827,5.748749999999999,0.7998373627267255
5.80125,0.7920519059211265,5.80125,1.3041546200251473,5.80125,0.7816347845143147
5.85375,0.7484950453439848,5.85375,1.307835076041162,5.85375,0.7864247226014898
5.90625,0.7311925536558563,5.90625,1.3089192704777055,5.90625,0.7858762435921987
5.95875,0.6959549477271337,5.95875,1.3249340879847906,5.95875,0.7820029714966632
6.0112499999999995,0.68801107532284,6.0112499999999995,1.3131035359950385,6.0112499999999995,0.7906255294446037
6.06375,0.6802367842441549,6.06375,1.3192896007371464,6.06375,0.8045775169443004
6.11625,0.6849166294020438,6.11625,1.3128947386867278,6.11625,0.824052308565983
6.168749999999999,0.6805105524024473,6.168749999999999,1.315445170547342,6.168749999999999,0.8399175301256836
6.2212499999999995,0.6489717656031011,6.2212499999999995,1.287622902938051,6.2212499999999995,0.8338731782532615
6.27375,0.6559010912318044,6.27375,1.2714484377041206,6.27375,0.8706162372426289
6.32625,0.6627328764637783,6.32625,1.2421710713568166,6.32625,0.8892087364616702
6.37875,0.6592564930806891,6.37875,1.2206240441268197,6.37875,0.9255114845323932
6.4312499999999995,0.682310634817821,6.4312499999999995,1.1927823488290632,6.4312499999999995,0.9246647316671118
6.48375,0.6809800724176736,6.48375,1.1669809554465533,6.48375,0.9698290138319254
6.53625,0.7112664787161693,6.53625,1.1403648329838378,6.53625,0.9905133241112722
6.588749999999999,0.7020133658452383,6.588749999999999,1.1085435892161999,6.588749999999999,1.0217697239880794
6.641249999999999,0.7256364747539066,6.641249999999999,1.0978388384260198,6.641249999999999,1.0246834516208638
6.69375,0.7271244415823488,6.69375,1.078290668717998,6.69375,1.0618490231179873
6.74625,0.7564519504101335,6.74625,1.0449734575711083,6.74625,1.0654474062492705
6.79875,0.7601162459431179,6.79875,1.0259126170403392,6.79875,1.0876087288052234
6.85125,0.7571758461254713,6.85125,0.9989603395407597,6.85125,1.111874139735565
6.90375,0.7811339069210528,6.90375,1.0095082432402696,6.90375,1.1247542263971695
6.95625,0.8035543453489203,6.95625,0.9638265435545301,6.95625,1.1353016935154163
7.00875,0.8180185880998124,7.00875,0.9652222712384764,7.00875,1.1548132087264011
7.061249999999999,0.860690579749633,7.061249999999999,0.9442034179628472,7.061249999999999,1.1496183233800488
7.11375,0.8714444937226588,7.11375,0.9285874203713983,7.11375,1.154492902667325
7.16625,0.8950481911234897,7.16625,0.9397207386079421,7.16625,1.1633428470421392
7.21875,0.8983643321963117,7.21875,0.9176972469904464,7.21875,1.1561511185980509
7.27125,0.9339327196593208,7.27125,0.9086764494913726,7.27125,1.146714835858407
7.3237499999999995,0.9664145638358186,7.3237499999999995,0.9122711941544573,7.3237499999999995,1.1554355910214573
7.37625,0.9774059910747147,7.37625,0.902913427235694,7.37625,1.147740180193767
7.42875,0.9892729212677422,7.42875,0.9017436285543599,7.42875,1.1291433144723344
7.481249999999999,1.037675583299345,7.481249999999999,0.8928881059087703,7.481249999999999,1.1319832103999532
7.5337499999999995,1.0218617112924968,7.5337499999999995,0.8917531198629716,7.5337499999999995,1.120757841276696
7.58625,1.0501672573398788,7.58625,0.891819574135003,7.58625,1.108357529953064
7.63875,1.0586609502430544,7.63875,0.882042440442034,7.63875,1.083862028824351
7.69125,1.1174916633283372,7.69125,0.8907353015673032,7.69125,1.0824672318375732
7.7437499999999995,1.096788028622884,7.7437499999999995,0.8786620043534288,7.7437499999999995,1.075947557701959
7.79625,1.1226492037959552,7.79625,0.8799101729965729,7.79625,1.0526376285858352
7.84875,1.1348058896350894,7.84875,0.8784159114312325,7.84875,1.0591375892344845
