Mode_Index,Frequency_cm-1,Type,Participation_Ratio
391,(109.0608473275077+0j),Real,0.2868251075732727
392,(109.49794540939469+0j),Real,0.5122597889994575
393,(109.70107138228028+0j),Real,0.5330116483867798
394,(110.02805060821922+0j),Real,0.270341473412815
395,(110.25434226239913+0j),Real,0.3491927942756482
396,(110.477080336232+0j),Real,0.3558100838864419
397,(110.6269111783333+0j),Real,0.4347852268329353
398,(110.95747243893503+0j),Real,0.3360358698045585
399,(111.32573433945373+0j),Real,0.4624870256142367
400,(112.06792764306684+0j),Real,0.38245714262787367
401,(112.24927722785722+0j),Real,0.5125290000453906
402,(112.49988571998256+0j),Real,0.4452241594004947
403,(112.76276866521569+0j),Real,0.43559210048869473
404,(113.07381590146278+0j),Real,0.39416537648803357
405,(113.29410502382355+0j),Real,0.35366519545313707
406,(113.70502101274576+0j),Real,0.4669414595147893
407,(113.94421087818816+0j),Real,0.32235427214091406
408,(114.25638639043954+0j),Real,0.37501411852607686
409,(114.96774927352561+0j),Real,0.34089828659623755
410,(115.31280885180993+0j),Real,0.35955529637163164
411,(115.42375909422302+0j),Real,0.41881189922420475
412,(115.71650672574764+0j),Real,0.47304645310836557
413,(116.05378124503041+0j),Real,0.3054816720509693
414,(116.59380343344186+0j),Real,0.3156937414839485
415,(116.68254108867065+0j),Real,0.4398985927849194
416,(116.98250920649879+0j),Real,0.45679549844020795
417,(117.23142032589527+0j),Real,0.458250560311648
418,(117.67815645248216+0j),Real,0.26941733973179555
419,(117.74346328443315+0j),Real,0.38017045178980874
420,(117.79201283346981+0j),Real,0.42604454900199396
421,(118.30359449843796+0j),Real,0.3865117911793369
422,(119.01067920753334+0j),Real,0.3546315145009665
423,(119.05696185510288+0j),Real,0.374916982023855
424,(119.22878351109841+0j),Real,0.4154534581616024
425,(119.72385484057706+0j),Real,0.41562399663228444
426,(119.99375462782275+0j),Real,0.42286241034235733
427,(120.33177532325395+0j),Real,0.4563069274614372
428,(120.70860741903103+0j),Real,0.40840753283047015
429,(121.0991753201023+0j),Real,0.34097436005696635
430,(121.24908106939456+0j),Real,0.48298119798510747
431,(121.4758530718166+0j),Real,0.4213586989143715
432,(122.1869279113045+0j),Real,0.4545948468398082
433,(122.26883054413638+0j),Real,0.41000595791413696
434,(122.40854048902827+0j),Real,0.29357140711948015
435,(122.60286816941414+0j),Real,0.4407639762292548
436,(123.07273548491656+0j),Real,0.3301860008756461
437,(123.38538701467132+0j),Real,0.5165281688364822
438,(123.8258192784194+0j),Real,0.3077502951078675
439,(124.16633549949432+0j),Real,0.45555043256460787
440,(124.53061088159974+0j),Real,0.34062122158075187
441,(124.8760959355023+0j),Real,0.4139989644030393
442,(125.00177608623436+0j),Real,0.36705066317482665
443,(125.38947417990582+0j),Real,0.321805922190267
444,(125.66812918302276+0j),Real,0.34056197966875246
445,(126.18051899243618+0j),Real,0.3640899523476332
446,(126.40809339561933+0j),Real,0.4518030821595514
447,(127.07955776332282+0j),Real,0.3943394203282814
448,(127.30904309144343+0j),Real,0.4655869592138253
449,(127.46570148344632+0j),Real,0.315020848425758
450,(127.86374228957104+0j),Real,0.31514921800005935
451,(128.31351818054696+0j),Real,0.34687268701546436
452,(128.4817121026291+0j),Real,0.42707287294247565
453,(128.8413007521359+0j),Real,0.37723118568619485
454,(129.36937042007696+0j),Real,0.24245833450578277
455,(129.8077409363094+0j),Real,0.3214806439517998
456,(130.01387830148593+0j),Real,0.3925550023096713
457,(130.10255255866224+0j),Real,0.2760174737280984
458,(130.38884512859164+0j),Real,0.3848048528201977
459,(130.58559960397005+0j),Real,0.18243863463092072
460,(130.7583107940254+0j),Real,0.30003341719877413
461,(131.09109819617228+0j),Real,0.44469051849624863
462,(131.5537811148446+0j),Real,0.37433014062067943
463,(131.69333643466922+0j),Real,0.31626905837301245
464,(131.95508669712123+0j),Real,0.39548839492874005
465,(132.39406011790314+0j),Real,0.38950752903018326
466,(132.79350450781018+0j),Real,0.341427706471495
467,(133.11891820481395+0j),Real,0.3078142505257374
468,(133.15313594277978+0j),Real,0.37439544404471536
469,(133.64388864391776+0j),Real,0.3417693272096101
470,(133.73979090896037+0j),Real,0.17401017822775938
471,(134.0674131796358+0j),Real,0.2894854330744768
472,(134.2402667951027+0j),Real,0.24641280325952103
473,(134.69895626756573+0j),Real,0.34849374594515276
474,(134.80202725300222+0j),Real,0.3566856587997639
475,(135.31111016415022+0j),Real,0.38291635429337106
476,(135.48901574612373+0j),Real,0.27726142035759815
477,(135.8214621672364+0j),Real,0.32501463969720723
478,(136.13927400121315+0j),Real,0.34598642574753463
479,(136.40183453527655+0j),Real,0.34616662032986334
480,(136.75353926947832+0j),Real,0.40533616867640476
