Freq_rad_ps,VDOS_K,VDOS_Mg
1.067988932373047639e+01,4.287248036433825849e-02,1.352626187718482080e-02
1.076963629283745583e+01,4.391061929788311197e-02,1.259415170895197139e-02
1.085938326194443349e+01,4.364344137102613846e-02,1.342847910262831047e-02
1.094913023105141292e+01,4.465133351116980925e-02,1.211854416206573602e-02
1.103887720015839236e+01,4.768084695749578994e-02,1.176934731713951028e-02
1.112862416926537179e+01,4.600599804769915646e-02,1.230367389393824049e-02
1.121837113837234945e+01,4.478524521791574925e-02,1.179127965392055138e-02
1.130811810747932711e+01,3.840336194076476167e-02,1.095270290812787144e-02
1.139786507658630654e+01,3.631445917121924050e-02,1.060081887490951259e-02
1.148761204569328598e+01,3.781385757632044209e-02,1.167268153200350274e-02
1.157735901480026541e+01,4.138323119453819060e-02,1.127723749072326830e-02
1.166710598390724485e+01,4.012556712636074219e-02,1.001344213747858321e-02
1.175685295301422251e+01,4.286821368901965607e-02,9.848128331139304609e-03
1.184659992212120017e+01,3.910847464564289055e-02,8.838106708146345469e-03
1.193634689122817960e+01,4.431635472556099548e-02,1.006411366836424195e-02
1.202609386033515904e+01,4.420595442433827155e-02,1.120665047760487608e-02
1.211584082944213847e+01,4.326472796371034352e-02,1.198619864582304607e-02
1.220558779854911613e+01,4.037058447193573457e-02,1.208280355501938248e-02
1.229533476765609556e+01,4.016234299837203453e-02,1.171514492790360143e-02
1.238508173676307500e+01,4.357614844647809266e-02,9.913474743456622898e-03
1.247482870587005266e+01,4.055861977827796006e-02,9.889728855646554018e-03
1.256457567497703032e+01,4.201920088797012759e-02,9.053734187906618130e-03
1.265432264408400975e+01,4.565185403988213098e-02,9.445477634083375082e-03
1.274406961319098919e+01,4.314538617305047064e-02,9.847156495799145801e-03
1.283381658229796862e+01,4.164492858330531150e-02,1.039440653611617242e-02
1.292356355140494806e+01,4.260117235472559577e-02,1.016131518219479980e-02
1.301331052051192572e+01,4.425268857854477988e-02,9.222513080176623912e-03
1.310305748961890515e+01,4.546410263563484960e-02,1.003792400091230337e-02
1.319280445872588103e+01,4.944039116504709425e-02,1.021709624774793518e-02
1.328255142783286047e+01,4.736846305794640416e-02,9.937389745290479970e-03
1.337229839693983990e+01,4.825053343928897842e-02,9.856474085757106762e-03
1.346204536604681934e+01,4.662872598131238833e-02,9.374785135317522874e-03
1.355179233515379877e+01,4.000640968017322996e-02,9.307869871009899487e-03
1.364153930426077643e+01,4.665381167406205953e-02,9.186965566721065971e-03
1.373128627336775587e+01,5.184939102317469989e-02,8.833874244769199940e-03
1.382103324247473530e+01,5.000912419191348712e-02,8.082170154344687704e-03
1.391078021158171474e+01,4.438429880528561161e-02,9.099043897620584867e-03
1.400052718068869417e+01,4.292764568538258441e-02,9.053755343177014719e-03
1.409027414979567006e+01,4.362719723760209722e-02,8.182202246494950718e-03
1.418002111890264949e+01,4.366056548770611001e-02,8.952004771951264581e-03
1.426976808800962893e+01,4.540850263315474034e-02,1.009496910970410742e-02
1.435951505711660658e+01,4.447867271771172026e-02,1.050736762716762002e-02
1.444926202622358602e+01,4.077866300002256500e-02,1.054229935465763462e-02
1.453900899533056545e+01,4.348115974760904251e-02,9.678126524317558557e-03
1.462875596443754489e+01,4.577087075836240582e-02,8.865039816191706140e-03
1.471850293354452432e+01,4.481890702222526834e-02,9.180315965795250721e-03
1.480824990265150198e+01,4.544352606173349129e-02,8.648019472521762882e-03
1.489799687175847964e+01,4.791162710660052532e-02,9.867586772874926623e-03
1.498774384086545730e+01,4.816242412551998558e-02,1.098843752518611702e-02
1.507749080997243674e+01,4.647354440359360156e-02,1.024251392773976171e-02
1.516723777907941617e+01,4.379149012109339462e-02,1.033911425174528949e-02
1.525698474818639561e+01,4.004401421139905382e-02,9.888144516148281854e-03
1.534673171729337504e+01,4.250884541359514074e-02,9.521455150441313769e-03
1.543647868640035270e+01,4.352235973480729492e-02,6.877675110428663370e-03
1.552622565550733214e+01,4.345814947940240813e-02,6.520566824001421125e-03
1.561597262461431157e+01,4.467477016153083291e-02,7.609841224134944980e-03
1.570571959372129101e+01,4.519640584091164787e-02,8.730066296011241428e-03
1.579546656282826689e+01,4.598541098558843465e-02,7.851527923987021082e-03
1.588521353193524632e+01,4.283667855129152935e-02,8.596759565710130474e-03
1.597496050104222576e+01,4.697419546701411125e-02,1.006959105704579617e-02
1.606470747014920519e+01,4.654674751396873505e-02,8.797472416593319494e-03
1.615445443925618463e+01,4.553785666900219548e-02,7.241666224205588025e-03
1.624420140836316406e+01,4.441063846803194187e-02,7.447603163528739717e-03
1.633394837747013995e+01,4.380128959450643733e-02,7.746118408208037438e-03
1.642369534657711938e+01,4.961687456169640298e-02,7.752704827117960079e-03
1.651344231568409882e+01,4.530977239242552079e-02,8.409564511537041473e-03
1.660318928479107470e+01,4.410564636662039906e-02,7.806726303407852605e-03
1.669293625389805413e+01,4.357200926714215050e-02,7.819511485107210821e-03
1.678268322300503357e+01,4.778146269884092634e-02,8.319601478207655151e-03
1.687243019211201300e+01,4.984425488692412892e-02,7.839850662784411325e-03
1.696217716121899244e+01,4.567800746309865628e-02,8.011357703383662279e-03
1.705192413032597187e+01,4.783204635216706246e-02,7.837416999978818327e-03
1.714167109943295131e+01,4.930330081901587724e-02,7.785796709967464369e-03
1.723141806853993074e+01,4.501523103625382216e-02,8.451662290600497202e-03
1.732116503764691018e+01,4.100485417533619725e-02,7.853491564507531636e-03
1.741091200675388961e+01,4.432542684289284690e-02,9.897178569792643155e-03
1.750065897586086550e+01,4.290069732365084376e-02,7.953799932962666436e-03
1.759040594496784493e+01,4.771605614245395810e-02,8.452791149163710327e-03
1.768015291407482081e+01,4.513425101401688511e-02,7.222555058327135083e-03
1.776989988318180025e+01,4.448828081114048622e-02,7.367046252576570260e-03
1.785964685228877968e+01,4.075869903904065505e-02,7.059005360913167548e-03
