Na-Cl,,Na-K,,Na-Na,,K-K,,K-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y
2.454120616,3.546225176,4.023367084,1.500390449,3.545772151,1.091637786,4.278298558,1.462431421,2.960596209,3.370278086
2.460857607,3.631358729,4.063634065,1.539015045,3.569048051,1.146049892,4.318558405,1.479318981,2.988770731,3.359637774
2.469477489,3.775194817,4.10389999,1.574419339,3.590530327,1.186615546,4.358817724,1.49459639,3.00418416,3.30665652
2.474348631,3.8535532,4.144165914,1.609823633,3.626619015,1.270527615,4.3990781,1.5130941,3.016472723,3.272032465
2.491171391,4.006308332,4.184431574,1.644422852,3.655432563,1.333108621,4.439339268,1.534007037,3.054453945,3.160109016
2.501261322,4.086609848,4.221339539,1.669362751,3.684527095,1.400077155,4.479601229,1.5573352,3.077436132,3.098337361
2.516163332,4.227548528,4.271681721,1.743405908,3.718093905,1.465755455,4.519863455,1.581468439,3.121475218,2.949147554
2.523471812,4.301796041,4.315281032,1.714402585,3.751658811,1.525637212,4.560125944,1.606406752,3.14445665,2.885075683
2.536361697,4.444532977,4.352174201,1.694258261,3.788577028,1.581814037,4.600379714,1.604777578,3.181789713,2.74511291
2.541866217,4.491141112,4.392425593,1.685383408,3.828844009,1.620438633,4.640627672,1.585436744,3.195186569,2.680378506
2.548375671,4.546688248,4.429328009,1.693416724,3.869110198,1.656648002,4.680876686,1.569316212,3.208593254,2.645592908
2.563277285,4.686419315,4.472943174,1.712717924,3.909375593,1.690442146,4.721130457,1.567687038,3.234267682,2.512743312
2.571926624,4.757767922,4.513189018,1.686936487,3.949640725,1.723431214,4.761384755,1.567668014,3.248783506,2.450423605
2.615492855,4.627969157,4.553433012,1.655519523,3.989901101,1.741928924,4.801644867,1.585360649,3.255482093,2.418539449
2.636079217,4.56700371,4.593681498,1.63778884,4.030154079,1.737884523,4.841906828,1.608688812,3.282278395,2.29696038
2.652361187,4.532147746,4.63393104,1.623278459,4.070405999,1.730619821,4.882164562,1.619135769,3.302382029,2.225299157
2.681840264,4.407991167,4.674180583,1.608768078,4.110655542,1.71610944,4.922402214,1.568396994,3.309079982,2.191482819
2.692702208,4.353893323,4.714434089,1.606333828,4.1509035,1.696768606,4.962639075,1.515242994,3.334918792,2.072779473
2.702387517,4.307508031,4.754689973,1.611145257,4.19115542,1.689503904,5.002886504,1.49429201,3.355981239,2.002267905
2.724928417,4.184320822,4.792928069,1.600500189,4.231413418,1.700755936,5.043142652,1.499908514,3.389480514,1.862168931
2.739442973,4.118136754,4.835179547,1.55314178,4.271672209,1.714423194,5.083395365,1.495059037,3.41246104,1.795336801
2.745996818,4.087701802,4.875422484,1.518504514,4.31192915,1.722454924,5.123637246,1.45720147,3.416283685,1.761521823
2.766230661,3.970312227,4.915666743,1.487892624,4.352185034,1.727266353,5.163877277,1.413708374,3.449792472,1.650405563
2.778504904,3.892053085,4.95591153,1.458890886,4.392438275,1.724027027,5.204120214,1.379071108,3.472774772,1.58897894
2.782966507,3.858237804,4.996154731,1.425058695,4.43268544,1.702270968,5.244365001,1.350069369,3.48666054,1.553779076
2.796347748,3.745923443,5.036394762,1.3815656,4.472932869,1.681319983,5.284611373,1.325898083,3.516816122,1.446689779
2.803039755,3.693992909,5.076636378,1.342902956,4.513177392,1.65151317,5.324863294,1.318633381,3.53979914,1.387448361
2.809733745,3.64810044,5.116883543,1.321146897,4.546716564,1.632980582,5.3651168,1.316199131,3.552564694,1.346038444
2.829817298,3.515253486,5.157131765,1.302611139,4.59366036,1.573382808,5.405366079,1.300883674,3.594379244,1.232848065
2.839845996,3.408978777,5.19737893,1.280855079,4.633903033,1.537940466,5.445611922,1.275102238,3.620715503,1.169694695
2.839858995,3.448588487,5.237624245,1.253463491,4.674143593,1.496057521,5.48585803,1.250125876,3.681053883,1.038438868
2.856580969,3.294247605,5.27786956,1.226071904,4.714385737,1.459005029,5.526105459,1.229174892,3.721289687,0.982064566
2.8666061,3.177104378,5.318113819,1.195460014,4.754628939,1.425172838,5.566352888,1.208223908,3.788347157,0.881398434
2.866618782,3.215747997,5.358358341,1.165653201,4.794874782,1.399391401,5.60659926,1.184052622,3.828591151,0.849981469
2.883343451,3.069618884,5.398604713,1.141481915,4.835124854,1.386491171,5.646846161,1.161491487,3.868835674,0.820174656
2.890035459,3.01768835,5.438853728,1.125361383,4.875374661,1.372785865,5.687092005,1.13571005,3.935912168,0.777473953
2.896727863,2.966965429,5.479102214,1.1076307,4.915623675,1.356665333,5.727334414,1.099462633,3.97615854,0.753302667
2.910103951,2.838952098,5.51934885,1.08426449,4.955872425,1.339739726,5.767576822,1.063215216,4.00634398,0.737186891
2.923345817,2.744438337,5.559593901,1.056067827,4.996116948,1.309932912,5.807822666,1.037433779,4.076767601,0.671942492
2.936864452,2.608285312,5.603197506,1.040146978,5.036355922,1.263219515,5.848070888,1.018898021,4.117011595,0.640525527
2.94355527,2.552731938,5.641948844,1.018127623,5.076595689,1.218921344,5.917622044,0.994367853,4.147196507,0.6227996
2.950248467,2.504424243,5.680336981,0.9956301,5.116841004,1.191529756,5.975532794,0.988244914,4.217626205,0.576071935
2.963626537,2.382448978,5.720583353,0.971458814,5.157087904,1.168968621,6.015780487,0.968099005,4.257876804,0.564781856
2.972548422,2.310793039,5.757477948,0.955661898,5.197333484,1.142382109,6.056025274,0.939097266,4.29141875,0.55470256
2.982599314,2.272144664,5.807782505,0.915062317,5.237577214,1.110160069,6.096270325,0.910900603,4.378634416,0.548623276
3.003132092,2.145255057,5.848033633,0.905382389,5.277820944,1.077938029,6.136513262,0.876263337,4.418888715,0.548604252
3.020540903,2.039459905,5.888281855,0.886846631,5.318060711,1.033639858,6.176756728,0.843236222,4.452433964,0.548588399
3.020552793,2.075688298,5.928531397,0.87233625,5.358299685,0.986926461,6.217012083,0.8464375,4.539648705,0.539691352
3.043313784,1.924001311,5.968780412,0.856215718,5.398541565,0.949068893,6.257270081,0.857689531,4.579901418,0.534841875
3.058054669,1.866028907,6.009029426,0.840095186,5.438787409,0.923287456,6.297526494,0.864111111,4.613449573,0.543681852
3.065197884,1.826093785,6.049277648,0.821559428,5.479033517,0.898311095,6.337779471,0.86006671,4.700670391,0.553301538
3.094228422,1.698073056,6.089526134,0.803828745,5.519282795,0.882995638,6.378030864,0.851191857,4.740925747,0.556502816
3.114333113,1.629632134,6.129774091,0.784487911,5.559532866,0.870095408,6.418280671,0.837486551,4.774471524,0.558097114
3.147832916,1.491143311,6.170021785,0.764342003,5.59642651,0.85140022,6.458529949,0.822171095,4.861683359,0.540344237
3.161232309,1.434137631,6.210270799,0.748221471,5.640022969,0.813702082,6.498778699,0.805245487,4.901940828,0.549986118
3.177990349,1.389689542,6.250521927,0.738541542,5.680269869,0.791140947,6.539027449,0.78831988,4.932136308,0.564463207
3.208144927,1.279540959,6.290774112,0.732081915,5.720518619,0.774215339,6.579275671,0.769784122,5.009304648,0.607900817
3.231126684,1.216458181,6.331026825,0.727232439,5.760768691,0.761315109,6.619527063,0.760909269,5.04956476,0.625593452
3.243892389,1.175508307,6.371279803,0.723188038,5.801018498,0.747609804,6.659778984,0.753644566,5.083114765,0.640068956
3.281873347,1.062779783,6.411533573,0.721558863,5.841268833,0.735514649,6.700032755,0.752015392,5.170337168,0.654519096
3.305335271,1.002589299,6.451787872,0.72153984,5.881519168,0.723419494,6.740290752,0.763267424,5.210593316,0.6601356
3.322097789,0.971787238,6.492043756,0.726351268,5.921769768,0.712129414,6.780548486,0.77371438,5.244140283,0.665352737
3.366150161,0.863081223,6.522236065,0.731167453,5.962020368,0.700839335,6.820803049,0.774500432,5.324658524,0.694699941
3.395848457,0.822813411,6.579254005,0.703767939,6.00227361,0.69760001,6.861055762,0.769650956,5.364918636,0.712392577
3.472964217,0.706041015,6.619509889,0.708579367,6.042527908,0.697580986,6.901308476,0.764801479,5.398468244,0.725660468
3.513207683,0.6730139,6.659765245,0.711780645,6.082782207,0.697561962,6.941562774,0.764782456,5.47228457,0.776747879
3.553447978,0.630325879,6.700019544,0.711761621,6.123036506,0.697542938,6.981817073,0.764763432,5.51254336,0.790415137
