U-Cl,,Na-Cl,,Cl-Cl,,Na-Na,,Na-U,,U-U,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.638262757,4.232789244,2.928313993,2.207922077,4.258330753,1.214343531,5.033558602,1.189801895,5.212312653,1.541413097,5.550377169,1.055730217
2.648810075,4.497901624,3.012692535,1.890548449,4.350092417,1.108802161,5.152359753,1.105046058,5.29267104,1.456843528,5.591511708,1.025605498
2.65584162,4.72953948,3.060155464,1.723780904,4.462948716,1.044999521,5.268763787,1.043898668,5.382188018,1.358999607,5.694172266,0.852051982
2.666388938,4.964739493,3.107618394,1.596597229,4.57896921,0.977287469,5.317983751,1.01966589,5.508239826,1.20744186,5.805387872,0.695669525
2.676936255,5.222620205,3.159540949,1.430389936,4.694989705,0.938959893,5.395455685,0.974271189,5.617880002,1.09954573,5.874986832,0.637027112
2.690999346,5.475699323,3.248099472,1.240342404,4.811010199,0.909575417,5.551431901,0.897624653,5.744447814,0.985684329,5.981762462,0.639123786
2.701546663,5.686500994,3.29008699,1.141265618,4.927030694,0.891689215,5.654795614,0.872247276,5.859413577,0.906408056,6.08251531,0.549289494
2.722641299,5.857384191,3.415248493,0.96148134,5.043051188,0.909575417,5.744472772,0.819247414,5.989965931,0.81113059,6.161245631,0.525595574
2.775377887,6.189028757,3.521600613,0.850007975,5.159071683,0.947902994,5.820915867,0.783781897,6.081376018,0.78389166,6.245445404,0.535562148
2.800992801,6.034072798,3.641312669,0.765305346,5.275092177,0.959401267,5.920738695,0.762029976,6.214305704,0.742005194,6.37025533,0.574209122
2.852724883,5.802559026,3.780009896,0.693381256,5.414316771,1.008858746,6.031862221,0.7349298,6.322089246,0.724301714,6.481543054,0.532001236
2.866787974,5.606513471,3.898081258,0.660872031,5.528227802,1.019362631,6.16528579,0.719213345,6.407490557,0.728790415,6.611588003,0.569121979
2.884366836,5.433538988,4.018906642,0.642784885,5.750532805,0.864737066,6.283867775,0.701482822,6.515573929,0.715280073,6.74820088,0.589065053
2.901945699,5.202359822,4.134575559,0.628705257,5.829412318,0.833417103,6.393107851,0.704756866,6.624646587,0.720875885,6.885818263,0.64246871
2.917766676,4.979417535,4.247607647,0.634608309,5.939573191,0.836753022,6.533738754,0.714177751,6.759387429,0.745441093,6.935790331,0.681387905
2.928313993,4.81511492,4.33973919,0.63648834,6.055593686,0.821421991,6.655384484,0.734173581,6.872131863,0.754409956,6.994304959,0.695875203
2.938861311,4.659077069,4.455044612,0.647462277,6.17161418,0.820144405,6.780113277,0.771766088,6.94684203,0.768452767,,
2.949408629,4.480665242,4.611530542,0.674897119,6.287634675,0.833559057,6.887073896,0.806558936,,,,
2.959955946,4.323843855,4.719775901,0.713383935,6.403655169,0.859749568,6.976726096,0.824884654,,,,
2.970503264,4.164083514,4.831577469,0.744516172,6.519675664,0.889772836,,,,,,
2.981050582,4.009885995,4.947246386,0.792053112,6.635696158,0.930016792,,,,,,
2.991597899,3.871638021,5.060310435,0.843787735,6.752527985,0.982479709,,,,,,
3.002145217,3.697754526,5.167185004,0.90149223,6.867737147,1.012846943,,,,,,
3.014450421,3.518991362,5.282123722,0.955516433,6.962663006,1.025926989,,,,,,
3.032029284,3.306524097,5.571657933,1.096714971,,,,,,,,
3.049608147,3.055618058,5.706932052,1.16872428,,,,,,,,
3.070702782,2.808950824,5.789293068,1.207133059,,,,,,,,
3.091797417,2.571906296,5.879890185,1.245541838,,,,,,,,
3.112892053,2.344240491,5.921070693,1.256515775,,,,,,,,
3.133986688,2.141402438,6.004479762,1.263707881,,,,,,,,
3.155081324,1.954508353,6.132438429,1.254816374,,,,,,,,
3.176175959,1.747119661,6.248961176,1.237032037,,,,,,,,
3.207817912,1.564056812,6.35619224,1.216743583,,,,,,,,
3.255280841,1.238937059,6.472889499,1.201646091,,,,,,,,
3.334385724,0.917815846,6.572412252,1.171022749,,,,,,,,
3.392395971,0.748706061,6.703500343,1.135802469,,,,,,,,
3.471500854,0.582016591,6.821712488,1.102734442,,,,,,,,
3.572755104,0.445620102,6.953074536,1.043205591,,,,,,,,
3.690885062,0.352164694,,,,,,,,,,
3.832219119,0.285176607,,,,,,,,,,
3.976453688,0.284942383,,,,,,,,,,
4.081135816,0.258709286,,,,,,,,,,
4.202781546,0.271279312,,,,,,,,,,
4.311770496,0.297043961,,,,,,,,,,
4.434470958,0.343029955,,,,,,,,,,
4.549964087,0.388000978,,,,,,,,,,
4.671785606,0.430161313,,,,,,,,,,
4.802572345,0.502536553,,,,,,,,,,
4.915164961,0.568060739,,,,,,,,,,
5.029339675,0.632530917,,,,,,,,,,
5.153212062,0.713182075,,,,,,,,,,
5.250481769,0.790866395,,,,,,,,,,
5.486038531,1.038718058,,,,,,,,,,
5.715970056,1.203100775,,,,,,,,,,
5.844647332,1.269215845,,,,,,,,,,
5.960667827,1.319041695,,,,,,,,,,
6.084071443,1.361904701,,,,,,,,,,
6.206420328,1.371742112,,,,,,,,,,
6.307410895,1.347148584,,,,,,,,,,
6.437406586,1.282502738,,,,,,,,,,
6.559521086,1.210517871,,,,,,,,,,
6.646243476,1.165859147,,,,,,,,,,
6.813242672,1.083646495,,,,,,,,,,
6.917836906,1.04060782,,,,,,,,,,
