Li-Cl,,K-Cl,,Sm-Cl,,,,
X,Y,X,Y,X,Y,,,
7.051697553,1.094988978,6.683200743,1.057351203,3.085184694,8.558173062,,,
7.080529054,1.106058912,6.716230066,1.089454011,3.088051085,8.379963899,,,
7.264324725,1.039711191,6.750304884,1.108272899,3.093130595,8.152071819,,,
7.315073869,1.014731957,6.843839674,1.16967509,3.094831297,7.934363119,,,
7.376659246,0.995359573,6.949504086,1.183548449,3.098311112,7.865914028,,,
7.536518079,0.940009904,7.059233546,1.21299639,3.101033216,7.808903869,,,
7.602037659,0.934474937,7.213093585,1.277978339,3.106083405,7.709274464,,,
7.668598475,0.895730168,7.290230974,1.27210792,3.108717204,7.504480688,,,
7.841214246,0.88267148,7.356683329,1.277978339,3.113898548,7.222197374,,,
7.913898748,0.851450433,7.39770897,1.277978339,3.11391826,7.314446823,,,
7.966312993,0.840380499,7.459247431,1.277978339,3.117373278,7.129947925,,,
,,7.497275729,1.268110444,3.121904022,7.094893134,,,
,,7.528730294,1.289635315,3.124263602,6.66870068,,,
,,7.549697924,1.294247788,3.124312092,6.895634325,,,
,,7.596863411,1.249968052,3.129486931,6.582908693,,,
,,7.701688944,1.213990767,3.133396002,6.479128063,,,
,,7.733135953,1.20015335,3.142475181,6.040481933,,,
,,7.822248132,1.21860324,3.145141544,6.25357816,,,
,,7.853697704,1.216758251,3.146819381,5.9288601,,,
,,7.885143925,1.199230855,3.152870984,5.63089438,,,
,,7.913969946,1.184655442,3.152911786,5.82185074,,,
,,7.972049431,1.19133574,3.158915373,5.299165362,,,
,,,,3.160681733,5.388739577,,,
,,,,3.165660706,5.221306827,,,
,,,,3.168459367,4.991605699,,,
,,,,3.176273368,4.764672055,,,
,,,,3.181473635,4.570948213,,,
,,,,3.181495515,4.673345101,,,
,,,,3.194532845,4.360619469,,,
,,,,3.204963538,4.11431344,,,
,,,,3.220147584,4.035827609,,,
,,,,3.225891745,3.934427015,,,
,,,,3.23895608,3.748083128,,,
,,,,3.25443357,3.120786876,,,
,,,,3.25460817,3.406944666,,,
,,,,3.254628631,3.502699594,,,
,,,,3.257208659,3.311743235,,,
,,,,3.26231845,2.694594422,,,
,,,,3.263211377,2.784998882,,,
,,,,3.264977718,2.874480847,,,
,,,,3.270141913,2.511940513,,,
,,,,3.285800666,2.201982365,,,
,,,,3.291019856,2.096817993,,,
,,,,3.305526243,1.862815884,,,
,,,,3.338082844,1.572841123,,,
,,,,3.343315832,1.532251366,,,
,,,,3.351165314,1.471366729,,,
,,,,3.369510784,1.310469314,,,
,,,,3.403506035,1.116206351,,,
