F-U,,F-F,,F-Li,,F-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.359827655,5.45735261,4.436532785,0.856743892,2.693313151,0.538040251,3.648294342,0.663859938
2.36677527,5.28348009,4.478218472,0.852589468,2.733104034,0.519938834,3.689980029,0.684038567
2.374986087,5.127016583,4.519904159,0.840126197,2.788053348,0.516081155,3.731665716,0.696501838
2.381933702,4.946180458,4.561589846,0.832410839,2.829739035,0.510146264,3.773351403,0.706591152
2.387870754,4.778401092,4.603275533,0.823508503,2.871424722,0.510146264,3.815037089,0.727956759
2.39582893,4.600176319,4.64496122,0.819354079,2.913110409,0.506585329,3.856722776,0.748728878
2.403408146,4.398884603,4.686646907,0.810451743,2.954796096,0.504211373,3.898408463,0.768907507
2.410987362,4.204121267,4.728332594,0.805110341,2.996481783,0.515487666,3.94009415,0.790273114
2.419920009,3.999099048,4.770018281,0.803923363,3.03816747,0.526170469,3.981779837,0.811638721
2.427408996,3.805890089,4.811703967,0.811045232,3.079853157,0.537446762,4.023465524,0.828849905
2.434988212,3.636152209,4.853389654,0.819354079,3.121538844,0.547536076,4.065151211,0.854369935
2.442567428,3.460974013,4.895075341,0.827069437,3.16322453,0.560592836,4.106836898,0.879889966
2.450778245,3.302987218,4.936761028,0.837158752,3.204910217,0.57127564,4.148522585,0.90362953
2.45772586,3.133466951,4.978446715,0.854963424,3.246595904,0.584925889,4.190208272,0.925588626
2.467831481,2.977873895,5.020132402,0.866833206,3.288281591,0.601543584,4.231893959,0.957637037
2.474273814,2.817275748,5.064344494,0.90576609,3.329967278,0.615193833,4.273579646,0.997400806
2.482989912,2.687360986,5.107040743,0.926830996,3.481551594,0.695908349,4.315265332,1.026481771
2.492463932,2.526327613,5.146894786,0.94179653,3.523237281,0.711339065,4.356951019,1.043692955
2.503832756,2.342444911,5.185296146,0.963125162,3.564922968,0.742200498,4.398636706,1.076928344
2.515201579,2.181411538,5.228560837,0.97484822,3.606608655,0.776029376,4.440322393,1.099480929
2.526570403,2.029082672,5.270246524,0.982563579,3.648294342,0.803329874,4.48200808,1.124407471
2.537939227,1.878929932,5.31193221,0.986718002,3.689980029,0.832410839,4.523693767,1.146366567
2.550932168,1.732818571,5.353617897,0.997104061,3.731665716,0.859117848,4.584327493,1.155268903
2.562842364,1.591992089,5.382959268,1.013289037,3.773351403,0.8943711,4.62601318,1.18375638
2.583414522,1.435310969,5.44563591,1.029900332,3.815037089,0.917873268,4.667698867,1.199187096
2.608046973,1.258733834,5.542061513,1.071428571,3.856722776,0.951108657,4.709384554,1.202154541
2.63078462,1.114565443,5.590274314,1.088039867,3.898408463,0.991465915,4.751070241,1.205715476
2.653522268,0.944283532,5.643308396,1.104651163,3.94009415,1.022920837,4.792755928,1.210463389
2.678154719,0.792731854,5.672236076,1.104651163,3.981779837,1.054375758,4.834441615,1.213430834
2.71226119,0.646055265,,,4.023465524,1.08583068,4.876127302,1.215211301
2.753946877,0.530324893,,,4.065151211,1.113131178,4.917812989,1.215211301
2.795632564,0.44070804,,,4.106836898,1.13805772,4.959498676,1.215211301
2.837318251,0.360587013,,,4.148522585,1.158829838,5.001184363,1.208682921
2.879003938,0.31073393,,,4.190208272,1.177821489,5.042870049,1.198593607
2.920689625,0.275718074,,,4.231893959,1.202154541,5.084555736,1.19681314
2.962375312,0.233580349,,,4.273579646,1.222926659,5.126241423,1.179601956
3.004060999,0.20627985,,,4.315265332,1.23538993,5.16792711,1.165951707
3.045746686,0.186101221,,,4.356951019,1.250820647,5.209612797,1.156455882
3.087432372,0.172450972,,,4.398636706,1.262690428,5.251298484,1.136277253
3.129118059,0.158207234,,,4.440322393,1.264470896,5.292984171,1.113724667
3.170803746,0.16117468,,,4.48200808,1.260316472,5.334669858,1.098293951
3.212489433,0.156426767,,,4.523693767,1.254381581,5.376355545,1.082863235
3.25417512,0.151678854,,,4.565379454,1.250227158,5.418041232,1.076928344
3.295860807,0.162361658,,,4.603275533,1.263811463,5.459726919,1.058530182
3.337546494,0.164142125,,,4.675278083,1.238357376,5.501412605,1.033010151
3.379232181,0.175418418,,,4.804124752,1.17069962,5.538045482,1.010655395
3.420917868,0.179572841,,,4.845810439,1.162390772,5.663944678,1.013556898
3.462603555,0.194410069,,,4.887496126,1.150520991,,
3.504289242,0.208060318,,,4.929181812,1.127968405,,
3.545974928,0.218149632,,,4.970867499,1.108383265,,
3.587660615,0.235954305,,,5.012553186,1.084050213,,
3.629346302,0.253758978,,,5.054238873,1.06624554,,
3.671031989,0.273937607,,,5.09592456,1.051408313,,
3.712717676,0.286994366,,,5.137610247,1.035384107,,
3.754403363,0.314294865,,,5.179295934,1.016985946,,
3.79608905,0.346343275,,,5.220981621,0.999774762,,
3.837774737,0.37601773,,,5.262667308,0.995026849,,
3.879460424,0.417561966,,,5.304352995,0.983157068,,
3.921146111,0.45435829,,,5.346038682,0.973067753,,
3.962831798,0.489374146,,,5.387724368,0.960604482,,
4.004517485,0.520829067,,,5.429410055,0.947547722,,
4.046203171,0.557031902,,,5.471095742,0.934490962,,
4.087888858,0.587299845,,,5.512781429,0.933897473,,
4.129574545,0.622315702,,,5.554467116,0.920840713,,
