U-U,,U-Na,,U-F,,Na-Na,,Na-F,,F-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.78E+00,0.00E+00,2.78E+00,0.00E+00,2.78E+00,3.29E-01,2.78E+00,5.01E-01,2.78E+00,1.01E+00,2.78E+00,1.78E+00
2.82E+00,0.00E+00,2.82E+00,3.03E-02,2.82E+00,1.85E-01,2.82E+00,4.53E-01,2.82E+00,8.95E-01,2.82E+00,1.68E+00
2.86E+00,0.00E+00,2.86E+00,0.00E+00,2.86E+00,1.94E-01,2.86E+00,4.98E-01,2.86E+00,7.70E-01,2.86E+00,1.71E+00
2.90E+00,0.00E+00,2.90E+00,0.00E+00,2.90E+00,1.35E-01,2.90E+00,6.54E-01,2.90E+00,7.87E-01,2.90E+00,1.66E+00
2.94E+00,0.00E+00,2.94E+00,4.18E-02,2.94E+00,1.57E-01,2.94E+00,7.78E-01,2.94E+00,7.79E-01,2.94E+00,1.74E+00
2.98E+00,0.00E+00,2.98E+00,0.00E+00,2.98E+00,1.15E-01,2.98E+00,8.41E-01,2.98E+00,7.33E-01,2.98E+00,1.65E+00
3.02E+00,0.00E+00,3.02E+00,6.60E-02,3.02E+00,1.49E-01,3.02E+00,7.97E-01,3.02E+00,7.50E-01,3.02E+00,1.53E+00
3.06E+00,0.00E+00,3.06E+00,1.03E-01,3.06E+00,7.25E-02,3.06E+00,1.23E+00,3.06E+00,6.27E-01,3.06E+00,1.60E+00
3.10E+00,0.00E+00,3.10E+00,1.38E-01,3.10E+00,8.24E-02,3.10E+00,1.06E+00,3.10E+00,6.79E-01,3.10E+00,1.48E+00
3.14E+00,0.00E+00,3.14E+00,2.69E-01,3.14E+00,8.61E-02,3.14E+00,1.20E+00,3.14E+00,6.46E-01,3.14E+00,1.31E+00
3.18E+00,0.00E+00,3.18E+00,3.57E-01,3.18E+00,1.34E-01,3.18E+00,1.20E+00,3.18E+00,6.00E-01,3.18E+00,1.34E+00
3.22E+00,0.00E+00,3.22E+00,6.27E-01,3.22E+00,9.82E-02,3.22E+00,1.40E+00,3.22E+00,6.55E-01,3.22E+00,1.36E+00
3.26E+00,0.00E+00,3.26E+00,6.80E-01,3.26E+00,8.52E-02,3.26E+00,1.34E+00,3.26E+00,6.06E-01,3.26E+00,1.30E+00
3.30E+00,0.00E+00,3.30E+00,9.40E-01,3.30E+00,1.09E-01,3.30E+00,1.52E+00,3.30E+00,6.08E-01,3.30E+00,1.20E+00
3.34E+00,0.00E+00,3.34E+00,9.39E-01,3.34E+00,1.37E-01,3.34E+00,1.50E+00,3.34E+00,5.83E-01,3.34E+00,1.12E+00
3.38E+00,0.00E+00,3.38E+00,1.26E+00,3.38E+00,1.34E-01,3.38E+00,1.50E+00,3.38E+00,5.59E-01,3.38E+00,1.18E+00
3.42E+00,0.00E+00,3.42E+00,1.52E+00,3.42E+00,1.16E-01,3.42E+00,1.65E+00,3.42E+00,5.78E-01,3.42E+00,1.07E+00
3.46E+00,0.00E+00,3.46E+00,1.50E+00,3.46E+00,1.37E-01,3.46E+00,1.76E+00,3.46E+00,5.80E-01,3.46E+00,1.09E+00
3.50E+00,0.00E+00,3.50E+00,2.02E+00,3.50E+00,1.15E-01,3.50E+00,1.62E+00,3.50E+00,5.83E-01,3.50E+00,1.06E+00
3.54E+00,0.00E+00,3.54E+00,1.95E+00,3.54E+00,1.67E-01,3.54E+00,1.67E+00,3.54E+00,5.87E-01,3.54E+00,1.08E+00
3.58E+00,0.00E+00,3.58E+00,2.45E+00,3.58E+00,1.72E-01,3.58E+00,1.69E+00,3.58E+00,6.27E-01,3.58E+00,9.76E-01
3.62E+00,0.00E+00,3.62E+00,2.46E+00,3.62E+00,1.47E-01,3.62E+00,1.62E+00,3.62E+00,6.45E-01,3.62E+00,9.69E-01
3.66E+00,0.00E+00,3.66E+00,2.63E+00,3.66E+00,2.36E-01,3.66E+00,1.52E+00,3.66E+00,6.04E-01,3.66E+00,9.03E-01
3.70E+00,1.25E-01,3.70E+00,2.79E+00,3.70E+00,1.98E-01,3.70E+00,1.63E+00,3.70E+00,6.43E-01,3.70E+00,9.30E-01
3.74E+00,1.22E-01,3.74E+00,3.06E+00,3.74E+00,2.79E-01,3.74E+00,1.69E+00,3.74E+00,6.22E-01,3.74E+00,9.31E-01
3.78E+00,1.79E-01,3.78E+00,2.59E+00,3.78E+00,2.61E-01,3.78E+00,1.47E+00,3.78E+00,7.02E-01,3.78E+00,8.52E-01
3.82E+00,0.00E+00,3.82E+00,2.90E+00,3.82E+00,2.25E-01,3.82E+00,1.51E+00,3.82E+00,6.57E-01,3.82E+00,8.66E-01
3.86E+00,1.72E-01,3.86E+00,2.71E+00,3.86E+00,2.89E-01,3.86E+00,1.50E+00,3.86E+00,6.91E-01,3.86E+00,8.69E-01
3.90E+00,2.24E-01,3.90E+00,2.87E+00,3.90E+00,3.01E-01,3.90E+00,1.39E+00,3.90E+00,7.51E-01,3.90E+00,8.94E-01
3.94E+00,2.20E-01,3.94E+00,2.53E+00,3.94E+00,4.15E-01,3.94E+00,1.25E+00,3.94E+00,7.20E-01,3.94E+00,1.01E+00
3.98E+00,2.16E-01,3.98E+00,2.77E+00,3.98E+00,3.75E-01,3.98E+00,1.31E+00,3.98E+00,7.65E-01,3.98E+00,8.86E-01
4.02E+00,1.58E-01,4.02E+00,2.83E+00,4.02E+00,3.82E-01,4.02E+00,1.36E+00,4.02E+00,7.57E-01,4.02E+00,9.87E-01
4.06E+00,1.04E-01,4.06E+00,2.46E+00,4.06E+00,5.15E-01,4.06E+00,1.13E+00,4.06E+00,8.11E-01,4.06E+00,9.30E-01
4.10E+00,3.05E-01,4.10E+00,2.47E+00,4.10E+00,4.17E-01,4.10E+00,1.22E+00,4.10E+00,8.47E-01,4.10E+00,9.70E-01
4.14E+00,1.99E-01,4.14E+00,2.37E+00,4.14E+00,5.28E-01,4.14E+00,1.15E+00,4.14E+00,8.08E-01,4.14E+00,1.00E+00
4.18E+00,3.42E-01,4.18E+00,2.34E+00,4.18E+00,5.57E-01,4.18E+00,1.04E+00,4.18E+00,8.07E-01,4.18E+00,1.06E+00
4.22E+00,3.36E-01,4.22E+00,2.28E+00,4.22E+00,6.26E-01,4.22E+00,9.46E-01,4.22E+00,9.17E-01,4.22E+00,1.06E+00
4.26E+00,2.82E-01,4.26E+00,2.16E+00,4.26E+00,6.76E-01,4.26E+00,1.10E+00,4.26E+00,9.03E-01,4.26E+00,1.00E+00
4.30E+00,2.77E-01,4.30E+00,2.16E+00,4.30E+00,6.73E-01,4.30E+00,1.03E+00,4.30E+00,9.07E-01,4.30E+00,1.10E+00
4.34E+00,4.99E-01,4.34E+00,1.96E+00,4.34E+00,8.17E-01,4.34E+00,9.12E-01,4.34E+00,9.72E-01,4.34E+00,1.00E+00
4.38E+00,3.11E-01,4.38E+00,1.71E+00,4.38E+00,8.43E-01,4.38E+00,9.42E-01,4.38E+00,9.92E-01,4.38E+00,1.05E+00
4.42E+00,5.68E-01,4.42E+00,1.55E+00,4.42E+00,8.63E-01,4.42E+00,9.32E-01,4.42E+00,9.98E-01,4.42E+00,9.81E-01
4.46E+00,6.01E-01,4.46E+00,1.53E+00,4.46E+00,8.50E-01,4.46E+00,8.50E-01,4.46E+00,1.00E+00,4.46E+00,9.66E-01
4.50E+00,4.64E-01,4.50E+00,1.29E+00,4.50E+00,9.80E-01,4.50E+00,8.69E-01,4.50E+00,1.07E+00,4.50E+00,9.49E-01
4.54E+00,5.38E-01,4.54E+00,1.23E+00,4.54E+00,9.44E-01,4.54E+00,8.30E-01,4.54E+00,1.11E+00,4.54E+00,8.15E-01
4.58E+00,4.48E-01,4.58E+00,1.26E+00,4.58E+00,1.09E+00,4.58E+00,8.19E-01,4.58E+00,1.19E+00,4.58E+00,8.31E-01
4.62E+00,5.60E-01,4.62E+00,1.06E+00,4.62E+00,1.10E+00,4.62E+00,7.76E-01,4.62E+00,1.17E+00,4.62E+00,8.28E-01
4.66E+00,4.72E-01,4.66E+00,1.08E+00,4.66E+00,1.11E+00,4.66E+00,7.29E-01,4.66E+00,1.15E+00,4.66E+00,8.11E-01
4.70E+00,4.64E-01,4.70E+00,9.48E-01,4.70E+00,1.23E+00,4.70E+00,7.38E-01,4.70E+00,1.19E+00,4.70E+00,7.95E-01
4.74E+00,2.28E-01,4.74E+00,9.00E-01,4.74E+00,1.23E+00,4.74E+00,6.77E-01,4.74E+00,1.20E+00,4.74E+00,7.53E-01
4.78E+00,4.86E-01,4.78E+00,6.80E-01,4.78E+00,1.26E+00,4.78E+00,6.87E-01,4.78E+00,1.21E+00,4.78E+00,7.76E-01
4.82E+00,3.31E-01,4.82E+00,7.20E-01,4.82E+00,1.36E+00,4.82E+00,7.60E-01,4.82E+00,1.23E+00,4.82E+00,7.62E-01
