Zn-Cl,,Zn-Zn,,Cl-Cl,
X,Y,X,Y,X,Y
2.201025493,6.706849993,3.556932439,1.827507445,3.436028377,1.964554315
2.201080684,6.548805147,3.562366579,1.886019957,3.43824894,2.003962624
2.201126216,6.418418149,3.575752937,1.940617268,3.458729017,2.060777853
2.203393546,6.930667038,3.589711196,2.029122382,3.46965968,2.11818204
2.211761505,7.485580053,3.595149223,2.084294401,3.473613261,2.178525944
2.211816695,7.327535207,3.608845017,2.135662911,3.482533204,2.243897931
2.214129446,7.709716381,3.625824268,2.202397004,3.4889277,2.308791308
2.215546972,7.152967491,3.634421207,2.249037263,3.502395038,2.366021025
2.222594852,7.985576476,3.644424255,2.294853239,3.520064287,2.422531834
2.222632231,7.878537012,3.666341191,2.373893622,3.529784464,2.478085784
2.23052136,8.212586346,3.677277621,2.432352255,3.543168384,2.538428516
2.242697505,8.629250031,3.698600913,2.496168848,3.562637101,2.625171165
2.243468606,9.142736483,3.7309487,2.555061506,3.586996428,2.713469708
2.244477892,8.924204747,3.749763282,2.589790337,3.608313113,2.788777822
2.245941112,8.744191737,3.802153069,2.567912489,3.633144733,2.846604781
2.246657807,8.428102045,3.831218367,2.536877369,3.650377717,2.902636721
2.251528072,9.699644671,3.84092062,2.473839027,3.673708624,2.950317743
2.252022164,9.35050415,3.855208063,2.410800685,3.715579968,2.979027214
2.267333017,10.02349382,3.871516327,2.356152061,3.761297922,2.950187232
2.288954747,9.807402521,3.889281102,2.288226131,3.793471875,2.910521176
2.322390936,9.52142206,3.909235141,2.215280054,3.807853928,2.859583412
2.334481872,9.327520897,3.921539082,2.149308303,3.824787337,2.802041048
2.343286928,9.117752283,3.937665094,2.082408638,3.843995224,2.737589203
2.343944119,8.758559451,3.954252029,2.013443615,3.865483832,2.678042623
2.346048671,8.214182758,3.963948535,1.955344174,3.879843839,2.63536873
2.346498097,8.399366619,3.972656574,1.902337575,3.896426426,2.57466308
2.348853618,8.938155867,3.989156769,1.832859418,3.903099515,2.515970142
2.348994103,8.535859895,4.01735492,1.767845516,3.920411198,2.459359199
2.356364225,7.695143414,4.02281739,1.709297084,3.931860671,2.395277775
2.357160868,7.915653605,4.035854091,1.631711432,3.94457615,2.341540946
2.36592497,7.336155835,4.03748527,1.580911303,3.959337875,2.268982159
2.369535752,7.503779157,4.046977419,1.529556991,3.972628194,2.199584452
2.370942969,7.205050452,4.061708794,1.479054479,3.986224855,2.137206361
2.377055216,6.985942824,4.06911466,1.419274529,4.003606565,2.06546826
2.378757065,6.61571764,4.083851457,1.364112772,4.023688502,1.998501958
2.382633405,6.773420398,4.087581051,1.311311426,4.032735467,1.954751146
2.38689288,6.396866579,4.100746917,1.255174718,4.043432295,1.896129546
2.391617218,6.211882271,4.11811236,1.192675165,4.051213839,1.841531268
2.400199809,6.005397705,4.132334032,1.129867732,4.058972371,1.785352545
2.405077445,5.547375531,4.141047624,1.072089,4.070036515,1.737075653
2.408065245,5.747725311,4.152112686,1.020006039,4.080934194,1.679531607
2.410656993,5.33096185,4.163176076,0.96935985,4.096672327,1.609878895
2.418087296,5.068451755,4.179742613,0.917923436,4.117793421,1.536867605
2.421822673,4.879276863,4.194945339,0.856393704,4.13494927,1.44949687
2.432180982,4.709258923,4.209755012,0.79489476,4.154846904,1.379596404
2.432967945,4.486032551,4.229481285,0.730047625,4.164070578,1.336312521
2.435818736,4.203096357,4.24133747,0.673590209,4.180662153,1.267884224
2.446617596,3.926218549,4.271810382,0.605138318,4.20277307,1.186254905
2.451658759,3.500275715,4.292984178,0.534736523,4.22486329,1.122405633
2.456969911,3.301907197,4.317020867,0.480857598,4.242233173,1.060827559
2.458931436,3.689151279,4.353094386,0.417927014,4.264326484,0.994322826
2.466473603,3.106301044,4.389472789,0.363186026,4.289294587,0.934898965
2.468106518,2.933477978,4.42804644,0.313294142,4.313206357,0.882310162
2.479183634,2.735408788,4.496881758,0.263905127,4.341577813,0.826210978
2.4886922,2.525845427,4.620697538,0.250451723,4.379384761,0.770018256
2.490325258,2.352611855,4.730698851,0.287611854,4.417978754,0.713171193
2.496683248,2.158647726,4.81317793,0.334306922,4.482260961,0.653746722
2.507234205,1.966222994,4.889543702,0.380762529,4.583230532,0.599304483
2.521984849,1.756095188,4.936872725,0.424823516,4.698856272,0.562985511
2.522057223,1.548840923,5.006687568,0.479348988,4.819969955,0.540439269
2.538625758,1.386725225,5.066056455,0.526762442,4.941062428,0.536113903
2.546026271,1.209523428,5.121022055,0.57546899,5.062148972,0.536882544
2.560771061,1.016157953,5.175986151,0.625468632,5.183224569,0.547055509
2.581490928,0.787172523,5.230949744,0.675899306,5.304290816,0.565261332
2.604948985,0.597698304,5.256829033,0.727276709,5.425340414,0.597769563
2.626239884,0.422206949,5.345550649,0.761304309,5.524362676,0.64010469
2.679928471,0.238505472,5.346460163,0.707149082,5.610363079,0.684156963
2.816527404,0.067262468,5.404095936,0.825413322,5.6860579,0.733917465
3.003972497,0.043071267,5.468689745,0.874712538,5.755359265,0.786441923
3.230138016,0.073294259,5.545281546,0.929913946,5.810523672,0.831621524
3.381165227,0.151431441,5.593743586,0.979417249,5.868821457,0.880392664
3.498780469,0.243675129,5.665218568,1.025804438,5.924157515,0.930385428
3.62326477,0.367161813,5.747696454,1.073525771,5.975298017,0.975637368
3.744315491,0.472307351,5.83017004,1.124941659,6.035783628,1.025557653
3.869029713,0.594106375,5.929155748,1.171683376,6.096271078,1.073897489
4.107449638,0.839337118,6.050160985,1.209300662,6.162262588,1.122164802
4.228501499,0.941217267,6.171175797,1.238689166,6.250265706,1.174117093
4.349558834,1.027423547,6.292206341,1.254558958,6.360291213,1.220493715
4.470625519,1.086853633,6.413271994,1.240256553,6.481341951,1.252022329
4.591700871,1.121466761,6.534344487,1.220076447,6.602417548,1.262195293
4.712784432,1.132569085,6.655418804,1.198328953,6.723509566,1.258261773
4.833872327,1.131262929,6.77648081,1.187161322,6.844610705,1.246491318
4.954961818,1.125385228,6.897548287,1.171291529,6.965714354,1.232565705
5.076049257,1.125385228,7.018606873,1.163062748,7.086827809,1.210215387
5.197119135,1.175672225,7.139671158,1.149935883,7.207950158,1.180224056
5.318180575,1.250123103,7.260727464,1.143666335,7.323577289,1.142709951
5.43923905,1.333063993,7.381818424,1.107616436,7.428207842,1.095427168
5.56030163,1.404249481,7.497420425,1.060163798,7.521833853,1.045218332
5.681398191,1.378126366,7.613023247,1.012005835,7.60995108,0.999140898
