Na-Na,,Na-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
3.304932432,0.824963127,2.391486486,1.751769912,3.631351351,1.298393969
3.329459459,0.865869114,2.397432432,1.817207473,3.655825826,1.344996783
3.351261261,0.908532722,2.404121622,1.899294142,3.683243243,1.396719764
3.382972973,0.959056047,2.409159159,1.974281656,3.708408408,1.450781165
3.411381381,1.00798099,2.413783784,2.047590954,3.737387387,1.506653556
3.443753754,1.049142358,2.41972973,2.116814159,3.769459459,1.55653884
3.463243243,1.087659784,2.426996997,2.18820059,3.814054054,1.610349066
3.49,1.122897177,2.430772201,2.256187667,3.864594595,1.656527914
3.519135135,1.160452311,2.437567568,2.319886922,3.924054054,1.705276958
3.544108108,1.200224751,2.443513514,2.388569322,3.966936937,1.739982207
3.611891892,1.264503441,2.449459459,2.458333333,4.027837838,1.7668961
3.662432432,1.314978696,2.455405405,2.52867678,4.109009009,1.756079974
3.718918919,1.363470993,2.461351351,2.598023599,4.181171171,1.736283186
3.778378378,1.40907899,2.468618619,2.66675407,4.251081081,1.695968535
3.838432432,1.44769771,2.476216216,2.736405113,4.316486486,1.661750246
3.894324324,1.470250191,2.485135135,2.808865946,4.381891892,1.628121927
3.947837838,1.477460942,2.49042042,2.878990495,4.443603604,1.581055392
4.001351351,1.485152409,2.494478764,2.926522585,4.491891892,1.533284169
4.108378378,1.474576642,2.502972973,2.973992134,4.542432432,1.484912051
4.161891892,1.464962307,2.508918919,3.026450344,4.595945946,1.437080739
4.215405405,1.448858298,2.514864865,3.079449361,4.652432432,1.390835792
4.268918919,1.426985688,2.518262548,3.124320832,4.714864865,1.344149459
4.322432432,1.401988419,2.526756757,3.170575221,4.784774775,1.294690265
4.375945946,1.377471867,2.535675676,3.225250737,4.847207207,1.247059434
4.429459459,1.354157107,2.538648649,3.277384464,4.925945946,1.197227139
4.482972973,1.328679122,2.546824324,3.32686824,5.01030888,1.144783912
4.536486486,1.307527587,2.550540541,3.368471695,5.062792793,1.101999344
4.59,1.292144652,2.555165165,3.417873921,5.110405405,1.07083743
4.643513514,1.276761717,2.569121622,3.475860374,5.159369369,1.043723369
4.697027027,1.254408391,2.58027027,3.522601489,5.222522523,1.014765651
4.750540541,1.234218289,2.61,3.617659784,5.276756757,0.980850541
4.804054054,1.213355184,2.633783784,3.648377581,5.341441441,0.93811865
4.857567568,1.192035398,2.672432432,3.621337266,5.404594595,0.904686988
4.911081081,1.175673862,2.705135135,3.578433301,5.47,0.867406471
4.964594595,1.161630067,2.709099099,3.533726647,5.535405405,0.837889217
5.018108108,1.149131432,2.717027027,3.492192724,5.600810811,0.811733858
5.071621622,1.128460614,2.728918919,3.44892822,5.666216216,0.788500258
5.125135135,1.111841551,2.737413127,3.402387976,5.731621622,0.769845952
5.178648649,1.093127936,2.748243243,3.348770895,5.797027027,0.750180269
5.232162162,1.075822135,2.763108108,3.29252704,5.862432432,0.73294002
5.285675676,1.053949525,2.77172973,3.241691249,5.927837838,0.718022194
5.339189189,1.026789031,2.782432432,3.193559489,5.993243243,0.710127827
5.392702703,0.995302087,2.794324324,3.134544002,6.058648649,0.705276958
5.446216216,0.965978368,2.807537538,3.07223861,6.124054054,0.705342511
5.49972973,0.940260024,2.819594595,3.008603736,6.189459459,0.706831484
5.553243243,0.918387414,2.829150579,2.953982301,6.254864865,0.715175352
5.606756757,0.894832295,2.839343629,2.904768928,6.32027027,0.714869442
5.66027027,0.87223861,2.841891892,2.860530973,6.385675676,0.729072435
5.713783784,0.851087075,2.85527027,2.813102262,6.451081081,0.747427073
5.767297297,0.832098765,2.862702703,2.759129794,6.516486486,0.761979679
5.820810811,0.815754397,2.86963964,2.709898394,6.581891892,0.779678794
5.874324324,0.803015405,2.881814672,2.666520579,6.647297297,0.800262209
5.927837838,0.791862777,2.885212355,2.621927237,6.712702703,0.822484431
5.981351351,0.782344586,2.893423423,2.577941658,6.778108108,0.846293955
6.034864865,0.773210969,2.904324324,2.524798427,6.843513514,0.872107506
6.088378378,0.770326669,2.915472973,2.459955752,6.908918919,0.896951819
6.141891892,0.771047744,2.920378378,2.414041298,6.968378378,0.919108489
