Li-F,,Na-F,,K-F,,Li-Li,,F-F,,Li-Na,,Li-K,,Na-Na,,Na-K,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
1.696617112,3.657378741,2.1713971,3.697690474,2.750561342,2.572801171,3.306828392,1.526735703,3.398472597,1.647058824,3.212973064,2.185384579,3.412563615,2.060900053,3.551963024,2.02276852,3.935827695,1.573842406,3.780934933,1.818155938
1.706718814,3.851588911,2.208436674,3.907927357,2.794335383,2.375241688,3.383601326,1.478407433,3.481782779,1.513716054,3.303500655,2.069107202,3.477883877,2.013444865,3.626042171,1.976196253,4.009906843,1.450922161,3.85501408,1.812048099
1.710086048,4.060496068,2.258945183,4.080346542,2.834742191,2.183481015,3.452442554,1.445832295,3.551963024,1.392704516,3.374588064,1.94797711,3.548793863,1.915476118,3.700121318,1.912063951,4.08398599,1.326474956,3.929093228,1.77387411
1.72018775,4.256805808,2.319555395,3.9033283,2.86841453,2.03283691,3.53175962,1.357777627,3.626042171,1.263106133,3.464390482,1.771026189,3.589937383,1.852005527,3.758486707,1.832159845,4.158065137,1.227986063,4.003172375,1.724247924
1.723554984,4.463613395,2.358839791,3.686772713,2.924535096,1.835652349,3.585635364,1.296909617,3.700121318,1.156218963,3.573513321,1.64128821,3.635021462,1.782466251,3.824708975,1.623315896,4.232144284,1.142476327,4.077251522,1.662406061
1.73440496,4.673570336,2.373431138,3.519646988,2.986267719,1.587669873,3.684968765,1.175687698,3.774200465,1.062972632,3.652980043,1.551701492,3.677688039,1.718961181,3.912818263,1.434670649,4.306223431,1.071472707,4.151330669,1.576896325
1.740391154,4.900323832,2.397001776,3.321447635,3.077183036,1.328536351,3.76073153,1.032535238,3.846836512,1.009103266,3.72705919,1.476116994,3.722396866,1.644039677,3.954256983,1.321704871,4.380302578,1.023373481,4.225409816,1.499021387
1.748809238,5.111330558,2.420572413,3.10449213,3.144527715,1.152172521,3.834810677,0.921830669,3.92235876,0.950513744,3.801138337,1.412748171,3.756421357,1.586234062,3.996437907,1.190699411,4.454381725,0.984436012,4.299488963,1.402822934
1.760594557,5.358869791,2.443662018,2.89433523,3.221974096,0.98978037,3.908889824,0.788076282,4.000691255,0.904148097,3.878247995,1.338229024,3.808665095,1.514968731,4.066890802,1.014474893,4.528460872,0.966875977,4.37356811,1.302043602
1.780797961,5.572186043,2.464346455,2.720970784,3.301291163,0.870083706,3.989703439,0.694313693,4.073547564,0.876571754,3.944634307,1.257644084,3.860956258,1.439698093,4.144596201,0.959551932,4.60254002,0.958477699,4.447647257,1.227986063
1.801001365,5.791940975,2.487917093,2.513113412,3.37013239,0.789748666,4.056619061,0.632897067,4.141228967,0.853984277,4.023375778,1.165648771,3.917417432,1.377088503,4.225409816,0.951915162,4.676619167,0.949315942,4.521726404,1.148584166
1.833831896,6.015195189,2.517099787,2.306189183,3.444211537,0.723325925,4.133199409,0.574349485,4.207443082,0.826803668,4.08152212,1.113099268,3.963894773,1.319281978,4.303978608,0.943671959,4.750698314,0.933282866,4.595805552,1.09590406
1.856320208,6.188859573,2.54516007,2.082701683,3.518290684,0.680418361,4.21194088,0.514132464,4.249354591,0.815218348,4.148161508,1.037168263,4.017603377,1.262785413,4.368905786,0.925216041,4.824777461,0.907324553,4.669884699,1.049331793
1.895283916,5.829733224,2.577709998,1.906337853,3.592369832,0.64229527,4.286020027,0.488174151,4.311675143,0.819735506,4.238878752,0.936028619,4.064903638,1.220680759,4.444761057,0.870384209,4.898856608,0.889764518,4.743963846,1.010394324
1.915487319,5.607178867,2.623953345,1.709986121,3.666448979,0.632471831,4.360099174,0.482829793,4.382828004,0.811674456,4.292742266,0.855956968,4.10515146,1.20054904,4.513803501,0.82002692,4.962834053,0.877548842,4.818042993,0.981382093
1.935690723,5.366428241,2.700052832,1.331055834,3.740528126,0.618729194,4.440120499,0.492357051,4.429694112,0.803677777,4.346181274,0.785148402,4.15821495,1.167095308,4.58570385,0.779953306,,,4.89212214,0.966875977
1.95493206,5.093484218,2.755050987,1.122032035,3.814607273,0.603459599,4.508257469,0.518173114,4.484864054,0.797200752,4.413974918,0.723352191,4.212689154,1.1255631,4.656415763,0.764557223,,,4.959466819,0.952200198
1.969363063,4.840336134,2.821273255,0.969929896,3.88868642,0.60040568,4.582336616,0.532752682,4.541533663,0.79145583,4.488054065,0.680336128,4.286020027,1.076885055,4.73049491,0.819524378,,,,
1.982831999,4.599665492,2.905454104,0.795093025,3.962765567,0.607276998,4.656415763,0.543957164,4.606243977,0.790933724,4.578408176,0.644916325,4.337212379,1.046674453,4.804574057,0.808661151,,,,
1.995178523,4.382430044,2.979533251,0.665144524,4.020008544,0.604604818,4.73049491,0.577491119,4.661462537,0.807393738,4.646650784,0.626137351,4.379185602,1.011184147,4.870422188,0.735496317,,,,
2.00976987,4.140879582,3.131900588,0.557364507,4.110923861,0.650031866,4.804574057,0.644697674,4.694128783,0.819307227,4.723760442,0.592007402,4.430807011,0.973862261,4.936457387,0.709181987,,,,
2.023238806,3.889171204,3.20850516,0.521767262,4.185003008,0.66988234,4.876407023,0.702454027,4.766973278,0.836802537,4.804153153,0.592463805,4.473953263,0.954865189,4.992239871,0.713466831,,,,
2.035585331,3.654579315,3.282584307,0.500389828,4.259082156,0.70423893,4.936770066,0.753917212,4.838764433,0.857202297,4.865605173,0.600327023,4.520938191,0.917640121,,,,,,
