Ca-Cl,,Cl-Cl,,Ca-Ca,
X,Y,X,Y,X,Y
2.758084577,4.403652925,5.061854191,0.849589479,4.739134,1.847270456
2.769661309,4.313430251,5.143312285,0.857661643,4.800284819,1.789296896
2.776765212,4.227565804,5.233295063,0.872862575,4.886098354,1.788321693
2.78576349,4.140576837,5.317594719,0.898325503,4.943820101,1.734355042
2.801865672,4.037682563,5.402841561,0.893400713,5.044940134,1.712082382
2.811100746,3.948348488,5.487141217,0.876849073,5.113518944,1.623770625
2.820572618,3.868101174,5.573335247,0.847724758,5.147101033,1.570726157
2.827845662,3.788849408,5.65858209,0.82488678,5.205826636,1.529768138
2.841376907,3.715143186,5.743828932,0.809214078,5.237083812,1.465852475
2.850172216,3.570932146,5.843283582,0.783763983,5.291762342,1.400113949
2.856092135,3.492152098,5.961681975,0.808462064,5.346010333,1.336534087
2.867537313,3.405349275,6.046928817,0.825684488,5.398105626,1.267625675
2.877009185,3.313499102,6.13217566,0.838347192,5.445464983,1.199305701
2.886481056,3.221323234,6.217422503,0.875762664,5.49282434,1.132744476
2.895952928,3.128495977,6.302669346,0.907315638,5.540183697,1.060320754
2.905424799,3.034365943,6.387916188,0.938217224,5.601750861,1.001587395
2.91489667,2.939910215,6.473163031,0.969770198,5.682626071,0.941674669
2.925947187,2.860435697,6.560304248,1.005621462,5.764035591,0.870760971
2.925947187,2.796436763,6.643656716,1.044601142,5.836969001,0.808682516
2.936997704,2.715170925,6.728903559,1.081690919,5.942738232,0.773325436
2.949626866,2.615958602,6.814150402,1.098587649,6.046928817,0.736769939
2.956730769,2.526991917,6.899397245,1.117438545,6.151119403,0.708475234
2.968570608,2.447109916,6.984644087,1.131078331,6.255309989,0.696169159
2.984931114,2.349571714,7.06989093,1.148300755,6.359500574,0.69079149
2.999354191,2.255831707,7.155137773,1.155100961,6.46369116,0.697938249
3.006458094,2.180767517,7.240384615,1.15310742,6.567881745,0.702686713
3.015929966,2.109575669,7.325631458,1.147531241,6.672072331,0.740744824
3.020665901,2.042084965,7.410878301,1.135766871,6.776262916,0.772407482
3.033520584,1.973473845,7.496125144,1.125630972,6.880453502,0.791545713
3.046713548,1.897464655,7.581371986,1.102792995,6.984644087,0.813615194
3.055826636,1.837525289,7.652411022,1.102434488,7.088834673,0.86153296
3.070895522,1.760706284,7.820536739,1.048861539,7.190065299,0.913948895
3.084337926,1.670601182,7.903415614,1.033922743,7.299583812,0.941623038
3.087645563,1.594480239,7.988662457,1.027043787,7.393287682,0.97085735
3.107491389,1.517188463,8.0739093,1.018210665,7.505597015,1.002040406
3.123277842,1.420775652,8.159156142,1.000909491,7.6097876,1.023576932
3.148536165,1.32758284,8.244402985,0.984259706,7.716938146,1.068328915
3.178673938,1.227613332,8.329649828,0.975426584,7.809811238,1.10598274
3.188002296,1.15383926,8.41489667,0.967244851,7.922359357,1.167063753
3.268513203,0.967016379,8.500143513,0.97502214,8.030609316,1.172819149
3.291475316,0.873679546,8.585390356,0.968468879,8.134687141,1.207492417
3.333763873,0.809024495,8.670637199,0.971360753,8.234931114,1.203693228
3.3800708,0.742887159,8.755884041,0.967087351,8.339121699,1.216968961
3.427956372,0.68726902,8.841130884,0.962162562,8.443312285,1.223316289
3.524253731,0.590395619,8.926377727,0.944535693,8.54750287,1.182763633
3.596555683,0.527731205,9.011624569,0.950033122,8.649507639,1.142334977
3.693168772,0.484597222,9.096871412,0.952273607,8.755884041,1.126174223
3.84945465,0.443061186,9.182118255,0.945394651,8.860074627,1.084022705
3.953645235,0.435818178,9.267365098,0.942098333,8.962079396,1.053125732
4.057835821,0.440566642,9.333668197,0.937507988,9.068455798,1.037825904
4.144977038,0.461524793,9.423650976,0.935267989,9.171067738,1.01281848
4.266216992,0.482573785,9.542049369,0.987894357,9.213240118,0.989069843
4.370407577,0.52303019,9.627296211,0.995020258,9.314724455,0.981751948
4.474598163,0.562953641,9.707807118,1.0047539,9.41891504,0.961984513
4.578788749,0.608206635,9.807261768,1.018387124,9.523105626,0.955540935
4.678243398,0.657672156,9.892508611,1.008902613,9.627296211,0.956558719
4.777698048,0.723765853,9.958811711,1.001706713,9.73543341,0.972497402
4.881888634,0.765288167,10.02511481,1.013401084,9.835677382,0.976981211
4.957663605,0.794334709,,,9.935132032,0.959214542
5.039121699,0.875590386,,,,
5.137629162,0.919460324,,,,
5.241819747,0.980968426,,,,
5.346010333,1.040078233,,,,
5.445464983,1.077072622,,,,
5.582807118,1.15188927,,,,
5.686997704,1.212331463,,,,
5.791188289,1.261848092,,,,
5.895378875,1.297241431,,,,
5.99956946,1.310517165,,,,
6.103760046,1.305405973,,,,
6.207950631,1.288569787,,,,
6.312141217,1.258942695,,,,
6.416331803,1.210662202,,,,
6.520522388,1.166378867,,,,
6.624712974,1.127158598,,,,
6.727851129,1.088530986,,,,
6.833094145,1.048451582,,,,
6.93728473,1.010297221,,,,
7.041475316,0.97320877,,,,
7.131458094,0.953547825,,,,
7.297215844,0.901408285,,,,
7.405195178,0.90439625,,,,
7.505597015,0.898380787,,,,
7.6097876,0.895134936,,,,
7.713978186,0.890023744,,,,
7.818168772,0.877717669,,,,
7.922359357,0.876070681,,,,
8.026549943,0.881885054,,,,
8.130740528,0.890897153,,,,
8.234931114,0.909768907,,,,
8.339121699,0.915316803,,,,
8.443312285,0.925661288,,,,
8.528559127,0.942067361,,,,
8.717996556,1.008142336,,,,
8.822187141,1.019286252,,,,
8.902698048,1.018316395,,,,
9.042746433,1.059079817,,,,
9.144230769,1.072166459,,,,
9.248421355,1.068387654,,,,
9.35261194,1.083262251,,,,
9.456802526,1.077884582,,,,
9.560993111,1.075438163,,,,
9.665183697,1.077788332,,,,
9.769374282,1.073210095,,,,
9.873564868,1.063302315,,,,
9.964224209,1.048185446,,,,
