Li-Cl,,K-Cl,,Eu-Cl,
X,Y,X,Y,X,Y
2.485494137,3.657916029,4.099132482,0.700626394,2.560192249,6.584434116
2.498703082,3.585464059,4.116755308,0.697561555,2.563429095,6.817862281
2.508043071,3.509541395,4.199834343,0.655356376,2.568464188,7.236436849
2.566110118,2.873658392,4.230044902,0.635781116,2.568464188,7.162025402
2.571199704,2.79655942,4.26025546,0.615172363,2.568464188,7.056609187
2.575907843,2.704702213,4.287948472,0.598692488,2.570981734,7.452235134
2.587765378,2.626411187,4.330746763,0.582243159,2.574758054,7.664315393
2.627034744,2.210899629,4.360957322,0.576447796,2.576016827,7.740796369
2.638900998,2.111987541,4.389657352,0.557971873,2.579613322,7.833522666
2.649025677,2.018497095,4.416343345,0.578799034,2.583569467,8.082897597
2.656578316,1.939760254,4.642922534,0.545668732,2.586087013,8.427055627
2.712803522,1.596961207,4.673133092,0.53436141,2.586087013,8.321639411
2.719789442,1.563004308,4.701833123,0.557362978,2.586141506,8.509084156
2.729083657,1.497158772,4.733554209,0.561354396,2.58860456,8.71695531
2.744692445,1.418231525,4.753694581,0.537624802,2.588659052,8.931405075
2.754762631,1.347457666,4.864466629,0.562652625,2.590282924,9.00311125
2.82300885,1.055986426,4.882089455,0.575090171,2.591340076,9.090568312
2.843094729,0.9992353,4.990343956,0.580476549,2.598674746,9.615338865
2.859870199,0.935306788,5.020554514,0.604307966,2.598674746,9.375827022
2.879125071,0.884129694,5.050765073,0.616770967,2.598674746,9.161894114
2.893500153,0.844179166,5.080975631,0.63026746,2.601192293,9.721018544
2.913368063,0.785041842,5.111186189,0.649964907,2.606227386,9.797507157
2.926010288,0.757431555,5.141396748,0.655193461,2.616297572,10.00629297
3.01915951,0.591093444,5.16908976,0.676126008,2.649864859,10.07767182
3.043940451,0.564200279,5.262238982,0.726748803,2.660774227,10.1696747
3.069455948,0.538735355,5.352870657,0.804444006,2.661613409,10.2626907
3.098407734,0.517493223,5.383081215,0.824141453,2.674201142,10.48129978
3.114771786,0.497507435,5.413291774,0.842805408,2.689306421,10.70223931
3.243166659,0.414685037,5.443502332,0.844933485,2.696019879,10.81774565
3.270859671,0.402855877,5.471195344,0.866486127,2.709446794,10.67205039
3.30107023,0.401986827,5.559309473,0.917512137,2.713978377,10.43146254
3.338833428,0.400409606,5.654976241,0.990050061,2.71951698,10.37442497
3.361491347,0.373584626,5.683676272,0.998376038,2.722034526,10.23180812
3.658561838,0.355582514,5.71388683,1.014559611,2.723712891,10.27108422
3.800551463,0.405477282,5.778325123,1.053141203,2.727069619,10.03338778
3.832272549,0.374536661,5.846309778,1.077767084,2.734622259,9.827221334
3.865000654,0.387004753,5.896551724,1.101914159,2.737139806,9.758499187
4.051299098,0.507266602,5.965517241,1.150587497,2.743853263,9.658264009
4.07899211,0.519724511,6.172413793,1.248073638,2.747209992,9.593160782
4.099132482,0.523899209,6.418719212,1.248571727,2.749727538,9.400936303
4.13689568,0.525215767,6.517241379,1.248770963,2.754762631,9.050592592
4.340816949,0.663909416,6.625615764,1.248990123,2.754762631,8.980831862
4.375223419,0.693950272,6.724933519,1.198912238,2.75584158,9.150252961
4.402077248,0.667822771,6.828152927,1.204288434,2.762315271,8.766397481
4.547255765,0.781111517,6.858363486,1.190914128,2.764329308,8.539033246
4.574948777,0.822507211,6.888574044,1.180640298,2.764832817,8.458421864
4.607676882,0.829807842,6.918784603,1.180701391,2.767350364,8.138044339
4.637887441,0.836069889,6.938924975,1.171440689,2.768357383,8.362934302
4.655510266,0.847473942,,,2.769867911,7.911197868
4.778870047,0.925235329,,,2.773392476,7.74532948
4.807570077,0.945756515,,,2.774903004,7.825944935
4.836773617,0.937754332,,,2.774903004,7.698825381
4.869501722,0.968825285,,,2.77742055,7.507634395
4.889642094,0.971966491,,,2.781736344,7.265392525
5.009980819,1.077626061,,,2.782455643,7.167418909
5.0306247,1.080768285,,,2.78497319,7.075649883
5.079716858,1.108771853,,,2.78497319,6.871018405
5.111186189,1.146041215,,,2.79180653,6.632738426
5.131326562,1.121278128,,,2.792525829,6.460884874
5.271805658,1.176130605,,,2.793784603,6.543160789
5.294967087,1.227025265,,,2.797560922,6.238546568
5.364451371,1.251969595,,,2.802955665,6.070380092
5.388116308,1.256668167,,,2.804034614,6.008238516
