Na-K,,Na-Zn,,Cl-Cl,,Na-Cl,,K-Cl,,Zn-Cl,,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,
3.925299358,1.64941506,3.913080982,2.359968502,3.335284511,1.350325825,2.55091104,2.793880837,2.894533981,2.248936657,2.393571186,8.559472792,17.11894558
3.967615121,1.775475801,3.936772038,2.534283866,3.345557014,1.583078942,2.55091104,2.560386473,2.917570499,2.646091878,2.401976915,7.97595161,15.95190322
4.009930885,1.891610499,3.950586981,2.672214619,3.37760415,1.849604199,2.561629153,3.164251208,2.927878668,2.798173473,2.412079153,8.941280287,17.88256057
4.081867683,2.003576259,3.977099784,2.805183834,3.419616382,2.071773453,2.593783494,3.752012882,2.938084396,3.009837364,2.428165059,9.430151989,18.86030398
4.136327455,2.107336491,4.019425983,2.923268435,3.439853982,2.187373715,2.615219721,4.001610306,2.957458633,3.139975177,2.450516315,9.714872625,19.42974525
4.174324552,2.186786491,4.160983034,3.060801945,3.471901118,2.343697791,2.625937835,4.130434783,2.976228465,3.275224558,2.471117712,9.888371489,19.77674298
4.269447929,2.245695751,4.242637752,2.982454657,3.518488978,2.491753268,2.647374062,4.323671498,3.008228608,3.433998708,2.522102648,9.529169076,19.05833815
4.375788057,2.156758409,4.304128598,2.85898949,3.582076817,2.548441992,2.658092176,4.508856683,3.06608497,3.552421076,2.544675838,9.08327668,18.16655336
4.450391363,2.060228246,4.348453249,2.769857684,3.649069775,2.500984037,2.658092176,4.396135266,3.137537871,3.401340171,2.561090376,8.582207384,17.16441477
4.54670327,1.939875581,4.492598039,2.480368488,3.715546447,2.328366499,2.679528403,4.641706924,3.174776756,3.250591494,2.583663566,8.104780962,16.20956192
4.604554452,1.816172576,4.548503467,2.272401964,3.735502258,2.20724251,2.743837085,4.593397746,3.191498897,3.094384024,2.604815529,7.38485223,14.76970446
4.697011321,1.668313797,4.612991991,2.137382461,3.779333312,2.116026678,2.765273312,4.476650564,3.217941593,2.831722616,2.622442164,6.806383178,13.61276636
4.771614627,1.535016418,4.690060517,2.011337775,3.800185725,2.038658794,2.786709539,4.299516908,3.253450356,2.727349642,2.646645711,6.187497076,12.37499415
4.868477254,1.406102842,4.714515939,1.893253173,3.813677458,1.939916904,2.81886388,4.066022544,3.265538445,2.637951921,2.667797674,5.50545933,11.01091866
4.931950899,1.310606141,4.784295238,1.775168572,3.85247046,1.820704133,2.829581994,3.896940419,3.29726968,2.556750882,2.677899912,4.827210682,9.654421364
4.984294883,1.215316132,4.804459111,1.659068586,3.873322873,1.723166412,2.861736334,3.607085346,3.307577849,2.46542453,2.699051875,4.281580485,8.563160971
5.047217809,1.133260847,4.868947635,1.556860906,3.928066861,1.421521977,2.893890675,3.317230274,3.325206313,2.364502293,2.720203837,3.883725133,7.767450267
5.132400056,1.055175979,4.910274608,1.451014765,3.959499183,1.32579051,2.915326902,3.123993559,3.342565868,2.250675245,2.775452456,1.85276829,3.705536579
5.302213829,0.90628534,4.944135567,1.360780929,4.001818822,1.240896567,2.947481243,2.826086957,3.359925423,2.117987321,2.796604419,1.587531389,3.175062777
5.43974006,0.820732306,4.994927005,1.226422484,4.049428416,1.137940083,2.958199357,2.648953301,3.38081067,1.987946537,2.828806105,1.382920065,2.765840129
5.590820826,0.747220308,5.037253204,1.130168649,4.088574082,1.064244916,2.979635584,2.439613527,3.401964827,1.894634829,2.849484325,1.216199727,2.432399454
5.967034944,0.643080178,5.079579403,1.039537891,4.149630151,0.978267221,3.001071811,2.262479871,3.422850074,1.767572078,2.860060306,1.057057586,2.114115172
6.388076791,0.619314877,5.143068701,0.925753289,4.244541932,0.878561994,3.033226152,2.037037037,3.541349205,1.239467521,2.891314507,0.860024459,1.720048919
6.571136013,0.649903431,5.17481335,0.83942253,4.382080758,0.794300241,3.043944266,1.884057971,3.583657518,1.134243681,2.942079217,0.632678544,1.265357088
6.813350214,0.729725157,5.237303421,0.747137925,4.583099043,0.732039043,3.076098607,1.714975845,3.625696922,1.02901984,2.995089723,0.42914982,0.85829964
7.178917938,0.941092663,5.311374269,0.650884091,4.794697237,0.783827781,3.097534834,1.55394525,3.69444793,0.92826305,3.089669212,0.252253046,0.504506091
7.376236958,1.053852506,5.39502744,0.551057949,5.028070063,0.909024909,3.129689175,1.360708535,3.773776017,0.82700992,3.303304034,0.119427917,0.238855834
