Na-Na,,Na-Cl,,Na-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
9.624426241,0.870473621,5.827194949,1.238208286,7.641395495,1.151768596,7.507316974,1.1242654,5.858222467,0.69820909,7.53765687,1.105583439
9.777355872,0.845828625,5.980205251,1.269529142,7.794525317,1.212519731,7.660363681,1.101776127,6.01112777,0.702611594,7.690240449,1.205351712
9.93030803,0.845558296,6.133161373,1.271538336,7.947528622,1.239037683,7.813410387,1.067034537,6.164033072,0.692342599,7.842851147,1.297784148
10.08326019,0.845287967,6.28608589,1.256449061,8.100531927,1.265555636,7.966457094,1.032292947,6.316938374,0.657621106,7.995669762,1.333975176
10.23621911,0.852330038,6.438956226,1.212048125,8.253417753,1.260285632,8.119503801,1.014704601,6.469843676,0.608228115,8.148533576,1.35793981
10.38919604,0.878871842,6.591799472,1.152991359,8.40624032,1.237899037,8.272550507,0.987314401,6.622748979,0.558835124,8.301542028,1.342779987
10.54217523,0.907851113,6.744629173,1.086606677,8.558963483,1.188614942,8.425597214,0.967275592,6.775654281,0.511887382,8.454695117,1.288495705
10.69515217,0.934392917,6.897458873,1.020221996,8.711686645,1.139330846,8.578643921,0.949687247,6.928559583,0.482056389,8.607902446,1.219539752
10.84814037,0.973122054,7.050293089,0.956279952,8.864373659,1.080265841,8.731690627,0.934549365,7.081464886,0.454670646,8.761091694,1.155474355
11.00112182,1.004538791,7.203145365,0.902108463,9.017051637,1.018755608,8.884737334,0.914510556,7.234370188,0.437065902,8.914335182,1.076737287
11.15409425,1.026205662,7.356038276,0.869920719,9.169738652,0.959690603,9.037784041,0.892021283,7.38727549,0.426796907,9.06756963,1.000445498
11.30706668,1.047872533,7.508908612,0.825519783,9.322497961,0.920187417,9.190830748,0.886685255,7.540180792,0.418973162,9.220713679,0.948606495
11.46004588,1.076851804,7.661810554,0.798217317,9.47523016,0.873348548,9.343877454,0.886250154,7.693086095,0.403813667,9.373830609,0.904103327
11.61300704,1.086331341,7.81476216,0.797783872,9.62798947,0.833845362,9.496924161,0.885815054,7.845991397,0.388654173,9.52692042,0.866935996
11.7659592,1.086061012,7.967713767,0.797350428,9.780830111,0.816349222,9.649970868,0.885379953,7.998896699,0.375209276,9.68001927,0.827323386
11.9189001,1.07360335,8.120669889,0.799359623,9.933734011,0.815969673,9.803017574,0.899647633,8.151802002,0.380342432,9.833027722,0.812163563
12.07184324,1.063583154,8.273680192,0.830680478,10.08656562,0.796028305,9.956064281,0.921266704,8.304707304,0.387190186,9.986099452,0.779886789
12.22477738,1.043813092,8.426690494,0.862001333,10.23954181,0.815210576,10.10911099,0.935534385,8.457612606,0.411154688,10.13907174,0.77450808
12.37770701,1.019168097,8.579714341,0.900650104,10.392518,0.834392846,10.26215769,0.96695531,8.610517908,0.430228691,10.29200788,0.778910485
12.5306434,1.001835501,8.732765279,0.953954705,10.54551227,0.858465571,10.4152044,0.98122299,8.763423211,0.456638443,10.44493497,0.785758169
12.68358204,0.986940372,8.885789127,0.992603476,10.6985698,0.899654887,10.56825111,1.000391598,8.916328513,0.500164944,10.59776263,0.819503918
12.83651167,0.962295377,9.038831034,1.0410228,10.8516454,0.945734658,10.72129781,1.002406961,9.069233815,0.519238946,10.75056316,0.860585503
12.98944806,0.944962781,9.191823277,1.062573102,11.00471196,0.989369202,10.87434452,1.014224177,9.222139117,0.530977199,10.90334562,0.906557646
13.14238445,0.927630186,9.344815519,1.084123404,11.15776949,1.030558518,11.02739123,1.013789077,9.37504442,0.542715453,11.05610999,0.957420345
13.29533661,0.927359857,9.497771641,1.086132598,11.31081798,1.069302607,11.18043793,1.006002585,9.527949722,0.559344206,11.20887437,1.008283045
13.44827976,0.917339661,9.650723248,1.085699154,11.46379417,1.088484877,11.33348464,0.998216094,9.680855024,0.55885621,11.36163874,1.059145745
13.60123642,0.921944266,9.803661309,1.077937794,11.61676133,1.10522192,11.48653135,0.997780993,9.833760327,0.529025217,11.51450256,1.083110379
13.75418633,0.91923647,9.956581311,1.060405881,11.76966523,1.104842371,11.63957805,0.997345892,9.986665629,0.528537221,11.66733925,1.11441085
13.90714524,0.926278541,10.10948777,1.035546053,11.92250587,1.087346231,11.79262476,0.972406156,10.13957093,0.513377727,11.82025731,1.123703813
14.06010191,0.930883145,10.26240325,1.015571501,12.07536459,1.074740546,11.94567147,0.967070128,10.29247623,0.505553982,11.97320248,1.12566094
14.21306758,0.945237616,10.41529165,0.980941119,12.22820523,1.057244405,12.09871817,0.966635027,10.44538154,0.492839737,12.12624709,1.100720001
14.36603326,0.959592087,10.56821617,0.965851844,12.3810278,1.034857811,12.25176488,0.944145755,10.59828684,0.477680243,12.27927362,1.080669621
14.51899893,0.973946558,10.72112714,0.943434654,12.53381422,1.002690306,12.40481159,0.936359263,10.75119214,0.467411248,12.43235439,1.045947568
14.6719601,0.983426095,10.87405617,0.930788018,12.68662775,0.977858484,12.55785829,0.926122308,10.90409744,0.452251754,12.58540804,1.018561351
14.82492803,1.000218033,11.02696263,0.90592819,12.83944128,0.953026662,12.710905,0.923236744,11.05700274,0.437092259,12.73851593,0.976503463
14.99062201,0.995398452,11.17989617,0.895724192,12.99224577,0.925749612,12.86395171,0.92035118,11.20990805,0.424378015,12.89156054,0.951562525
,,11.33283875,0.890405471,13.14514967,0.925370064,13.01699841,0.919916079,11.36281335,0.421444769,13.0446142,0.924176308
,,11.48579036,0.889972027,13.29798128,0.905428696,13.17004512,0.919480978,11.51571865,0.420956774,13.19764977,0.901680648
,,11.63874196,0.889538582,13.45084903,0.895268238,13.32309183,0.933748658,11.66862395,0.420468778,13.35060398,0.901192497
,,11.79170712,0.896433054,13.60375293,0.894888689,13.47613853,0.933313558,11.82152926,0.419980782,13.50363051,0.881142116
,,11.94468581,0.91065544,13.75665683,0.894509141,13.62918524,0.932878457,12.12733986,0.43367629,13.65662088,0.870872849
,,12.09766902,0.927320465,13.90958784,0.901465274,13.78223195,0.947146137,12.28024516,0.457640792,13.80958414,0.867939419
,,12.25064772,0.941542851,14.062555,0.918202317,13.93527865,0.961413818,12.43315047,0.469379045,13.96252027,0.872341825
,,12.40363545,0.960650514,14.21547697,0.922713223,14.08832536,0.960978717,12.58605577,0.476226799,14.11540216,0.891415902
,,12.55661415,0.974872901,14.36841702,0.932114583,14.24137207,0.960543616,12.73896107,0.487965052,14.26832926,0.898263586
,,12.70958833,0.986652649,14.52140225,0.953742081,14.39441877,0.960108515,12.89186637,0.489922307,14.42124731,0.907556549
,,12.86254896,0.991104481,14.67439652,0.977814806,14.54746548,0.959673414,13.04477167,0.489434311,14.57406592,0.943747577
,,13.01552315,1.002884229,14.82733656,0.987216167,14.70051219,0.966589704,13.19767698,0.488946315,14.7269659,0.957931097
,,13.1684883,1.009778701,14.99058587,1.027891134,14.85355889,0.96370414,13.35058228,0.48845832,14.87983875,0.979450453
,,13.32142636,1.002017341,,,14.9836486,0.961373933,13.50348758,0.487970324,14.96907651,0.975253252
,,13.47437797,1.001583897,,,,,13.65639288,0.487482328,,
,,13.62732054,0.996265176,,,,,13.80929819,0.486994333,,
,,13.78025409,0.986061178,,,,,13.96220349,0.481615837,,
,,13.93317861,0.970971903,,,,,14.11510879,0.471346843,,
,,14.08610312,0.955882629,,,,,14.26801409,0.470858847,,
,,14.2390457,0.950563908,,,,,14.42091939,0.458144602,,
,,14.39197925,0.94035991,,,,,14.5738247,0.455211357,,
,,14.54493085,0.939926466,,,,,14.72673,0.454723361,,
,,14.69785537,0.924837191,,,,,14.8796353,0.442009117,,
,,14.85080698,0.924403747,,,,,,,,
,,14.99828829,0.919798403,,,,,,,,
