Mode_Index,Frequency_cm-1,Type,Participation_Ratio
322,(98.27401330996406+0j),Real,0.5013097344938677
323,(98.59336289965145+0j),Real,0.3940457223551846
324,(98.98703085217109+0j),Real,0.49521712915150007
325,(99.44219665881072+0j),Real,0.4731677623776155
326,(99.60871143553749+0j),Real,0.3931796556591137
327,(99.69325766752985+0j),Real,0.4789202422000644
328,(100.19677576749206+0j),Real,0.4583202775130131
329,(100.40597540957789+0j),Real,0.4023649517503855
330,(101.00925474537352+0j),Real,0.38309187605834927
331,(101.23433601698235+0j),Real,0.5287685430318905
332,(101.98180508274511+0j),Real,0.41747717430359477
333,(102.16480748606644+0j),Real,0.46129951170262823
334,(102.32684860668743+0j),Real,0.44192694930520515
335,(102.49961205438926+0j),Real,0.40874052234896735
336,(102.84852128795488+0j),Real,0.42863444704612297
337,(102.9881037741986+0j),Real,0.46034239194656973
338,(103.31526555432266+0j),Real,0.4329437457956958
339,(103.66626933782496+0j),Real,0.40981381539763323
340,(104.10836968166107+0j),Real,0.3451877434500945
341,(104.4702161420574+0j),Real,0.4881382211881128
342,(104.82955674338463+0j),Real,0.4724599135144545
343,(105.0287682565212+0j),Real,0.3305021713643416
344,(105.39995484064492+0j),Real,0.43477937653957427
345,(105.73493533652469+0j),Real,0.356186006793119
346,(106.12232771307089+0j),Real,0.3791739221128137
347,(106.52496836897585+0j),Real,0.4471701576631629
348,(106.97395849896364+0j),Real,0.4112266180188893
349,(107.11988245903575+0j),Real,0.327368287577626
350,(107.95647806618788+0j),Real,0.3523375414191772
351,(108.14486462263228+0j),Real,0.41236841846942424
352,(108.30354922316897+0j),Real,0.37744731272837656
353,(108.61780674320515+0j),Real,0.5410210123582869
354,(108.77330765614728+0j),Real,0.27461250426030737
355,(109.25923133359323+0j),Real,0.4799270069896254
356,(109.50886633228482+0j),Real,0.41979188475083795
357,(109.68318884811559+0j),Real,0.41266507013862175
358,(109.83575745985713+0j),Real,0.4624725678069023
359,(110.72380785714505+0j),Real,0.350230264353518
360,(110.7753752834022+0j),Real,0.33666034987802734
361,(111.17006846948789+0j),Real,0.3527415362175066
362,(111.72501452050984+0j),Real,0.3260519217840235
363,(111.91688118688904+0j),Real,0.4020476231719134
364,(112.0937145106533+0j),Real,0.41038777887765693
365,(112.4295190929807+0j),Real,0.4484487491458668
366,(113.17390463144962+0j),Real,0.47594450680172934
367,(113.40732410492448+0j),Real,0.35280317059744
368,(113.5854767217733+0j),Real,0.44489836760947554
369,(113.90421768887468+0j),Real,0.3958131652903618
370,(114.33376677645334+0j),Real,0.5017557512319739
371,(114.66639020794153+0j),Real,0.4361571522031107
372,(114.86128580611765+0j),Real,0.31316574729573315
373,(115.1370223409477+0j),Real,0.37995823541122975
374,(115.22483679295992+0j),Real,0.27990099801119683
375,(115.68872529635543+0j),Real,0.39716879168535996
376,(116.04260836980404+0j),Real,0.42613765161017386
377,(116.17470367843096+0j),Real,0.40527055835146625
378,(116.4588357161286+0j),Real,0.4846163626853712
379,(116.94243842318343+0j),Real,0.28463910060559405
380,(117.61854776591339+0j),Real,0.41581592567031705
381,(118.14116217346675+0j),Real,0.43014239719226904
382,(118.4692242725974+0j),Real,0.3437898522208718
383,(118.69167921105134+0j),Real,0.42641105125112927
384,(119.04887839964425+0j),Real,0.3427849687448333
385,(119.24912952267843+0j),Real,0.4723103983533684
386,(119.39819989479764+0j),Real,0.3312755404016412
387,(120.24258216550625+0j),Real,0.4587877265117973
388,(120.53103258947351+0j),Real,0.4274781489907995
389,(120.80643099279949+0j),Real,0.4992955428460714
390,(121.15753362761244+0j),Real,0.4693260095534963
391,(121.46425283180045+0j),Real,0.4359146306042149
392,(121.6268027963736+0j),Real,0.1827135014648707
393,(121.82152286016169+0j),Real,0.46164999991611066
394,(122.6162815918337+0j),Real,0.4793988739978682
395,(122.670827529464+0j),Real,0.3185157386615872
396,(122.94447629096129+0j),Real,0.4517067204037842
397,(123.50114229715525+0j),Real,0.39256696972923044
398,(123.76279666479023+0j),Real,0.4665106063179396
399,(123.99344657186342+0j),Real,0.3580439890755495
400,(124.26299144860484+0j),Real,0.45015683405535123
401,(124.45072431177773+0j),Real,0.40141262617663087
402,(124.85376344237669+0j),Real,0.5113448221333532
403,(125.31645505810592+0j),Real,0.4907575453277353
404,(125.6327809911808+0j),Real,0.46806771254912743
405,(126.10451902143107+0j),Real,0.44466619529651813
406,(126.29022992960655+0j),Real,0.4415818751067939
407,(126.7947320734918+0j),Real,0.4519826661734655
408,(126.9996843881093+0j),Real,0.43589861172634176
409,(127.50627803392871+0j),Real,0.41903883872767045
410,(127.87911525090534+0j),Real,0.525664158530827
411,(128.13967151058347+0j),Real,0.37401794969659957
412,(128.3690184495395+0j),Real,0.3555396264277167
413,(128.55869964335716+0j),Real,0.440097550366856
414,(129.80282556895065+0j),Real,0.35351821367338027
415,(129.92164624460207+0j),Real,0.4107230535826784
416,(130.34912612855894+0j),Real,0.5635566598686174
417,(130.7681749397488+0j),Real,0.3119782888168749
418,(130.8875453350008+0j),Real,0.4414318053547868
419,(131.24523697417024+0j),Real,0.33741503101535236
420,(131.60894669643156+0j),Real,0.3093496127201065
421,(131.97646607175574+0j),Real,0.44322123883963416
422,(132.40963891741964+0j),Real,0.46106774775799875
423,(132.6464290691855+0j),Real,0.3763501274629061
424,(132.95868370390176+0j),Real,0.40134314137869737
425,(133.58743788146245+0j),Real,0.40368009032248053
426,(133.6001694004576+0j),Real,0.47135506034093516
427,(133.92841245179906+0j),Real,0.5097828766768713
428,(134.13188687666795+0j),Real,0.45709639916638295
429,(134.44300777028394+0j),Real,0.3871978850335717
430,(134.91914166009914+0j),Real,0.39415006415363396
431,(135.35462164697125+0j),Real,0.3932657347468479
432,(135.7203732553718+0j),Real,0.4736418040024967
433,(136.0225501106057+0j),Real,0.44849839563701244
434,(136.18488197395934+0j),Real,0.4144045380581063
435,(136.4120747685174+0j),Real,0.34985325941165757
436,(136.6172280290012+0j),Real,0.36734060219891285
437,(137.19337991389702+0j),Real,0.4282923940271174
438,(137.4929206303771+0j),Real,0.3912859431677203
439,(138.21593953804793+0j),Real,0.40044915713591805
440,(138.35915503779924+0j),Real,0.505243494769635
