Mode_Index,Frequency_cm-1,Type,Participation_Ratio
199,(55.480599723347645+0j),Real,0.5156941739010364
200,(55.80976963800673+0j),Real,0.48341350643892567
201,(56.19000505434887+0j),Real,0.5520057946150427
202,(56.66764979353953+0j),Real,0.5102971744811788
203,(57.13516612833333+0j),Real,0.528709061816606
204,(57.52772969328611+0j),Real,0.46514977798985746
205,(57.9068335236702+0j),Real,0.5086328891912462
206,(58.16021171634313+0j),Real,0.4703739809385515
207,(58.31000801915678+0j),Real,0.530547381354607
208,(58.6579976060461+0j),Real,0.5405822140694404
209,(58.75178992593766+0j),Real,0.5642028399001361
210,(58.98523376895946+0j),Real,0.5271098731350641
211,(59.00925268430124+0j),Real,0.47695576347536384
212,(59.508177387082476+0j),Real,0.5205410930184692
213,(60.06032375885071+0j),Real,0.434564939331209
214,(60.3793990801905+0j),Real,0.5416488130409394
215,(60.76229151055148+0j),Real,0.49928291013192944
216,(60.931170216481284+0j),Real,0.5196224280531212
217,(61.088774044873546+0j),Real,0.4727777301316435
218,(61.539167024299154+0j),Real,0.4832650868912041
219,(61.71441434479017+0j),Real,0.4040439867233182
220,(62.036758656624336+0j),Real,0.5432077042489691
221,(62.24265670110616+0j),Real,0.4838503334641058
222,(62.63389755503252+0j),Real,0.3898291338060643
223,(62.9125057386461+0j),Real,0.4520039754854237
224,(63.248912212407525+0j),Real,0.49938261186550975
225,(63.43640160478375+0j),Real,0.4954014670471101
226,(63.91840591059502+0j),Real,0.5378614271806327
227,(64.19585360456723+0j),Real,0.4014413718595965
228,(64.63081963033733+0j),Real,0.5499474562198872
229,(64.76233271317903+0j),Real,0.4431758927476425
230,(64.91657860287438+0j),Real,0.42169895839268134
231,(65.13031403449625+0j),Real,0.5198462375291962
232,(65.66788696894406+0j),Real,0.49261911309428785
233,(65.90645004948+0j),Real,0.4962155254516102
234,(66.07916030521301+0j),Real,0.4295194342266802
235,(66.48111657910555+0j),Real,0.5435334091409216
236,(66.77826778927977+0j),Real,0.5913783288033503
237,(67.29354937331946+0j),Real,0.4991381716376635
238,(67.40683487693478+0j),Real,0.5069953842249109
239,(67.57477286656675+0j),Real,0.5522352100304746
240,(67.6816625372791+0j),Real,0.5609865856117769
241,(68.28357273408852+0j),Real,0.4848932331582591
242,(68.40616431860477+0j),Real,0.5505194381479842
243,(68.8496825593107+0j),Real,0.4968528400840386
244,(69.27175021545492+0j),Real,0.46406199930722963
245,(69.46011636017619+0j),Real,0.48656686831066615
246,(69.92880726607805+0j),Real,0.4829251537978804
247,(69.98332433797589+0j),Real,0.4361282550770249
248,(70.21330817332147+0j),Real,0.5332686278823898
249,(70.53718278556354+0j),Real,0.5224450772028257
250,(70.73377323958357+0j),Real,0.556132667509664
251,(70.82247859681753+0j),Real,0.58490910496753
252,(71.30366432476124+0j),Real,0.4488555359167676
253,(71.34935569412134+0j),Real,0.5465204143823325
254,(71.72703876210235+0j),Real,0.4791378022832239
255,(72.07774199439383+0j),Real,0.44510070648414574
256,(72.13705074668113+0j),Real,0.392705387249926
257,(72.64445120446472+0j),Real,0.5078609875887385
258,(72.74706326244483+0j),Real,0.47668080187305817
259,(73.33624695628168+0j),Real,0.44943031636873015
260,(73.53381294910545+0j),Real,0.5073246024239937
261,(73.81594075217404+0j),Real,0.4436640011356584
262,(74.01039061532926+0j),Real,0.5211358566462099
263,(74.34471539230458+0j),Real,0.5040998968930822
264,(74.38476521757974+0j),Real,0.42631715390832425
265,(74.78410623957087+0j),Real,0.4531564126416113
266,(75.09526526713817+0j),Real,0.5557990158993984
267,(75.26509889847745+0j),Real,0.5704368569472159
268,(75.49317029690967+0j),Real,0.487399192588859
269,(75.70270788872385+0j),Real,0.4436413628834495
270,(75.97908766835977+0j),Real,0.5242116270620889
271,(76.50010623928263+0j),Real,0.495178701036811
272,(76.72961142045229+0j),Real,0.4736938932922773
273,(77.01333024295336+0j),Real,0.4131266264570708
274,(77.13746445774605+0j),Real,0.4750805503312798
275,(77.35746342712152+0j),Real,0.4076075081683143
276,(77.72446006449152+0j),Real,0.4709284248896381
277,(77.88732394503167+0j),Real,0.5131091078409421
278,(78.0489366941608+0j),Real,0.47755606034268255
279,(78.33035881997354+0j),Real,0.5605323081252188
280,(78.46238928596684+0j),Real,0.4037865065515218
281,(78.82177686094501+0j),Real,0.4435809313670405
282,(79.0384520167348+0j),Real,0.5286560533309693
283,(79.5952481896799+0j),Real,0.494193591461175
284,(80.00098137301566+0j),Real,0.47891099076526167
285,(80.32699321485651+0j),Real,0.5213610038027211
286,(80.39601035420839+0j),Real,0.5069494678042153
287,(80.68537137440285+0j),Real,0.3762084012486537
288,(81.22492022852228+0j),Real,0.5102008363748638
289,(81.40845661734602+0j),Real,0.47603451278590253
290,(81.47561265795922+0j),Real,0.44256363434989476
291,(81.95869661606424+0j),Real,0.4968120583662884
292,(82.25513610711226+0j),Real,0.5294921567293621
293,(82.57222382245861+0j),Real,0.40231634700723656
294,(82.97385547743582+0j),Real,0.5185423759592909
295,(83.11380785292923+0j),Real,0.46012536595034786
296,(83.33459357383013+0j),Real,0.4702945237992761
297,(83.66249696016425+0j),Real,0.5134042217350612
298,(84.06444552721707+0j),Real,0.45051105195740654
299,(84.28586985448709+0j),Real,0.43566760853503406
300,(84.66695165690366+0j),Real,0.4061191419995129
301,(84.85935166621898+0j),Real,0.4622591412069139
302,(85.21362983875525+0j),Real,0.5222707428217266
303,(85.51942795098469+0j),Real,0.47255203731457435
304,(85.66913122419159+0j),Real,0.40811160584066947
305,(85.94951997350951+0j),Real,0.5564027177201654
306,(86.06564543551404+0j),Real,0.520143260854715
307,(86.38729397507566+0j),Real,0.539057636993405
308,(86.46998558062559+0j),Real,0.5371020629288182
309,(86.8586593071314+0j),Real,0.5584966738696937
310,(87.2191159782105+0j),Real,0.4023940595781744
311,(87.48564827125438+0j),Real,0.46334949277044163
312,(87.82200327902488+0j),Real,0.4196416522505458
313,(88.20513831544214+0j),Real,0.5143547373836078
314,(88.58342083467274+0j),Real,0.5403893509358827
315,(88.97689478310656+0j),Real,0.38891711903116927
316,(89.1829521871184+0j),Real,0.47509927390496615
317,(89.3641561225456+0j),Real,0.5388713856998495
318,(89.74231941748647+0j),Real,0.4633242617992144
319,(89.93651159096012+0j),Real,0.4667345172660638
320,(90.4812164152371+0j),Real,0.4730214437842826
321,(90.51744460317187+0j),Real,0.5098350461303784
322,(90.73098663597663+0j),Real,0.5206513817611935
323,(90.89317351674455+0j),Real,0.4383199412874074
324,(91.24549930360935+0j),Real,0.454402397451049
325,(91.64626245875178+0j),Real,0.5365369891527081
326,(91.7918057134167+0j),Real,0.5264324569294954
327,(92.07362107268705+0j),Real,0.4601236969725458
328,(92.27026993156406+0j),Real,0.43502890718874826
329,(92.47427915317624+0j),Real,0.5074307894084272
330,(92.94905016210329+0j),Real,0.5191434031350923
331,(93.2992932356241+0j),Real,0.5381189742439885
332,(93.79516187029064+0j),Real,0.4460840004540097
333,(93.97426725051372+0j),Real,0.5659809443113677
334,(94.3361729952909+0j),Real,0.3982703643480404
