Freq_rad_ps,VDOS_Na,VDOS_K
4.218107548028003251e+00,1.892398403780959013e-02,3.150819167295191431e-02
4.307854517134982686e+00,1.846951669551600075e-02,2.883370515132024567e-02
4.397601486241961233e+00,1.835340684513285525e-02,3.186364145299092065e-02
4.487348455348939780e+00,1.983440422868311404e-02,3.518407376121805014e-02
4.577095424455918327e+00,2.084433445377474256e-02,3.496836552763959993e-02
4.666842393562897762e+00,1.821525840920753397e-02,3.603361324108854402e-02
4.756589362669876309e+00,1.665286825047330652e-02,3.699499385724654144e-02
4.846336331776854855e+00,1.901404507289411461e-02,3.325542800382082220e-02
4.936083300883834291e+00,2.087511315303356915e-02,3.294947013315149831e-02
5.025830269990812837e+00,1.937281771493412630e-02,3.241284240626860630e-02
5.115577239097791384e+00,2.030964646353397920e-02,3.338803128040594703e-02
5.205324208204770819e+00,1.852534408455770720e-02,3.379890548168675013e-02
5.295071177311749366e+00,1.871613761520254590e-02,3.770899787630795780e-02
5.384818146418727913e+00,1.894001295789257341e-02,3.220002581158526445e-02
5.474565115525706460e+00,1.849006379882718945e-02,3.352978152051996896e-02
5.564312084632685895e+00,1.771784397554987747e-02,3.633737479843998641e-02
5.654059053739663554e+00,1.850209569487887284e-02,3.693758004988410143e-02
5.743806022846642989e+00,2.075560021281953882e-02,3.625325376904859481e-02
5.833552991953622424e+00,2.382226033912649560e-02,3.640660027306995283e-02
5.923299961060600083e+00,2.082091305464776193e-02,3.231894572687330630e-02
6.013046930167579518e+00,1.832086207964301466e-02,3.080559104360798897e-02
6.102793899274558065e+00,2.029281032089009715e-02,3.269952863184386743e-02
6.192540868381537500e+00,2.003350161585761013e-02,3.797225117759752550e-02
6.282287837488515159e+00,1.746006224418292230e-02,3.780119518233947956e-02
6.372034806595494594e+00,1.989885770742566562e-02,3.652831996978167517e-02
6.461781775702474029e+00,2.180831196923978255e-02,3.764058779401036059e-02
6.551528744809452576e+00,2.028108668198174216e-02,3.912629347690164960e-02
6.641275713916430234e+00,2.049723615319334544e-02,3.673312860943221680e-02
6.731022683023409670e+00,2.114995526785725874e-02,3.525987032022864093e-02
6.820769652130388216e+00,2.438179565364632928e-02,3.779102746333285606e-02
6.910516621237367652e+00,2.059291991533954494e-02,3.661584814703779805e-02
7.000263590344347087e+00,2.204663342430036865e-02,3.419223689227313123e-02
7.090010559451324745e+00,2.337548665852085331e-02,3.691365913245400754e-02
7.179757528558303292e+00,2.005567529213003394e-02,3.197707436347114324e-02
7.269504497665282727e+00,2.131039871548803463e-02,3.382892692628675785e-02
7.359251466772262162e+00,1.855071133172355932e-02,3.674421204920470113e-02
7.448998435879239821e+00,2.098915601410551030e-02,3.564380332849233918e-02
7.538745404986218368e+00,2.587167935264890473e-02,3.744874240774398455e-02
7.628492374093197803e+00,2.227274178591677825e-02,3.664836397527618250e-02
7.718239343200176350e+00,2.143187915556138412e-02,4.062713518029239385e-02
7.807986312307155785e+00,2.313119463363668901e-02,4.118202663901294330e-02
7.897733281414133444e+00,2.352641729773433457e-02,3.519191415257549860e-02
7.987480250521112879e+00,2.082371016026254851e-02,3.317923996395223674e-02
8.077227219628092314e+00,2.177602174475750871e-02,3.922737943663938409e-02
8.166974188735069973e+00,2.242292369529196722e-02,4.108078115457162310e-02
8.256721157842049408e+00,2.134187962004244904e-02,3.775091409066774761e-02
8.346468126949027067e+00,2.053187349363043424e-02,3.625905070717068412e-02
8.436215096056006502e+00,2.247338038114894340e-02,3.966633616733806350e-02
8.525962065162985937e+00,2.223215055983864680e-02,4.187621117897222939e-02
8.615709034269965372e+00,2.189206878928359051e-02,3.974978863636135368e-02
8.705456003376944807e+00,2.325486736476057442e-02,3.496608721387608337e-02
8.795202972483922466e+00,2.186045907984025469e-02,3.819208885698911760e-02
8.884949941590900124e+00,2.384913873583017693e-02,3.890854216174810531e-02
8.974696910697879559e+00,2.360227991412227125e-02,3.821486368995492822e-02
9.064443879804858994e+00,2.201016452242965035e-02,3.889973590667521880e-02
9.154190848911836653e+00,2.390603492276485720e-02,3.841674043198571586e-02
9.243937818018816088e+00,2.294988387509256864e-02,3.486654217413796136e-02
9.333684787125795523e+00,2.272525717877373758e-02,3.770980136971776447e-02
9.423431756232773182e+00,2.393921494798971483e-02,4.195362364095411162e-02
9.513178725339752617e+00,2.352942735423254814e-02,4.389110540848402409e-02
9.602925694446730276e+00,2.290878341616084043e-02,4.162144525636726766e-02
9.692672663553709711e+00,2.356211221708446463e-02,3.805978352782651147e-02
9.782419632660689146e+00,2.342109379078995482e-02,3.869175331204069423e-02
9.872166601767668581e+00,2.278181256337552529e-02,3.805837977300627339e-02
9.961913570874646240e+00,2.224578271816423161e-02,3.897613362652785352e-02
1.005166053998162567e+01,2.199991108046244273e-02,4.086937038073908124e-02
1.014140750908860333e+01,2.262056737232261139e-02,4.037185587866458369e-02
1.023115447819558277e+01,2.254858417045133706e-02,3.600552477625700021e-02
1.032090144730256220e+01,2.090475453323883612e-02,4.001249385306634987e-02
1.041064841640954164e+01,2.191010253803034324e-02,3.773201782764378648e-02
1.050039538551651930e+01,2.233733345605718595e-02,3.965311877124629014e-02
1.059014235462349873e+01,2.136731258036442260e-02,4.060971597595728483e-02
1.067988932373047639e+01,2.304697614240704129e-02,4.181565039504123171e-02
1.076963629283745583e+01,2.501312754037484168e-02,3.916823389575427306e-02
1.085938326194443349e+01,2.583022657607696865e-02,3.740598595311506180e-02
1.094913023105141292e+01,2.599716441531433123e-02,4.122118934960440628e-02
1.103887720015839236e+01,2.439401833076182066e-02,4.260417099882980035e-02
1.112862416926537179e+01,2.555944520806941594e-02,3.951201469782027881e-02
1.121837113837234945e+01,2.788011283116188094e-02,4.163294796825139921e-02
1.130811810747932711e+01,2.590958208002966737e-02,4.627000658510871389e-02
1.139786507658630654e+01,2.580149587502769334e-02,3.738548630960547570e-02
1.148761204569328598e+01,2.509378077154481718e-02,4.134668089932808793e-02
1.157735901480026541e+01,2.522690441623080468e-02,3.937023760700422009e-02
1.166710598390724485e+01,2.452661603196254828e-02,3.985451306106230218e-02
1.175685295301422251e+01,2.495983367172727868e-02,4.009910606885049716e-02
1.184659992212120017e+01,2.568869332770648897e-02,3.934191102128536954e-02
1.193634689122817960e+01,2.716519165165291391e-02,4.184670738742515828e-02
1.202609386033515904e+01,2.340478789471756027e-02,4.050123767977668182e-02
1.211584082944213847e+01,2.538131447139776314e-02,4.222677347790922825e-02
1.220558779854911613e+01,2.370556460052104450e-02,4.214368722813376100e-02
1.229533476765609556e+01,2.560761390052126302e-02,4.051674532354473252e-02
1.238508173676307500e+01,2.442628362015683910e-02,4.041718167293269909e-02
1.247482870587005266e+01,2.389626549833243421e-02,3.985327669665633676e-02
1.256457567497703032e+01,2.127549709632241964e-02,3.723773730393029752e-02
1.265432264408400975e+01,1.986152202363582545e-02,3.622772428686075324e-02
1.274406961319098919e+01,2.270918393345710412e-02,3.637500921241792334e-02
1.283381658229796862e+01,2.448567147758866705e-02,3.758974775427900705e-02
1.292356355140494806e+01,2.523711485971761107e-02,4.080926455454667728e-02
1.301331052051192572e+01,2.941630509769795412e-02,4.092121033910520178e-02
1.310305748961890515e+01,2.607558729246841484e-02,3.890307442636211505e-02
1.319280445872588103e+01,2.668330273203938993e-02,3.533515181231376007e-02
1.328255142783286047e+01,2.563430956455408846e-02,3.773517639272818552e-02
1.337229839693983990e+01,2.527151776320381987e-02,3.898635506496162667e-02
1.346204536604681934e+01,2.506850724464544655e-02,3.589242477280467358e-02
